Gene = Cp18
index = 1089
Annotated 5SS: [59]
Annotated 3SS: [232]
SMsplice 5SS: [59]
SMsplice 3SS: [232]
top_k =  500
Partition function (log Z): -2.184006842454624

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.918545959957073
Position 109: 0.08101231311229433
Position 332: 0.0017042345507367101
Position 464: 0.0003601902827276813
Position 575: 0.00020194410136439617
Position 52: 0.00016927146362430632
Position 81: 0.00013302698176190475
Position 411: 0.00012340922400063344
Position 375: 0.0001158447062963853
Position 70: 0.00010898469756896433
Position 378: 0.00010289137212556401
Position 311: 7.069474678437355e-05
Position 456: 6.929291391837913e-05
Position 315: 5.4592945575692855e-05
Position 425: 3.761637683560769e-05
Position 421: 3.4927768271964296e-05
Position 300: 3.2750714607856406e-05
Position 303: 2.6442210045228405e-05
Position 104: 2.4149297902707665e-05
Position 755: 2.230771605392342e-05
Position 498: 1.0554071453785052e-05
Position 291: 7.012654668988482e-06
Position 659: 6.0496844827573585e-06
Position 4: 4.3983557190835396e-06
Position 350: 3.0739052227019858e-06
Position 747: 3.04778201085479e-06
Position 483: 2.596997665224922e-06
Position 509: 2.032837924789968e-06
Position 475: 1.1814817936289105e-06
Position 362: 8.907095272326458e-07
Position 288: 7.004973013843069e-07
Position 737: 6.278285084373263e-07
Position 439: 5.845251840188969e-07
Position 437: 2.828893094969321e-07
Position 282: 1.57251722126167e-07
Position 640: 1.3564846558899473e-07
Position 431: 7.22882277907378e-08
Position 629: 1.3047735424578799e-08
Position 260: 1.9162514988459285e-12
Position 191: 4.691674827578486e-13
Position 232: 1.9100601347661977e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.99861844710876
Position 624: 0.0014690804533634917
Position 453: 0.001225767363149115
Position 191: 0.0011095653644882055
Position 520: 0.00019438454146375074
Position 509: 8.898305120027689e-05
Position 331: 8.187313472590144e-05
Position 475: 5.833364788368231e-05
Position 818: 3.956836731168435e-05
Position 401: 2.6133905768012255e-05
Position 355: 2.4298061244577393e-05
Position 538: 2.2042507001459347e-05
Position 558: 1.5696112911224587e-05
Position 109: 5.328684839714719e-06
Position 311: 2.9381488601740315e-06
Position 604: 2.5844418827195484e-06
Position 782: 2.402585452453983e-06
Position 337: 2.1456404836657673e-06
Position 651: 1.3468097758156929e-06
Position 583: 1.305533253968636e-06
Position 637: 6.204056509158e-07
Position 805: 5.436094749849528e-07
Position 640: 2.0840896032206134e-07
Position 712: 2.05539288771041e-07
Position 789: 1.837921788468683e-07
Position 709: 7.951024304518222e-08
Position 586: 7.363210474172681e-08
Position 755: 4.965687920282902e-08
Position 690: 4.473736264602202e-08
Position 677: 2.284288479877561e-08
Position 63: 2.1986378919747522e-14
Position 104: 1.5115519724090107e-14
Position 70: 1.1831110347394838e-14
Position 52: 5.155582737185366e-17
Position 421: 1.5697640959929254e-17
