Gene = Cpr62Bc
index = 1093
Annotated 5SS: [ 95 324]
Annotated 3SS: [191 896]
SMsplice 5SS: [ 95 324]
SMsplice 3SS: [191 896]
top_k =  500
Partition function (log Z): -2.3997756277499502

Sorted 5' Splice Sites (High to Low Probability):
Position 324: 0.9914061598910988
Position 95: 0.9577165356709892
Position 612: 0.011431404423647804
Position 1685: 0.007870960983996719
Position 129: 0.005039380085087606
Position 1359: 0.0024259169113237753
Position 328: 0.0012389549642544651
Position 1305: 0.0009721977090678573
Position 969: 0.0004934726751653493
Position 364: 0.0004386001819066006
Position 1297: 0.0004156318728254753
Position 1026: 0.0004118398315265502
Position 136: 0.0003448914160606852
Position 578: 0.0003001067850543576
Position 1236: 0.0002822094361807312
Position 116: 0.000274382084380735
Position 99: 0.00022552905378911523
Position 626: 0.0001621411278387505
Position 29: 0.0001241413454209903
Position 1021: 7.4654709594514e-05
Position 1714: 6.535616454606733e-05
Position 1119: 5.055500366506056e-05
Position 745: 4.7242273727434944e-05
Position 818: 2.3922357415618165e-05
Position 979: 2.103529913223357e-05
Position 697: 7.464860142987683e-06
Position 813: 6.56174936739201e-06
Position 46: 2.485163124494659e-06
Position 1040: 2.059959697119371e-06
Position 1732: 1.802478996120583e-06
Position 5: 3.090112129208102e-07
Position 1375: 2.1134375262619647e-07
Position 12: 1.9574405965769725e-07
Position 475: 6.27023263638429e-08
Position 751: 3.729175812524404e-08
Position 735: 2.8015992183080826e-08
Position 250: 2.2028375575588763e-08
Position 1122: 1.6734671335830255e-08
Position 295: 7.864001140124002e-09
Position 405: 4.437688872829009e-09
Position 645: 3.991551286803088e-09
Position 432: 2.797430220814983e-09
Position 256: 1.0427294337799198e-09
Position 486: 3.532283699127587e-10
Position 234: 1.3479031915744826e-10
Position 183: 8.241802875497264e-11
Position 725: 1.9221168957621313e-12
Position 191: 9.914144779634056e-15
Position 210: 2.2952567152718394e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.8657699500014653
Position 191: 0.8276921901792617
Position 153: 0.13480125522397832
Position 455: 0.032424693855197015
Position 856: 0.02041817566710231
Position 528: 0.019169695485705573
Position 853: 0.012534781180484665
Position 697: 0.009574274464732841
Position 395: 0.009395745217025095
Position 1371: 0.008560484799301733
Position 1743: 0.007337446318245936
Position 1433: 0.0064063970667255065
Position 768: 0.0046740456995217755
Position 785: 0.004300978379224048
Position 840: 0.0035797412549664837
Position 1787: 0.003019723106553253
Position 1607: 0.0021824673307450173
Position 908: 0.002121726005506229
Position 1173: 0.001414847691748908
Position 1416: 0.0012591181617858124
Position 634: 0.0008626173795311026
Position 616: 0.00072040852563557
Position 1441: 0.0005519048464523364
Position 1235: 0.0005350942273914695
Position 535: 0.0005077805641986607
Position 530: 0.0003524961360812018
Position 794: 0.00027504143897139993
Position 626: 0.0002262505015892181
Position 1537: 0.00021863571767332364
Position 1488: 0.00021320626164570382
Position 992: 0.0001695802916320996
Position 367: 0.00012648590765305194
Position 1085: 0.00011161756516760027
Position 743: 8.800352794659027e-05
Position 1750: 7.720858098152807e-05
Position 486: 5.4917648954622065e-05
Position 948: 3.0713518084824664e-05
Position 803: 2.6579472854870528e-05
Position 962: 2.3296159212866746e-05
Position 1040: 1.5729936385880382e-05
Position 956: 1.4948262741347394e-05
Position 95: 1.180636040330242e-05
Position 1789: 9.15865944430181e-06
Position 1611: 8.998579750843426e-06
Position 234: 7.176940973731563e-06
Position 106: 6.126838237724752e-07
Position 217: 4.0585505945639854e-07
Position 122: 4.3528457223454426e-08
Position 99: 3.37256309421545e-08
Position 111: 5.520425931530003e-09
Position 129: 3.936687220286057e-09
Position 349: 3.0251125720229583e-10
Position 364: 2.35262355810114e-10
Position 54: 1.3600976494064603e-10
Position 336: 8.257875229267484e-12
Position 377: 7.138889672362026e-12
Position 328: 7.039332126032995e-12
Position 308: 4.011643327643264e-15
