Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  500
Partition function (log Z): 1.3135612189202446

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9923843123907107
Position 615: 0.9037170804240333
Position 653: 0.050280562834622025
Position 1384: 0.03932608498907312
Position 619: 0.03930331076705742
Position 412: 0.023977658270698192
Position 1392: 0.01377777094341857
Position 1096: 0.0027885906647400855
Position 999: 0.0021961328997912133
Position 606: 0.0012287848793675847
Position 304: 0.0011358414547034904
Position 730: 0.001070388018597594
Position 648: 0.0008114000584185932
Position 1327: 0.0007072541252033107
Position 1405: 0.00042567284489486575
Position 633: 0.00032638025233252947
Position 1121: 0.0002444638370886762
Position 47: 0.00015500123413126482
Position 30: 0.00014457636595752326
Position 220: 0.00010948738878406166
Position 452: 9.036430528275114e-05
Position 60: 8.699073213853414e-05
Position 1357: 6.956735801300067e-05
Position 905: 4.580446067391183e-05
Position 880: 4.299435984746074e-05
Position 946: 4.1639354190140574e-05
Position 766: 3.9715661338012994e-05
Position 1585: 3.937567039556799e-05
Position 622: 3.9175958348812644e-05
Position 256: 2.9560243904416824e-05
Position 973: 1.0104992683186957e-05
Position 1296: 8.632588514406961e-06
Position 526: 8.226836462317009e-06
Position 1025: 7.606283725495955e-06
Position 1065: 4.083288163645558e-06
Position 259: 2.4905663112659864e-06
Position 1012: 2.153322471273425e-06
Position 1023: 1.6824308124040224e-06
Position 336: 1.612272400436541e-06
Position 130: 1.173116370825333e-06
Position 1724: 1.13738055106659e-06
Position 1003: 9.538240212409035e-07
Position 511: 8.273555457723776e-07
Position 1471: 8.062738870273439e-07
Position 127: 5.791080585173715e-07
Position 1766: 5.388770829114607e-07
Position 916: 3.637506691757253e-07
Position 1741: 2.9200856560177574e-07
Position 864: 1.7764923858314144e-07
Position 831: 2.7184279146932817e-08
Position 1230: 6.086133800192744e-10
Position 1443: 2.2808503236835663e-11
Position 1542: 1.6183678057246012e-12
Position 783: 1.641529742924005e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9974290108393915
Position 1176: 0.9695135679021069
Position 1464: 0.03997727423330906
Position 485: 0.02341619153599989
Position 1202: 0.018230881545599355
Position 1141: 0.00805512017198913
Position 1452: 0.006558050463437175
Position 1443: 0.0027889804787782145
Position 1557: 0.002048206197015917
Position 1157: 0.0017823512566997315
Position 742: 0.0011885262645793598
Position 1482: 0.0011073343630926273
Position 1491: 0.00045488410354072516
Position 1383: 0.00039504346189720476
Position 1748: 0.00035296566507702514
Position 1560: 0.0002131550952667034
Position 1515: 0.00015711981365915052
Position 1602: 0.00014548139446331099
Position 1581: 0.0001027083313695976
Position 1509: 8.614910372559298e-05
Position 86: 8.403683701469824e-05
Position 127: 7.946800008631905e-05
Position 1819: 5.463804094321359e-05
Position 1530: 4.518248851505704e-05
Position 247: 4.080375552447483e-05
Position 846: 3.273093651956099e-05
Position 1305: 2.6668981083813446e-05
Position 303: 2.5963575168390538e-05
Position 451: 2.3912924044985163e-05
Position 1115: 2.3156033941776344e-05
Position 1756: 2.2178309627782445e-05
Position 1689: 2.2065044045156644e-05
Position 264: 2.1588520496110453e-05
Position 1641: 2.0965440563071847e-05
Position 1722: 1.829914856276169e-05
Position 93: 1.2592002351959796e-05
Position 412: 1.1977589134500401e-05
Position 831: 1.1772471325496937e-05
Position 352: 1.1606693118419998e-05
Position 297: 1.1362658970170408e-05
Position 1539: 1.0026732664916179e-05
Position 976: 8.968871034652152e-06
Position 1454: 8.4378116228809e-06
Position 1372: 7.847088889012625e-06
Position 1695: 7.758451985921234e-06
Position 1408: 5.556240805807248e-06
Position 1323: 4.410350219567923e-06
Position 843: 4.071180937052283e-06
Position 524: 3.833453744539118e-06
Position 392: 2.7818797573913277e-06
Position 996: 2.6980784064554143e-06
Position 916: 2.525766073591489e-06
Position 980: 2.120495156425206e-06
Position 672: 1.9622304289024893e-06
Position 1218: 1.3714838968142961e-06
Position 204: 1.3583302269357981e-06
Position 870: 1.3168419590692285e-06
Position 1762: 1.2855921611806934e-06
Position 1664: 1.2081685250301904e-06
Position 1605: 1.1704664309011906e-06
Position 1392: 1.0361685624618966e-06
Position 98: 8.279829752524166e-07
Position 143: 7.549084590892997e-07
Position 349: 4.766035664103652e-07
Position 852: 3.425122487572521e-07
Position 879: 2.8185010478935313e-07
Position 328: 2.796025539502474e-07
Position 886: 2.7922963024764303e-07
Position 578: 1.6933307733592076e-07
Position 581: 7.810340232786811e-08
Position 892: 5.258026047609602e-08
Position 358: 3.893618453331534e-08
Position 963: 3.518900205958146e-08
Position 1060: 2.4729126671686122e-08
Position 521: 2.130875823354028e-08
Position 217: 1.4810679628309348e-08
Position 544: 5.9570003214783585e-09
Position 653: 2.60854593388744e-09
Position 548: 2.0191665344185935e-09
Position 336: 1.90101907254239e-09
Position 674: 1.7250084439342241e-09
Position 645: 1.4757464102000149e-09
Position 633: 1.0154943515793962e-09
Position 360: 4.513762390803198e-10
Position 622: 2.9263707296470947e-10
Position 220: 8.701075465083878e-12
Position 1071: 3.745548623648792e-13
Position 593: 1.3654952706450626e-16
