Gene = cmb
index = 1650
Annotated 5SS: [ 395  863 1493 1712 3305 3687 4290 5791]
Annotated 3SS: [ 705 1094 1618 1773 3417 3747 4679 5848]
SMsplice 5SS: [ 395  863 1493 1712 3305 3687 4290 5791]
SMsplice 3SS: [ 705 1094 1618 1773 3414 3747 4679 5848]
top_k =  500
Partition function (log Z): 14.938642002807056

Sorted 5' Splice Sites (High to Low Probability):
Position 3687: 0.9969545492754288
Position 1712: 0.9965067197703922
Position 5791: 0.9883946927435879
Position 395: 0.9742838615700579
Position 1493: 0.8963183770885825
Position 863: 0.8852283265613698
Position 3305: 0.8507185756769977
Position 4290: 0.8456381733430387
Position 3046: 0.25478399950041275
Position 5632: 0.20738779204050772
Position 2050: 0.13684620699406258
Position 5155: 0.13375777363458669
Position 1525: 0.09086274245654619
Position 4408: 0.060080022469149556
Position 2210: 0.054552249774807895
Position 4223: 0.03831082826924466
Position 4091: 0.032924746115822204
Position 1250: 0.024598759976083462
Position 4814: 0.01644140593528825
Position 1024: 0.012857674382349896
Position 2074: 0.011209322159864366
Position 3227: 0.010049710739996916
Position 6011: 0.009441899359747515
Position 5116: 0.007463482076026581
Position 3926: 0.005539313630715914
Position 3116: 0.005097800854698773
Position 6437: 0.004947568023850754
Position 3300: 0.004627271690795814
Position 203: 0.004126436328718377
Position 2131: 0.0037430883225854695
Position 4516: 0.0036088923760390244
Position 824: 0.0032972841330793706
Position 4811: 0.0032448046591826533
Position 2518: 0.002735933906128785
Position 4990: 0.0025611769016205036
Position 5941: 0.0020077630869885362
Position 6209: 0.0015788280431323222
Position 3839: 0.001571343120109485
Position 1254: 0.001570348778707682
Position 2786: 0.0015448804948978159
Position 963: 0.001526513015124919
Position 2696: 0.0015259400918804392
Position 4327: 0.0014408913880943953
Position 1039: 0.001431576164815223
Position 399: 0.0013036305080681536
Position 45: 0.0012274782803343546
Position 219: 0.001206169127101498
Position 1720: 0.00115135772385147
Position 1476: 0.0011005025283734328
Position 3823: 0.0009991436204238055
Position 2383: 0.0009281706464120944
Position 2037: 0.0009146319239440894
Position 4243: 0.0008434706127442117
Position 2975: 0.0007956438019814342
Position 4085: 0.0007162243555477338
Position 1716: 0.0006634156309771807
Position 3033: 0.0005951881977484781
Position 3905: 0.0005446409795754172
Position 4808: 0.00046824410227414156
Position 1218: 0.0004489265492871779
Position 2573: 0.00037320749733134073
Position 224: 0.0003687816117894276
Position 23: 0.0003314269680408168
Position 3264: 0.00031390804271042716
Position 2570: 0.0002812011323203813
Position 4482: 0.0002803512332987958
Position 2511: 0.0002752319410867911
Position 3202: 0.00027324475220522634
Position 245: 0.0002715606788580086
Position 2255: 0.00025849242957544117
Position 1027: 0.0002521570261094651
Position 2230: 0.00022858931343285488
Position 4458: 0.00022337314625117167
Position 2537: 0.0002166307596627397
Position 3309: 0.0002028780778469445
Position 1415: 0.00018613032593760995
Position 1484: 0.0001482440130617023
Position 1401: 0.00014770453920048664
Position 1860: 0.00014649077701698758
Position 1532: 0.00014378106187180523
Position 2008: 0.0001402096540502767
Position 3371: 0.00013601076490043758
Position 1355: 0.0001331505626305217
Position 786: 0.00013090818700596106
Position 2626: 0.00010297188356566253
Position 1224: 9.979970412916716e-05
Position 935: 7.987482932650787e-05
Position 828: 7.56065556782012e-05
Position 95: 7.43122100584149e-05
Position 2690: 6.294943720196477e-05
Position 881: 6.12725428631049e-05
Position 51: 6.121072673688671e-05
Position 1926: 5.765436790696017e-05
Position 2370: 5.7492992061199646e-05
Position 1371: 5.0587899758477795e-05
Position 4: 4.5460330331711964e-05
Position 1487: 4.541672735858689e-05
Position 2067: 4.392224083388803e-05
Position 4345: 3.700149239830775e-05
Position 143: 3.679933281995189e-05
Position 17: 3.63915784779794e-05
Position 80: 3.291579502841156e-05
Position 2910: 2.6730907431459756e-05
Position 468: 2.639847831835377e-05
Position 2356: 2.4509401555010755e-05
Position 1497: 2.0715419822613696e-05
Position 870: 2.0514912650370452e-05
Position 6441: 1.8137166852987548e-05
Position 1373: 1.7327136890528398e-05
Position 1171: 1.648435096552117e-05
Position 4309: 1.566596767531261e-05
Position 3872: 1.486354645083308e-05
Position 512: 1.474506808949585e-05
Position 4217: 1.2664463641563418e-05
Position 1662: 1.2291667911513206e-05
Position 415: 1.2088139690934103e-05
Position 262: 1.191037015287997e-05
Position 977: 1.1328190697896978e-05
Position 1151: 1.1054050746517985e-05
Position 2278: 9.149177629361434e-06
Position 971: 7.2444604863459205e-06
Position 528: 6.270166735757094e-06
Position 410: 5.865840547266399e-06
Position 295: 5.4899079400433284e-06
Position 2752: 5.351113587229007e-06
Position 1421: 5.305723890900798e-06
Position 85: 5.020831747669549e-06
Position 2354: 4.781092440659304e-06
Position 2590: 4.559762383941502e-06
Position 2041: 4.142520067798512e-06
Position 2359: 3.893437606622067e-06
Position 2644: 3.848242748064625e-06
Position 1511: 3.237648459166928e-06
Position 1423: 2.4564992446228563e-06
Position 66: 2.2426511662833074e-06
Position 4202: 1.2959461937749362e-06
Position 4502: 1.2583460420728036e-06
Position 4493: 1.205279681063747e-06
Position 3858: 1.102397518811769e-06
Position 350: 9.498787785755933e-07
Position 273: 9.046536767958079e-07
Position 268: 5.908758859124913e-07
Position 281: 5.205128783533898e-07
Position 1670: 4.555973333102134e-07
Position 3050: 3.4471309801855567e-07
Position 88: 2.916214814619613e-07
Position 1673: 2.747196402040816e-07
Position 1736: 8.371301068287959e-08
Position 664: 5.182384773964901e-08
Position 1697: 4.032187502366537e-08
Position 146: 3.765970005256329e-08
Position 1748: 6.510836016215513e-09
Position 1578: 5.080700435838878e-09
Position 1631: 4.792613013663044e-09
Position 1816: 4.553369154701614e-09
Position 768: 3.5684805830189894e-09
Position 3466: 2.1121456680193718e-09
Position 1302: 1.7936402395427005e-09
Position 1763: 1.2810998661251598e-09
Position 2365: 7.654703372977042e-10
Position 149: 2.629931230941145e-10
Position 1803: 1.0641518055450785e-10
Position 670: 6.692486554980765e-11
Position 1133: 4.660180556935757e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1773: 0.998480128042885
Position 5848: 0.9860004688110583
Position 1618: 0.9778968542861532
Position 1094: 0.9458910714612817
Position 3747: 0.9246406340876914
Position 705: 0.8020931986046369
Position 4679: 0.6350259242308052
Position 3414: 0.5172789903054301
Position 5715: 0.3898564217158456
Position 3417: 0.33476550863164567
Position 5236: 0.14162449138182187
Position 2865: 0.11047482015879397
Position 3141: 0.10711285096278135
Position 3377: 0.08970739713425752
Position 717: 0.07990894087807537
Position 3097: 0.07732864526682293
Position 3144: 0.06434287993251914
Position 5202: 0.04992672345179744
Position 4155: 0.03443965173633109
Position 1414: 0.032206825072576835
Position 2115: 0.030896554190677602
Position 4712: 0.02716295894117178
Position 4877: 0.026737467475025572
Position 5205: 0.024701043936747553
Position 3772: 0.024492934449215048
Position 3753: 0.018141859547766415
Position 1553: 0.014756449008679059
Position 3981: 0.014028231771810782
Position 6160: 0.011308923964782678
Position 1392: 0.009921847858193614
Position 632: 0.00858016808945062
Position 4910: 0.0072488174405645565
Position 4602: 0.007103645511526032
Position 4449: 0.006825370068374204
Position 1147: 0.006614368857405026
Position 4430: 0.004506854895357428
Position 5774: 0.0041848123602523345
Position 1281: 0.004130387523543441
Position 3064: 0.0035645807690914684
Position 6495: 0.0032106790100573726
Position 1096: 0.002645666352934844
