Gene = Ance-3
index = 21
Annotated 5SS: [  526  1181  1840  2137  2926  3356  3521 40133]
Annotated 3SS: [  673  1680  1895  2200  3251  3421 39991 40539]
SMsplice 5SS: [  526   879  1181  1840  2137  2926  3356  3521 40133]
SMsplice 3SS: [  673  1006  1680  1895  2200  3251  3421 39991 40539]
top_k =  500
Partition function (log Z): 17.164535768929156

Sorted 5' Splice Sites (High to Low Probability):
Position 3521: 0.9999999999999939
Position 526: 0.9936067866459318
Position 1840: 0.9935703561883417
Position 2137: 0.9928433400405118
Position 3356: 0.992036395724701
Position 2926: 0.8969549913242262
Position 1181: 0.8589344733651302
Position 879: 0.47384499547209746
Position 2317: 0.1896305784856797
Position 1464: 0.09792225079896366
Position 2557: 0.07350485805841396
Position 2400: 0.06784983594012654
Position 2672: 0.05853812995569632
Position 3159: 0.05042390860199399
Position 935: 0.04084630007078236
Position 810: 0.03558793826624137
Position 926: 0.022414190390812345
Position 901: 0.021827677070052336
Position 766: 0.014465812940309443
Position 741: 0.014375419612465695
Position 2246: 0.013753098846722217
Position 1185: 0.010613734486814838
Position 1154: 0.00959707249644733
Position 2618: 0.007712480807143293
Position 3363: 0.007308643730900587
Position 756: 0.0055477191481905965
Position 1279: 0.004802031068201215
Position 731: 0.003729861007883254
Position 76: 0.0036359220318487274
Position 2130: 0.0032631624235717658
Position 530: 0.003133501177995614
Position 2693: 0.0025495488845540077
Position 2938: 0.002510788674308528
Position 40: 0.0022466398487339173
Position 2141: 0.0017828228939148411
Position 2800: 0.0016057931497327413
Position 61: 0.0015806785759592352
Position 1873: 0.001578093797536774
Position 2662: 0.0015741398212669924
Position 485: 0.0014406368918788099
Position 1283: 0.0012203735518382152
Position 70: 0.0010813560936621136
Position 1487: 0.001058981751597616
Position 1575: 0.0010333828146040637
Position 1801: 0.0009990127794664964
Position 2969: 0.0009588726384118734
Position 1275: 0.0009147082081093803
Position 2482: 0.0009106772032795816
Position 1828: 0.0008736340603110815
Position 2956: 0.0008257080842542417
Position 491: 0.0006701524700495673
Position 1374: 0.0006457417921511305
Position 1638: 0.000644126501668572
Position 3368: 0.000627097198661474
Position 33: 0.0006161884473406011
Position 1438: 0.0006020249386510132
Position 2820: 0.00058782773247538
Position 1563: 0.0005098204975071202
Position 1476: 0.0004848736567281654
Position 1265: 0.00046620717309147605
Position 65: 0.00039158365029389456
Position 854: 0.0003826023325419011
Position 1222: 0.000341240370849517
Position 2824: 0.00034066781981970047
Position 1595: 0.0003044465012231541
Position 1287: 0.00028513508964959385
Position 219: 0.00023092584170249258
Position 2321: 0.00020601849904852473
Position 1454: 0.00020222937308907128
Position 2226: 0.00018550969933751112
Position 59: 0.00016166415216366722
Position 181: 0.00014993852126819835
Position 1553: 0.0001405029131345838
Position 798: 0.00013915610565736058
Position 1351: 0.00013242138055963228
Position 1082: 0.00011283918211548702
Position 161: 0.00010443137628789016
Position 1269: 9.901471439819107e-05
Position 618: 9.296824862470064e-05
Position 2345: 9.21201490924922e-05
Position 290: 8.96852964007923e-05
Position 1124: 8.967556350861096e-05
Position 159: 8.653586499459038e-05
Position 2121: 8.026258100387915e-05
Position 96: 7.531489578962232e-05
Position 1231: 5.7597314330720196e-05
Position 153: 5.692687649723603e-05
Position 1319: 5.418674435528219e-05
Position 308: 5.1263764152467804e-05
Position 2272: 4.502547818399415e-05
Position 211: 3.984470358333055e-05
Position 292: 3.524637791450017e-05
Position 2422: 3.274334884007439e-05
Position 338: 3.1110746504329054e-05
Position 1851: 2.5129451640898416e-05
Position 3360: 2.4798944061521515e-05
Position 1087: 1.677958323919898e-05
Position 1192: 1.672178252831992e-05
Position 16: 1.570507071543575e-05
Position 1928: 1.542337210385894e-05
Position 253: 1.32669942692967e-05
Position 255: 1.1959813680284658e-05
Position 382: 1.049719796078112e-05
Position 2109: 1.0474129292319886e-05
Position 2089: 9.869333164540186e-06
Position 2148: 7.172451118914106e-06
Position 1844: 7.13826813057604e-06
Position 607: 5.33575808884613e-06
Position 1794: 3.3710179589415065e-06
Position 558: 2.3627798059679752e-06
Position 3293: 1.9126972776442e-06
Position 7: 1.7518444442035718e-06
Position 2099: 1.132986193625706e-06
Position 990: 1.123499683537457e-06
Position 234: 4.5402336132461294e-07
Position 628: 3.7530053644633116e-07
Position 2529: 2.536702030357795e-07
Position 532: 2.077331503706762e-07
Position 347: 1.7402468602118805e-07
Position 626: 1.5064105014317395e-07
Position 2049: 1.4248095053419204e-07
Position 409: 4.9064589869921605e-08
Position 2517: 3.6279482866804786e-08
Position 3337: 1.9349923828483862e-08
Position 1970: 7.707483266556375e-10
Position 2616: 4.1194025001617924e-10
Position 2220: 8.569564746499388e-11
Position 3101: 1.1185898799410167e-12
Position 15276: 5.257810035731667e-14
Position 1895: 4.2535120479136774e-14
Position 8296: 1.5083216326685716e-15
Position 2467: 5.288938687314541e-16
Position 9244: 2.966764197866305e-16
Position 9857: 2.324269254784364e-16
Position 7099: 1.3494887559197146e-16
Position 9017: 1.0256534864113538e-16
Position 6165: 8.140409657873524e-17
Position 8446: 4.266037940440172e-17
Position 8541: 3.4821438358635096e-17
Position 6616: 2.710768286152754e-17
Position 5263: 1.6370432908273015e-17
Position 5373: 8.31431601864806e-18
Position 6594: 5.764276231768923e-18
Position 6499: 3.0657893701623146e-18
Position 6937: 1.9131292346782815e-18
Position 4463: 3.7327503398922943e-19
Position 5015: 2.0978767411765308e-19
Position 3794: 3.932734080714428e-20
Position 4137: 2.4683500906802e-20
Position 4585: 6.803847617787632e-21
Position 4165: 5.6669402358626374e-21
Position 4184: 5.543631964363278e-21
Position 4081: 1.4335333883982096e-21
Position 4106: 1.381212992803213e-22
Position 4011: 7.848877463250207e-24
Position 3525: 7.107591283449424e-24
Position 3536: 5.8222793675203485e-24
Position 4049: 1.9826549134720508e-24
Position 4032: 5.38156248980558e-25
Position 3436: 5.631110288088176e-26
Position 3583: 1.6638174248544725e-26
Position 3627: 8.08479037654289e-27
Position 3928: 6.030815502294943e-30

Sorted 3' Splice Sites (High to Low Probability):
Position 40539: 0.9999999940562603
Position 3421: 0.9974187616975234
