Gene = PIG-C
index = 1357
Annotated 5SS: [541]
Annotated 3SS: [642]
SMsplice 5SS: [541]
SMsplice 3SS: [598]
top_k =  500
Partition function (log Z): -6.292556440134153

Sorted 5' Splice Sites (High to Low Probability):
Position 541: 0.9904733889811812
Position 194: 0.17879637822511535
Position 161: 0.011456428106252243
Position 13: 0.006972396437516272
Position 1109: 0.004494513860039332
Position 573: 0.0007872748377317761
Position 1043: 0.0006203238327523951
Position 818: 0.0006187221847405316
Position 202: 0.0005538366761333344
Position 833: 0.0004443949549482903
Position 847: 0.00040542275754360305
Position 828: 0.00029131649622282
Position 43: 0.00027813626109201753
Position 391: 0.00019453606536740423
Position 564: 6.999778348413534e-05
Position 292: 6.589735864181465e-05
Position 394: 6.542951858542559e-05
Position 174: 4.284093394557267e-05
Position 1054: 2.5690386353786745e-05
Position 76: 2.30543138966126e-05
Position 327: 2.0396990946303244e-05
Position 344: 1.623999610614239e-05
Position 705: 8.893965027387248e-06
Position 385: 8.72027776231105e-06
Position 532: 8.272161313007929e-06
Position 87: 5.7382314784777634e-06
Position 566: 5.504713308744803e-06
Position 299: 5.160496317191412e-06
Position 523: 4.287064013514374e-06
Position 632: 2.1676564820048873e-06
Position 1026: 1.4010658712318215e-06
Position 271: 7.340525121081352e-08
Position 739: 5.559398345669158e-08
Position 727: 1.2521456096034663e-08
Position 481: 1.4047607527774068e-09
Position 625: 9.853886357579922e-11
Position 273: 7.617637307574176e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.5484207048352401
Position 637: 0.34091832690721935
Position 263: 0.13960537774057102
Position 642: 0.06209795246800055
Position 269: 0.022603053630839795
Position 299: 0.018531757746807202
Position 918: 0.014972158942148395
Position 915: 0.010936468689200004
Position 921: 0.01048117901558732
Position 216: 0.0071218050687760015
Position 69: 0.006656244174082933
Position 1164: 0.006274171961193423
Position 685: 0.004972421122106177
Position 441: 0.0011117839969620763
Position 391: 0.0009783404053488206
Position 1175: 0.00036579250530714653
Position 313: 0.0003589326939908954
Position 1002: 0.00014706385522812986
Position 164: 5.010351706607556e-05
Position 202: 4.9747034410606997e-05
Position 449: 3.8270500030432436e-05
Position 526: 2.59035162509355e-05
Position 772: 1.2555950757061402e-05
Position 673: 6.823683575627862e-06
Position 341: 4.975993504857434e-06
Position 1008: 4.7375351032445316e-06
Position 350: 3.936608928377676e-06
Position 128: 3.667951212317234e-06
Position 1172: 3.1676169892808224e-06
Position 1021: 2.469602433382616e-06
Position 1026: 2.3936273759152603e-06
Position 81: 1.6183377386328932e-06
Position 337: 1.1117729228507289e-06
Position 1124: 9.739830966312841e-07
Position 184: 5.992130768515007e-07
Position 344: 2.1153781086008686e-07
Position 138: 9.634622793472771e-08
Position 540: 5.52703253724371e-09
Position 369: 7.39378302852269e-15
