Gene = Dim1
index = 1136
Annotated 5SS: [164]
Annotated 3SS: [262]
SMsplice 5SS: [164]
SMsplice 3SS: [262]
top_k =  500
Partition function (log Z): -7.2851589005329345

Sorted 5' Splice Sites (High to Low Probability):
Position 615: 0.6785419365712236
Position 164: 0.6444570344031041
Position 400: 0.06706705786354081
Position 601: 0.03985970848808249
Position 263: 0.03901219339753506
Position 380: 0.030846092099411207
Position 338: 0.01683033870417027
Position 7: 0.008306685499314934
Position 168: 0.005774444482025579
Position 555: 0.005339229725325845
Position 158: 0.0030582970216189256
Position 177: 0.0029090944965663467
Position 59: 0.002652525841271407
Position 216: 0.0024818903865433113
Position 26: 0.002194666145783948
Position 201: 0.0015485386370658063
Position 181: 0.001202920560969759
Position 572: 0.000830318840736386
Position 161: 0.0005258892384823359
Position 624: 0.0005147824708606196
Position 549: 0.00043836443965622127
Position 125: 0.00022226186710362758
Position 409: 0.00018462046911904066
Position 11: 0.00015500123874995732
Position 406: 0.00013811175228857175
Position 365: 0.00010773799460266537
Position 319: 0.00010306986570367536
Position 425: 9.138963598010025e-05
Position 539: 7.200804900840526e-05
Position 567: 5.360982826683849e-05
Position 619: 3.859761446550557e-05
Position 91: 9.38276761797078e-06
Position 564: 6.659789377652618e-06
Position 314: 5.101173994171236e-06
Position 640: 5.086266046390547e-06
Position 276: 4.279214892675177e-06
Position 530: 2.6735431830402145e-06
Position 36: 1.104296047719428e-06
Position 353: 8.535115008597239e-07
Position 541: 6.345614089202803e-07
Position 42: 5.387187858349959e-07
Position 430: 3.33706944125998e-08
Position 250: 2.7524465223509242e-08
Position 88: 1.6465357998082593e-08
Position 270: 6.491971388381844e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.5579329745567877
Position 686: 0.44153927086070577
Position 659: 0.27922002280741365
Position 448: 0.16329890465647995
Position 231: 0.07166189710558492
Position 324: 0.027382165621294672
Position 689: 0.008093474420206317
Position 84: 0.0024295920405374653
Position 124: 0.0016765904096045356
Position 337: 0.0011393841068507026
Position 487: 0.000540284452122331
Position 245: 0.0003410654334220344
Position 606: 0.0001151204784321205
Position 397: 9.948712950440125e-05
Position 313: 5.295124602271355e-05
Position 505: 2.324453802484383e-05
Position 640: 1.481249801083655e-05
Position 511: 1.444124586673324e-05
Position 614: 3.686136701570663e-06
Position 343: 3.09189573439891e-06
Position 514: 2.51831199546013e-06
Position 575: 2.512381854024933e-06
Position 379: 1.8548216309518212e-06
Position 601: 1.3704413737029585e-06
Position 406: 1.2676806877318666e-06
Position 133: 7.8702352129408e-07
Position 177: 5.584652602770561e-07
Position 559: 4.380544895301597e-07
Position 148: 3.26281068948052e-07
Position 190: 2.865316377909265e-07
Position 586: 2.730721843290345e-07
Position 187: 1.1473685011703805e-07
Position 151: 3.2832354008539124e-08
Position 334: 1.291235557981826e-08
Position 161: 1.0291336573393427e-10
Position 168: 1.5574013127007742e-11
Position 206: 1.3282837519801461e-11
Position 158: 5.5794417429622546e-12
