Gene = homer
index = 1731
Annotated 5SS: [ 167 1218 1710 1842 2172 2363]
Annotated 3SS: [ 928 1272 1762 1904 2227 2416]
SMsplice 5SS: [ 563 1218 1710 1842 2172 2363]
SMsplice 3SS: [ 928 1272 1762 1904 2227 2416]
top_k =  500
Partition function (log Z): 16.137282715445203

Sorted 5' Splice Sites (High to Low Probability):
Position 1842: 0.9994104684307902
Position 1218: 0.9993073659284959
Position 1710: 0.9936146583567013
Position 2363: 0.9720350951245699
Position 2172: 0.9674126534936333
Position 563: 0.5365505882579074
Position 167: 0.2561497640816272
Position 2833: 0.10007419695976696
Position 3048: 0.06843762597582517
Position 406: 0.05639850909914505
Position 2176: 0.02990555258673977
Position 2490: 0.02213655227389278
Position 388: 0.020280660224187046
Position 3079: 0.01620159148113404
Position 3106: 0.015471736237449149
Position 808: 0.011922710894310597
Position 414: 0.00382006575648813
Position 410: 0.0038082616737066806
Position 3084: 0.0038019144354956356
Position 2916: 0.0037857444902863243
Position 216: 0.003370438362289053
Position 301: 0.0033191173708483684
Position 2712: 0.0030154762420173654
Position 3110: 0.002771847775931113
Position 3623: 0.002517433956660181
Position 3116: 0.002231719382325298
Position 3792: 0.0020809906652632095
Position 285: 0.002003453963254525
Position 2496: 0.001968720054750461
Position 529: 0.0015699411623325051
Position 1023: 0.0012188473443899952
Position 376: 0.0011833689023643282
Position 372: 0.0011717753074527678
Position 5: 0.0011050625400002647
Position 43: 0.0006051150705784824
Position 1671: 0.0005672444432888773
Position 2344: 0.0005641927940049302
Position 2156: 0.0004559405924834496
Position 3627: 0.00042961872230141973
Position 1089: 0.0003382732793051441
Position 585: 0.000320458960892712
Position 95: 0.0002957194559775598
Position 262: 0.00028091183745786603
Position 2149: 0.0002748305176632653
Position 3472: 0.00024080287449182897
Position 784: 0.00023677466566061602
Position 3604: 0.00022463535918288184
Position 1225: 0.00017772570234280002
Position 1055: 0.0001756194083595889
Position 2350: 0.0001733299767514132
Position 114: 0.000167558541827206
Position 380: 0.00014803999386676404
Position 3359: 0.00014632300545989533
Position 829: 0.00014033135714328055
Position 2129: 0.00013845022578957096
Position 1178: 0.00011566449093306643
Position 2417: 0.00011298748083941762
Position 3288: 0.00010966406434100519
Position 1573: 0.00010828211181958521
Position 3072: 9.805599202039127e-05
Position 390: 9.168385115309012e-05
Position 3273: 8.865438075746765e-05
Position 2738: 8.530298762315312e-05
Position 2056: 8.280565697320027e-05
Position 2877: 7.628635628021814e-05
Position 265: 7.596648577450859e-05
Position 321: 6.814614276950609e-05
Position 2253: 6.461674815306202e-05
Position 2326: 5.864543986810814e-05
Position 2950: 5.567148861894043e-05
Position 268: 5.5303536952619496e-05
Position 1393: 5.3882535236926696e-05
Position 2246: 4.916948175019069e-05
Position 139: 4.879328776991067e-05
Position 289: 4.510321364518133e-05
Position 1438: 4.498370389694861e-05
Position 2061: 3.512590671527071e-05
Position 593: 3.062637497474462e-05
Position 394: 2.8669435617476735e-05
Position 551: 2.691950268837312e-05
Position 1017: 2.5383002654214587e-05
Position 1685: 2.127881527476252e-05
Position 62: 1.879590687899173e-05
Position 207: 1.872941097322276e-05
Position 668: 1.781729018601628e-05
Position 287: 1.691370192733587e-05
Position 1071: 1.165832076782211e-05
Position 1176: 1.1532214652394582e-05
Position 1222: 1.1324664801468065e-05
Position 2773: 1.04013293667458e-05
Position 374: 9.444774148803896e-06
Position 392: 9.271638828085049e-06
Position 353: 7.77952837614149e-06
