Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
top_k =  500
Partition function (log Z): -2.0468032491541996

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9860032184181223
Position 513: 0.34139440954743633
Position 517: 0.31981752918324485
Position 700: 0.10536491882257087
Position 264: 0.008982422895105148
Position 728: 0.007125102058957395
Position 459: 0.00466434032437765
Position 693: 0.003978046704879739
Position 114: 0.0022657561865984605
Position 437: 0.002076740301167598
Position 287: 0.0014313176724768848
Position 474: 0.0013433515939699553
Position 246: 0.0007498524697171669
Position 302: 0.0006682517045152182
Position 644: 0.0006188084805858921
Position 521: 0.00038732915493595177
Position 620: 0.00032200637907121106
Position 489: 0.00016256654495635988
Position 15: 0.00012501199958985643
Position 594: 5.3278145021200846e-05
Position 163: 4.180923007970666e-05
Position 55: 2.896028507011302e-05
Position 398: 9.69628132521106e-06
Position 64: 8.115770491736018e-06
Position 570: 7.095182455391337e-06
Position 88: 5.15778460507883e-06
Position 199: 4.7187380839104855e-06
Position 803: 3.8073340729701787e-06
Position 750: 3.051514201759866e-06
Position 629: 2.7209352069267897e-06
Position 327: 2.178180178038502e-06
Position 82: 1.3934448335418802e-06
Position 748: 7.572222505620588e-07
Position 143: 1.6062897230727066e-07
Position 354: 1.3765291045476112e-07
Position 73: 1.254709137864292e-07
Position 536: 1.151134693872883e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.9903958126798441
Position 565: 0.5641646140522779
Position 789: 0.20626101161277374
Position 585: 0.018652566984947914
Position 594: 0.0026970148316712212
Position 577: 0.0022182953217120345
Position 163: 0.0007522333099063879
Position 513: 0.00041256503353396845
Position 398: 0.0003315762734938496
Position 644: 0.0002534485079307711
Position 372: 0.0002282979462436229
Position 448: 0.00020923543296915383
Position 309: 0.00020712540526262286
Position 800: 0.0001293912312199778
Position 194: 9.87496617987682e-05
Position 524: 8.336203730837608e-05
Position 302: 7.676273457747663e-05
Position 205: 7.583412446931306e-05
Position 482: 6.757978048682617e-05
Position 428: 5.5734929645444805e-05
Position 861: 5.5376292335642354e-05
Position 603: 4.801843102260517e-05
Position 219: 3.9307952779598776e-05
Position 629: 3.050563173202822e-05
Position 113: 2.3539718606158322e-05
Position 73: 1.8923260374009254e-05
Position 97: 1.533024352081542e-05
Position 174: 1.3114286745703474e-05
Position 154: 1.2468583071617992e-05
Position 536: 1.1604798174104906e-05
Position 64: 6.885238060466941e-06
Position 226: 2.7045168727214793e-06
Position 489: 1.9935360645108456e-06
Position 249: 1.1684071880378354e-06
Position 135: 9.97526523541239e-07
Position 143: 5.038952082779437e-07
Position 827: 4.933765952645863e-07
Position 124: 6.373816715223038e-08
Position 221: 2.3563031952630997e-08
Position 287: 1.5839872533125777e-08
Position 255: 8.460878742849406e-09
Position 260: 1.6752171684575331e-10
