Gene = mre11
index = 1794
Annotated 5SS: [ 317 1444 1664 2029]
Annotated 3SS: [ 368 1502 1718 2095]
SMsplice 5SS: [ 317 1664 2029]
SMsplice 3SS: [ 368 1718 2095]
top_k =  500
Partition function (log Z): -3.729969718375015

Sorted 5' Splice Sites (High to Low Probability):
Position 1664: 0.9594438795237831
Position 2029: 0.8733793414335291
Position 317: 0.8653757146247186
Position 1444: 0.28497777051172757
Position 271: 0.058681845310461826
Position 472: 0.035033959487359795
Position 782: 0.033276240296515866
Position 739: 0.032016892234584066
Position 1381: 0.022661560278879053
Position 2017: 0.02095215910019969
Position 1010: 0.015043118491754192
Position 1376: 0.01379110682525912
Position 826: 0.010897483258651893
Position 308: 0.010050570742660088
Position 819: 0.007046163755680838
Position 681: 0.005372613123143489
Position 1157: 0.005216386163385236
Position 468: 0.005087999616383216
Position 48: 0.004463936749993893
Position 2038: 0.004430061900060926
Position 1174: 0.004263757960182039
Position 608: 0.0041390287875179696
Position 901: 0.003655662536873317
Position 1436: 0.0033373822517329312
Position 2024: 0.003287276512588846
Position 2021: 0.0017418517466389137
Position 1272: 0.0014874701181533706
Position 1532: 0.001185802361160455
Position 631: 0.0011733621774758156
Position 1320: 0.0011403599335298442
Position 186: 0.0009950168412472308
Position 1222: 0.0008520606331564947
Position 291: 0.0007653295867379469
Position 1973: 0.0005996164699788796
Position 595: 0.00044680643980184393
Position 24: 0.00035740507284844525
Position 1277: 0.0003338327348259006
Position 30: 0.0002997826503392291
Position 239: 0.00028860257573791497
Position 1384: 0.00026273328666455334
Position 2011: 0.00020068284550480605
Position 1858: 0.00019605185645318865
Position 1659: 0.00019389148600983358
Position 511: 0.00015741651047919487
Position 460: 0.0001525590883423189
Position 744: 0.00014534096163191373
Position 1366: 0.00013155866210447388
Position 1391: 0.00012734468405916873
Position 1668: 9.964714601256387e-05
Position 1580: 8.755745109826061e-05
Position 129: 3.10891633154057e-05
Position 1622: 2.9750133630489064e-05
Position 1991: 2.928699532576336e-05
Position 2145: 2.4985003060759964e-05
Position 237: 2.2561152923382314e-05
Position 401: 2.1548220476704443e-05
Position 1892: 2.028267745972153e-05
Position 63: 1.843221121676051e-05
Position 249: 1.5632220648851755e-05
Position 1114: 9.859550659501848e-06
Position 202: 8.841931655518114e-06
Position 554: 6.1821573158632555e-06
Position 144: 2.0952266431542545e-06
Position 1238: 8.174822623728524e-07
Position 563: 6.039062270755695e-07
Position 336: 2.957846095932159e-07
Position 557: 2.4365398773791107e-07
Position 763: 1.9145251670788736e-07
Position 612: 1.491844195384582e-07
Position 545: 7.903803953983565e-08
Position 83: 2.4639168071373726e-08
Position 911: 2.4000194709891244e-08
Position 1090: 2.2330052244258675e-08
Position 75: 1.218034809463946e-08
Position 407: 8.061108022404539e-09
Position 1562: 1.4630167590011474e-09
Position 412: 1.8477549412141054e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1718: 0.9656018168454277
Position 368: 0.8832805602455057
Position 2095: 0.8459377118264243
Position 1502: 0.4672216051267013
Position 2109: 0.05573214714106599
Position 1487: 0.018236055740863646
Position 1473: 0.01163742393234161
Position 1291: 0.00940505400762116
Position 1605: 0.007838931188423496
Position 1848: 0.0065903042796156865
Position 511: 0.005396498581330772
Position 975: 0.0031409943746679913
Position 1191: 0.003029802309363555
Position 108: 0.002853803744682054
Position 2130: 0.0016784172495728496
Position 738: 0.001523280400163182
Position 1595: 0.0014821297768735306
Position 2127: 0.0014559063924876473
Position 1728: 0.0012198060110056902
Position 111: 0.0011489945974063995
Position 834: 0.0005800822900969252
Position 823: 0.0004731599773869686
Position 545: 0.0004554911954110442
Position 1895: 0.00040905378381913605
Position 423: 0.000393076323846552
Position 630: 0.0003698157377261604
Position 75: 0.00034866698652071085
Position 1734: 0.0003358624470722881
Position 431: 0.00024914869899913644
Position 83: 0.0002475797475470628
Position 692: 0.00019461623508632743
Position 2157: 0.00017892560309477895
Position 468: 0.00011647648489233278
Position 563: 0.00010661968965535677
Position 2229: 0.00010497696866297942
Position 2217: 0.00010037659183485248
Position 858: 8.336089393775702e-05
Position 1065: 8.142459219533979e-05
Position 1251: 7.936211315538714e-05
Position 1144: 6.399026749154903e-05
Position 1972: 5.8502716983870885e-05
Position 2232: 4.375328911364604e-05
Position 113: 3.214495420394615e-05
Position 1738: 2.1915918092179818e-05
Position 180: 5.754881881402747e-06
Position 116: 1.1013801771319812e-06
Position 202: 2.63282756623415e-07
Position 298: 2.0348383455613606e-07
Position 302: 1.902370024251858e-08
Position 438: 1.6463583567224762e-08
Position 245: 1.369257639061453e-08
Position 270: 8.778113819797687e-09
Position 320: 5.581416390364557e-09
Position 221: 3.6678521210282334e-10
Position 317: 1.2858582249620024e-10
Position 197: 1.229602845831938e-10
Position 218: 1.144183243514051e-10
Position 378: 5.721835785509156e-11
