Gene = Spindly
index = 1513
Annotated 5SS: [ 550  780 1062 1262 1501]
Annotated 3SS: [ 613  845 1119 1401 1560]
SMsplice 5SS: [ 550  780 1062 1501]
SMsplice 3SS: [ 613  845 1119 1560]
top_k =  500
Partition function (log Z): 6.68350975614275

Sorted 5' Splice Sites (High to Low Probability):
Position 1501: 0.9958922452929556
Position 550: 0.9934748763387335
Position 1062: 0.9888242843773594
Position 780: 0.9650479230177488
Position 1262: 0.2181525451182671
Position 1359: 0.11059130096354147
Position 1354: 0.03852323262687442
Position 783: 0.026747916583348033
Position 1223: 0.009792992401023718
Position 1940: 0.007894171575346092
Position 1865: 0.006162317915198686
Position 2735: 0.005645514953138745
Position 1992: 0.005217882617647092
Position 2477: 0.005124475783462055
Position 2252: 0.004653154486104565
Position 1706: 0.004448403566616297
Position 1313: 0.002570882108125467
Position 405: 0.0025423342097671887
Position 2745: 0.002415254556805859
Position 728: 0.0015600683217413046
Position 417: 0.001350981709026516
Position 1066: 0.0012216754236971151
Position 343: 0.0011292136384632794
Position 2042: 0.0008100623456944713
Position 2732: 0.000798574213671755
Position 535: 0.0005739575910340204
Position 641: 0.0005348192110702232
Position 1340: 0.0004797049875157585
Position 2292: 0.0004129273317271861
Position 501: 0.000366360131240963
Position 476: 0.0003511458046183877
Position 1916: 0.0002108824161430578
Position 1959: 0.00020899772184059323
Position 1083: 0.00019116196798951653
Position 569: 0.00017157772885611184
Position 1798: 0.0001664958915803958
Position 2690: 0.00015890835213250008
Position 1281: 0.0001496834895506691
Position 1712: 0.0001370131630882153
Position 1227: 0.00012017691370507114
Position 1922: 0.00011043971318310919
Position 1268: 0.00010465007988412829
Position 1087: 0.00010307479775937359
Position 1660: 9.028083743553435e-05
Position 1023: 7.437916081073302e-05
Position 2673: 6.768308512801837e-05
Position 2129: 6.280208146472616e-05
Position 1041: 5.309711243209937e-05
Position 978: 4.6512270112357846e-05
Position 2297: 4.466101045232948e-05
Position 288: 2.771175572715031e-05
Position 1710: 2.429578826972097e-05
Position 2217: 2.052938411561967e-05
Position 1481: 1.6923133924507e-05
Position 2853: 1.4336912492596558e-05
Position 84: 1.3827003903010844e-05
Position 2727: 1.3279908362913628e-05
Position 1826: 1.0506735778883639e-05
Position 281: 7.645203525710429e-06
Position 711: 7.179278492067865e-06
Position 195: 4.811118094024592e-06
Position 33: 4.732646301353883e-06
Position 11: 4.272864701649928e-06
Position 449: 3.816962456912098e-06
Position 1108: 3.1254382425586447e-06
Position 224: 2.5740601739992874e-06
Position 76: 1.9229616803702465e-06
Position 995: 1.403469748516941e-06
Position 316: 8.112306152959869e-07
Position 2257: 5.722650730670793e-07
Position 64: 4.843129229266079e-07
Position 875: 4.712350500726064e-07
Position 246: 3.02134896465017e-07
Position 2175: 2.4150976722084933e-07
Position 1868: 1.7912263877554783e-07
Position 2225: 1.7217245431958635e-07
