Gene = lilli
index = 1758
Annotated 5SS: [  650  4988 59864 61507 62102 62217 65183 65454 65628 65877 66099]
Annotated 3SS: [ 3744 59100 60779 61679 62159 62275 65261 65540 65710 65947 66159]
SMsplice 5SS: [  650  4988 60730 60926 62102 62217 65183 65454 65628 65877 66099]
SMsplice 3SS: [ 4447 60517 60779 61679 62159 62275 65261 65540 65710 65947 66159]
top_k =  500
Partition function (log Z): -51.42256688244584

Sorted 5' Splice Sites (High to Low Probability):
Position 4988: 0.9999999989965064
Position 650: 0.60442217407079
Position 532: 0.10218215560664383
Position 326: 0.0726669196244742
Position 320: 0.0684645726601397
Position 314: 0.04927154191149587
Position 351: 0.043318033056258344
Position 205: 0.03308846755499786
Position 308: 0.0036391852499241765
Position 1008: 0.0035804931200558465
Position 304: 0.0034612008441624264
Position 1066: 0.003431792755438724
Position 1004: 0.0033564921556205364
Position 536: 0.0031718559110533577
Position 943: 0.002946404077748823
Position 542: 0.002044844154709599
Position 696: 0.0009538681788386699
Position 21477: 7.448053038638317e-09
Position 4106: 1.572951518369655e-09
Position 4795: 8.138149635152622e-10
Position 5305: 7.320349018735946e-10
Position 5841: 6.396879407903816e-10
Position 4291: 4.1147012810829686e-10
Position 21473: 3.0009088172169025e-10
Position 3938: 2.3131523274863084e-10
Position 2389: 8.019636212310473e-11
Position 2670: 4.137374211258859e-11
Position 2311: 2.1269563906857038e-11
Position 403: 1.8199925311948354e-11
Position 1419: 1.6225734200818125e-11
Position 530: 1.2184594494383827e-12
Position 285: 8.379607407220293e-13
Position 300: 8.343371915898059e-13
Position 260: 7.664138673924113e-13
Position 107: 7.061472524322802e-13
Position 264: 5.117505676382319e-13
Position 268: 4.674796757269257e-13
Position 172: 3.816968186616779e-13
Position 330: 3.2705696099943523e-13
Position 345: 3.1235834445676555e-13
Position 1012: 2.54754892763865e-13
Position 550: 1.9488090779095876e-13
Position 1016: 1.9153095608159947e-13
Position 58: 1.7292596109698308e-13
Position 149: 1.5704249847123897e-13
Position 355: 1.3414302284235155e-13
Position 256: 1.3090798237615545e-13
Position 548: 1.2723718817163548e-13
Position 1014: 1.2695753394773606e-13
Position 276: 1.2270522429654553e-13
Position 1018: 1.131153656329594e-13
Position 1475: 1.1228118624976671e-13
Position 324: 9.78063404463637e-14
Position 254: 8.376018150442138e-14
Position 8: 7.631911248196375e-14
Position 302: 7.272512595466757e-14
Position 318: 6.904467577824233e-14
Position 1020: 6.16171959066259e-14
Position 272: 5.843781256962041e-14
Position 446: 5.523774343573913e-14
Position 1416: 4.341839184586378e-14
Position 1032: 3.436399047843309e-14
Position 1436: 3.391280111058866e-14
Position 1022: 2.9196883816746776e-14
Position 560: 2.4225469515924485e-14
Position 292: 1.4507815479560694e-14
Position 12547: 1.428247228492149e-14
Position 1186: 1.1753945200323356e-14
Position 7225: 1.020216655616249e-14
Position 12114: 8.705822425528922e-15
Position 6: 6.4253145564515824e-15
Position 1002: 6.224970861479086e-15
Position 673: 3.602707602870685e-15
Position 312: 1.2567227286458502e-15
Position 654: 1.153772901505623e-15
Position 248: 6.031534819330077e-16
Position 10347: 4.825298955798487e-16
Position 278: 3.60973255581245e-16
Position 258: 2.795999556639514e-16
Position 219: 1.0956010757687928e-16
Position 7948: 1.3540841124978523e-17
Position 6143: 5.224836115222313e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 38984: 0.9999867755245523
Position 4447: 0.6531771434655483
Position 4871: 0.2035939152240916
Position 4749: 0.06501512890146459
Position 4520: 0.020686289450008503
Position 3744: 0.017744724246426036
Position 4831: 0.009731556894329025
Position 4488: 0.008180985724833069
Position 4467: 0.006891256256438019
Position 4666: 0.005739403348477607
Position 4717: 0.003537888246421362
Position 4241: 0.001685371116969908
Position 4592: 0.0013381821548753752
Position 3995: 0.0011551048108756222
Position 4207: 0.0007793954481091513
Position 3879: 0.00028358272805874393
Position 1934: 0.00023696901351689755
Position 3637: 0.00022310500481969808
Position 29762: 1.3092651703559327e-05
Position 25530: 1.0829061957240907e-07
Position 21146: 1.8116775940882375e-08
Position 21530: 7.748143920360007e-09
