Gene = Aps
index = 24
Annotated 5SS: [ 388 1146 2345 2655]
Annotated 3SS: [ 678 2245 2498 2713]
SMsplice 5SS: [1146 2345 2655]
SMsplice 3SS: [2245 2498 2713]
top_k =  500
Partition function (log Z): 1.7885354390804218

Sorted 5' Splice Sites (High to Low Probability):
Position 2655: 0.9992941204436434
Position 2345: 0.994108080237136
Position 1146: 0.7615291000169354
Position 2164: 0.4330109587770321
Position 400: 0.07708263485542899
Position 2189: 0.0651879007216516
Position 2043: 0.05466952974098741
Position 272: 0.05428172521876242
Position 3029: 0.05101001889896257
Position 388: 0.048993100861657715
Position 524: 0.048613742371955135
Position 73: 0.04618737158543995
Position 472: 0.03970139124218006
Position 1503: 0.02604532667589618
Position 1226: 0.02179802483455586
Position 83: 0.01780327281792732
Position 1441: 0.0175032155801065
Position 768: 0.017319946930742444
Position 27: 0.01027177460181266
Position 1210: 0.009729317698195848
Position 1499: 0.007820166389992833
Position 3385: 0.005258387688657144
Position 42: 0.003921079653524899
Position 3252: 0.0038258050485480925
Position 369: 0.0033228361266117506
Position 1760: 0.0027501103816493363
Position 2407: 0.0019814536111475876
Position 3402: 0.0019325736776446003
Position 264: 0.0016148985768383798
Position 1342: 0.0014197874200763826
Position 527: 0.0013754206087114435
Position 1615: 0.001324366281857308
Position 1206: 0.0012268788053321309
Position 801: 0.0011707259161264322
Position 615: 0.0011677195323013148
Position 3306: 0.0009680080952204589
Position 1238: 0.0008642643786950153
Position 1411: 0.00063555585738047
Position 110: 0.0006236890878940576
Position 600: 0.00060519181986584
Position 783: 0.0005370426265545512
Position 2373: 0.0005328950459154219
Position 1170: 0.0005260944808521957
Position 2924: 0.0005097920341691306
Position 841: 0.0004816260483386119
Position 763: 0.0004815800987091204
Position 761: 0.000382452233869059
Position 2815: 0.0003745120045889112
Position 87: 0.00034399717724555734
Position 1463: 0.000311882459466125
Position 2776: 0.00025085411204952266
Position 197: 0.0002504703924001019
Position 123: 0.00023761936662391257
Position 3895: 0.00022701845917700954
Position 756: 0.0002200498893639336
Position 81: 0.00021687478760359206
Position 3162: 0.00018467436181022202
Position 574: 0.00017518778526121374
Position 3166: 0.00016704265874067998
Position 3978: 0.00016602742293252701
Position 266: 0.00016363764890035847
Position 314: 0.00015904859817324185
Position 2349: 0.00015161398847067861
Position 3227: 0.00014109030781348186
Position 2659: 0.0001379358804470784
Position 1452: 0.0001337459790235753
Position 3975: 0.00012827510446967893
Position 2445: 0.00012196812399462468
Position 1808: 0.00012145238882085603
Position 1093: 0.00011867863741755769
Position 1250: 0.00011785167295735334
Position 2644: 0.00011684052363867638
Position 132: 0.0001147658955404903
Position 1696: 0.00010367047451346386
Position 2799: 0.00010205592832010796
Position 1940: 8.70038410404264e-05
Position 597: 8.488202065256334e-05
Position 1979: 7.781288192827697e-05
Position 2812: 7.740699131579994e-05
Position 1903: 7.441038467915963e-05
Position 621: 7.044422967366418e-05
Position 3221: 4.732226791883521e-05
Position 274: 4.59041942814623e-05
Position 238: 4.429731183649167e-05
Position 2313: 3.8879696741554986e-05
Position 788: 3.458087515967298e-05
Position 2921: 3.418566147210204e-05
Position 2646: 3.166940613119639e-05
Position 785: 3.0330663237614388e-05
Position 545: 2.396272146503537e-05
Position 11: 2.227178658224035e-05
Position 470: 2.1886097817224274e-05
Position 276: 1.858446809701714e-05
Position 805: 1.834441532445552e-05
Position 829: 1.619997404266827e-05
Position 583: 1.5805427838327495e-05
Position 167: 1.383159167479163e-05
Position 689: 1.2368075688101215e-05
Position 175: 8.982846719478353e-06
Position 2499: 8.564813786224955e-06
Position 2619: 8.187101729250723e-06
Position 94: 7.755485460952615e-06
Position 1332: 7.41678119397701e-06
Position 199: 6.47996408545257e-06
Position 162: 5.4837067846477716e-06
Position 873: 3.9877129072603105e-06
Position 1445: 3.975176826111405e-06
Position 836: 1.3119539659475983e-06
Position 1408: 7.426731789149931e-07
Position 3215: 6.620988205216452e-07
Position 678: 4.950536367529105e-07
Position 2616: 3.674210400488644e-07
Position 3148: 2.954056913786805e-07
Position 170: 2.7896918068154537e-07
Position 2947: 2.6221690952480746e-07
Position 2756: 1.4812097181314497e-07
Position 2632: 1.3322524029622553e-07
Position 2743: 6.4388324120006e-08
Position 1435: 4.63078356942786e-08
Position 2741: 4.609652497171675e-08
Position 2668: 4.4440122643679996e-08
Position 1213: 4.3680122892310125e-08
Position 1537: 3.096642410497673e-08
Position 2580: 2.6114428926689394e-08
Position 2635: 2.1237288816415435e-08
Position 1543: 2.1052201313744918e-08
Position 2589: 1.7005313702239586e-08
Position 2747: 8.691874271321048e-09
Position 3: 3.646242909917813e-09
Position 2598: 3.2374029766413974e-09
Position 2321: 2.9493416419964167e-11
Position 2675: 4.303329981215147e-12
Position 2508: 1.7639438337749828e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2713: 0.9871895740646173
Position 2498: 0.9598578751401717
Position 2245: 0.9572992491023534
Position 1028: 0.32972734778692897
Position 1572: 0.22466408359745374
Position 1635: 0.04760625437060263
Position 1594: 0.040862308729681336
Position 1860: 0.03819588884339252
Position 1751: 0.03355466243463181
Position 1897: 0.025311331005697144
Position 1884: 0.022653729879328875
Position 2454: 0.022089229241918373
Position 3988: 0.02118388478812231
Position 3289: 0.014765166084630502
Position 1393: 0.013972861277980407
Position 2406: 0.010668224333808358
Position 1435: 0.007186370857491269
Position 191: 0.0070128458977928056
Position 4035: 0.006049247332747898
Position 3704: 0.006030806634916842
Position 3548: 0.005918406325370276
Position 1696: 0.005323169046040357
Position 2547: 0.004750287098001981
Position 1315: 0.004330797910630531
Position 3832: 0.0035893178334179547
Position 3252: 0.003403920343867345
Position 3140: 0.003367417716040608
Position 1462: 0.0029976490702960865
Position 1705: 0.0027029551520523047
Position 1600: 0.0026930734485291694
Position 678: 0.0026014600012132178
Position 1903: 0.0023588185595631423
Position 3598: 0.0021644893855025183
Position 1673: 0.0018658647039933249
Position 1543: 0.0017828393472910952
Position 3204: 0.0017357228747973488
Position 3864: 0.0015264983641713845
Position 194: 0.0014245037581249245
Position 2550: 0.0014094230201195288
Position 3221: 0.0013977026063720964
Position 1342: 0.0012375012944483336
Position 228: 0.0011392999348748057
Position 4241: 0.0010652174510376686
Position 1199: 0.0009509678296435298
Position 2842: 0.0007733993952603788
Position 1529: 0.0006906429023114568
Position 1642: 0.0006212149730249784
Position 3496: 0.000565371856180392
Position 2177: 0.0005029903425559773
Position 3574: 0.0004703266131787317
Position 4148: 0.0004589705585680107
Position 4177: 0.0004563850196202304
Position 1370: 0.00043552593281415554
Position 3423: 0.0004308992969219126
Position 1373: 0.0003664797280138983
Position 2432: 0.00035843980382741744
Position 2764: 0.00035664255582529525
Position 851: 0.0002913008453814415
Position 3144: 0.00026637836321689396
Position 3473: 0.00023147491953767952
Position 3514: 0.0001995828966865488
Position 4039: 0.00019314263489229414
Position 2884: 0.0001917448616996525
Position 615: 0.00017388027834019598
Position 3097: 0.00015902472433033244
Position 2438: 0.00014773110291377428
Position 4077: 0.00013216546216547528
Position 3227: 0.00013123194885894982
Position 3912: 0.00013062865641782698
Position 3156: 0.00011152031286166017
Position 3634: 0.00010103591390004695
Position 2160: 7.535460856627196e-05
Position 1213: 6.906775604803637e-05
Position 2947: 6.26690519520604e-05
Position 3664: 6.153063244276565e-05
Position 2112: 6.06132763822365e-05
Position 2890: 5.841122840767798e-05
Position 527: 5.376885431572835e-05
Position 2388: 3.8110890137126835e-05
Position 1312: 3.739661768327999e-05
Position 4340: 3.223895230787089e-05
Position 2287: 2.9695301328161705e-05
Position 779: 2.965369762574696e-05
Position 1284: 2.8854343136258247e-05
Position 331: 2.815315306912719e-05
Position 795: 2.6366270452405464e-05
Position 2531: 2.5085299939825243e-05
Position 2969: 2.342902084336946e-05
Position 1531: 2.034456466394869e-05
Position 978: 1.7316754012173884e-05
