Gene = klar
index = 1740
Annotated 5SS: [   716  32640  34510  34728  78434  86506  87777  89488  90618  94883
  96014  96125  96380  96703  97222  97395 103941 104393]
Annotated 3SS: [ 31814  34257  34565  78055  86208  87125  88842  90443  94702  95046
  96094  96237  96469  96766  97288 103764 104000 104454]
SMsplice 5SS: [   716  32640  34510  34728  40253  40533  68005  78434  86506  87777
  89488  90618  94883  96014  96380  96703  97222  97395 103941 104393]
SMsplice 3SS: [ 31814  34257  34565  40109  40315  67927  78055  86208  87125  88842
  90443  94702  95046  96237  96469  96766  97288 103764 104000 104454]
top_k =  500
Partition function (log Z): -60.36047857666132

Sorted 5' Splice Sites (High to Low Probability):
Position 34510: 0.9999999999999574
Position 716: 0.9999999999999503
Position 40533: 0.9999999996961357
Position 34728: 0.9996899005569007
Position 40253: 0.9913555025083163
Position 40213: 0.0029155332255973946
Position 40217: 0.0021277663067400462
Position 35771: 0.0018741797841690744
Position 39073: 0.0007682861676599747
Position 38706: 0.0004427219356273156
Position 38788: 0.00035998696470653104
Position 35953: 0.0001678738021543831
Position 39133: 0.00015588581239940732
Position 34931: 5.8009818521894354e-05
Position 39530: 4.296958045860779e-05
Position 38944: 2.1359814107308053e-05
Position 39449: 2.0023729128142026e-05
Position 41086: 8.563918059497366e-11
Position 40593: 6.065052565102431e-11
Position 41001: 4.962959648736125e-11
Position 41054: 2.1724457002964694e-11
Position 41067: 2.0805992153419033e-11
Position 40451: 1.2693075187961929e-11
Position 42630: 1.0422988530820364e-11
Position 47645: 9.587707517870542e-12
Position 45717: 8.016596024546211e-12
Position 40796: 1.0891741204476925e-12
Position 40492: 3.755463970529192e-13
Position 41519: 3.3179446197573626e-13
Position 43058: 3.035875901925971e-13
Position 40683: 2.922978513281139e-13
Position 40583: 2.5018586671107805e-13
Position 40433: 2.471854936045684e-13
Position 40466: 2.3389115414257214e-13
Position 40415: 2.1345876067368154e-13
Position 40403: 2.131526909929754e-13
Position 40469: 2.1232431567441717e-13
Position 41515: 1.5513677733064283e-13
Position 40406: 1.19994370375417e-13
Position 40383: 1.1614482790861554e-13
Position 40448: 1.0137523386613256e-13
Position 41523: 9.751000789329691e-14
Position 41494: 8.203741488008875e-14
Position 40764: 7.107599097157419e-14
Position 41044: 6.248978138716587e-14
Position 40973: 5.562488204042466e-14
Position 40769: 4.372927484610145e-14
Position 41039: 3.9268993167307166e-14
Position 41296: 3.485232994025559e-14
Position 41325: 3.292963279005107e-14
Position 41061: 2.50695332288767e-14
Position 41234: 1.9848420795795475e-14
Position 41034: 1.1324385190900152e-14
Position 36525: 3.952076421365012e-15
Position 40388: 2.894119409990015e-15
Position 40274: 1.1152946583400363e-15
Position 35534: 1.291726681913589e-16
Position 39077: 1.431630108747981e-17
Position 35635: 7.069271118082502e-19
Position 35361: 5.854463041922223e-19
Position 11175: 9.085466585470411e-30
Position 6596: 2.2813491777833696e-30
Position 6985: 2.0123174859390588e-30
Position 12141: 8.325875907960264e-31
Position 7067: 4.789220885010612e-31
Position 67: 5.26410210280889e-32
Position 7515: 2.627036120624024e-32
Position 820: 2.5331334070799273e-32
Position 3503: 2.3973579004809736e-32
Position 972: 5.787139643834642e-33
Position 4917: 4.9364930004905455e-33
Position 145: 4.885018897380709e-33
Position 10202: 4.6880151276829204e-33
Position 4615: 4.2855650268144045e-33
Position 2123: 4.231084016990841e-33
Position 107: 2.3510650127847946e-33
Position 4630: 2.336923090366221e-33
Position 1187: 2.2018902945481946e-33
Position 365: 1.5460489028512962e-33
Position 3473: 1.4386018839070469e-33
Position 379: 1.390953906355993e-33
Position 2211: 1.3751946701932964e-33
Position 5512: 1.3672463464184222e-33
Position 3245: 1.2554533951923056e-33
