Gene = Hsc20
index = 1216
Annotated 5SS: [291 456]
Annotated 3SS: [342 515]
SMsplice 5SS: [456]
SMsplice 3SS: [515]
top_k =  500
Partition function (log Z): -5.656717750580316

Sorted 5' Splice Sites (High to Low Probability):
Position 456: 0.6612750076465772
Position 291: 0.5630712746231058
Position 460: 0.14320320906837808
Position 449: 0.09792209201676942
Position 602: 0.018114286902423178
Position 17: 0.003832022285478361
Position 102: 0.002438544450459178
Position 276: 0.0014069791536212414
Position 73: 0.0008119020223060123
Position 38: 0.00068941350548722
Position 295: 0.0006670003786653652
Position 62: 0.0006260000450620365
Position 700: 0.0005551413340047767
Position 430: 0.000297811754226013
Position 250: 0.0001930924092702048
Position 78: 0.000176831815461002
Position 472: 0.0001390424687405863
Position 97: 0.00012197016376669493
Position 465: 0.00011585346669468918
Position 36: 0.00010636106355641667
Position 780: 0.000105063474612488
Position 129: 8.040515810983992e-05
Position 50: 4.5950673752248314e-05
Position 832: 1.9307915436906204e-05
Position 15: 1.7179577034168483e-05
Position 599: 1.7024935586875135e-05
Position 259: 1.2696568837547026e-05
Position 843: 1.2689948823165532e-05
Position 606: 8.611825250635205e-06
Position 333: 7.446729378067589e-06
Position 339: 6.848907652859528e-06
Position 407: 6.498095577491133e-06
Position 551: 4.063893525285463e-06
Position 666: 3.5184599491813317e-06
Position 205: 3.4282553820427917e-06
Position 417: 2.9192805990730695e-06
Position 396: 2.651781138043727e-06
Position 930: 1.3827083255267024e-06
Position 887: 1.0190329309622846e-06
Position 186: 2.6517814591478075e-07
Position 951: 2.405218770007917e-07
Position 161: 7.957242064742577e-09
Position 387: 5.563341331658048e-09
Position 508: 3.029479940751678e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 515: 0.9744077662615783
Position 342: 0.2937099426507265
Position 362: 0.17211582643132436
Position 664: 0.016013739050035912
Position 333: 0.015135339673243223
Position 595: 0.008952531918476172
Position 161: 0.0050670738659906065
Position 800: 0.0022440882433721813
Position 396: 0.0018476295805991763
Position 133: 0.001665525656123206
Position 393: 0.0014135159077121571
Position 423: 0.0009260426040286877
Position 65: 0.0005108535425616866
Position 97: 0.0003550122053258132
Position 835: 0.0002079233506771273
Position 186: 0.0001931234504993773
Position 417: 0.00018194996270530327
Position 747: 0.0001715633771439614
Position 666: 0.0001540612144572206
Position 544: 0.00015300739679780637
Position 387: 0.00012696497710184884
Position 141: 0.00010408779276400483
Position 756: 9.194890388153247e-05
Position 899: 6.264304287052674e-05
Position 996: 5.2015117729582426e-05
Position 624: 3.946781546655061e-05
Position 805: 3.1199699406854966e-05
Position 973: 2.763694459186688e-05
Position 879: 1.9329796908675456e-05
Position 449: 1.9098921895704214e-05
Position 108: 1.9074575551931673e-05
Position 168: 1.3569498789109396e-05
Position 484: 1.3507826802615794e-05
Position 567: 1.0613479304104166e-05
Position 488: 8.593253643837691e-06
Position 823: 5.7929547093629504e-06
Position 465: 5.788407373772365e-06
Position 876: 5.243174447942145e-06
Position 633: 5.1483197279611245e-06
Position 650: 5.11514347473607e-06
Position 76: 4.842111942441552e-06
Position 407: 4.2867855843550216e-06
Position 861: 4.23631368635755e-06
Position 272: 3.7921995925116842e-06
Position 221: 3.4750072663683124e-06
Position 866: 2.917879426517168e-06
Position 642: 2.8294512527449786e-06
Position 239: 1.5360376368135262e-06
Position 606: 1.2969924638031464e-06
Position 236: 4.3823262728522916e-07
Position 78: 2.518881381265622e-08
Position 472: 2.3031432345339235e-08
Position 551: 5.936342957951562e-09
Position 285: 1.88304039611354e-09
Position 73: 5.177469012653393e-12
Position 291: 7.499447072349507e-13
