Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  500
Partition function (log Z): -8.824816146154133

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9293904975942516
Position 1752: 0.10110370812582846
Position 1887: 0.09366422298376924
Position 2402: 0.06274973589909606
Position 1783: 0.06181527192916246
Position 3307: 0.04873821555878973
Position 4864: 0.04692937127270627
Position 2786: 0.021297334012071227
Position 1585: 0.02116127159914641
Position 852: 0.018223995293080934
Position 4777: 0.014832954976284694
Position 463: 0.01273571517506831
Position 2088: 0.011593901263082912
Position 1143: 0.010914180852954425
Position 980: 0.008950981803935268
Position 588: 0.006794957101586249
Position 2231: 0.006523795962976942
Position 269: 0.006074305319075014
Position 2512: 0.005176499033751737
Position 2047: 0.004965276376206549
Position 3904: 0.004112282657244555
Position 1186: 0.003380731165354023
Position 629: 0.0032992134092781817
Position 1266: 0.0031753177564798683
Position 633: 0.002374620463193995
Position 1745: 0.0023233671527780352
Position 1170: 0.0022680208889665765
Position 533: 0.0019573939393237785
Position 1138: 0.001908214972923341
Position 1494: 0.0016691184268614661
Position 835: 0.0016262141367034799
Position 732: 0.001473747820015815
Position 2506: 0.0014668514441417084
Position 3787: 0.0013927965652422772
Position 919: 0.0009541384082651589
Position 926: 0.0008980032180698728
Position 1460: 0.0008348521860846088
Position 174: 0.000799142096653501
Position 565: 0.0007564705006145399
Position 1353: 0.0007174362420047257
Position 310: 0.0007156564903218429
Position 1588: 0.0006698416968687499
Position 1554: 0.0006115593019158807
Position 1080: 0.000572444770249723
Position 2118: 0.0005184177243719377
Position 116: 0.0004794582843232019
Position 1534: 0.0004043431190429549
Position 756: 0.0003846406544376816
Position 1379: 0.000379128244096128
Position 264: 0.0003602519361061503
Position 896: 0.0003179145583571685
Position 2480: 0.0002598872189127483
Position 1323: 0.00025646586708078894
Position 2126: 0.00025025329276317387
Position 547: 0.00019733175596329944
Position 700: 0.00019390297267867852
Position 1428: 0.0001479102826749464
Position 148: 0.00014075696411666253
Position 443: 0.00011784191649618176
Position 668: 9.604003777269979e-05
Position 752: 4.803958441150202e-05
Position 750: 4.7993842110684664e-05
Position 82: 4.1362606331053746e-05
Position 1350: 4.021611121006834e-05
Position 748: 3.9142790653927216e-05
Position 930: 3.624603635523817e-05
Position 746: 3.581364207781622e-05
Position 884: 3.3710332493969885e-05
Position 159: 3.354586543073977e-05
Position 1075: 2.8042354963122494e-05
Position 770: 2.1709653755803113e-05
Position 103: 1.5610631078962923e-05
Position 690: 1.5602288567896294e-05
Position 126: 1.3198976949047726e-05
Position 2072: 1.0346556403561168e-05
Position 146: 8.868555275944967e-06
Position 744: 7.3587243443244074e-06
Position 887: 7.3530957864893645e-06
Position 537: 7.243878367775039e-06
Position 2500: 6.446574748970739e-06
Position 708: 4.873591711592448e-06
Position 427: 3.5683232609874523e-06
Position 337: 3.0671121741596807e-06
Position 411: 2.4784333525528962e-06
Position 637: 1.443055053097173e-06
Position 659: 1.1979916432309243e-06
Position 331: 1.0688371532106842e-06
Position 128: 5.2271529908586e-07
Position 235: 3.42046038753038e-07
Position 229: 3.2518996806853265e-07
Position 187: 3.178950494192476e-07
