Gene = Gbs-76A
index = 1184
Annotated 5SS: [1287 7543]
Annotated 3SS: [7352 7665]
SMsplice 5SS: [1287 7543]
SMsplice 3SS: [7352 7665]
top_k =  500
Partition function (log Z): -5.781544240694876

Sorted 5' Splice Sites (High to Low Probability):
Position 7543: 0.957364386328467
Position 1287: 0.8299534952726314
Position 841: 0.30621874011043093
Position 8290: 0.12018213402192814
Position 8046: 0.09939909288487637
Position 7731: 0.09934799416377253
Position 10174: 0.07148377943614892
Position 8297: 0.06777549204760744
Position 8320: 0.06378678337654034
Position 1291: 0.06140885422445443
Position 183: 0.05294287931379247
Position 9678: 0.03374412325189238
Position 7549: 0.02392575626770662
Position 10206: 0.023141595840844617
Position 3530: 0.018775239951636803
Position 7561: 0.01600616105567295
Position 6544: 0.01483033072606477
Position 311: 0.01389482894544193
Position 346: 0.012499826581185897
Position 6648: 0.0118794736880757
Position 3366: 0.009491819228762336
Position 3450: 0.009407586094614102
Position 10226: 0.008293183138916312
Position 328: 0.007884390055425131
Position 8575: 0.007661580352027278
Position 10199: 0.006836027565557167
Position 3410: 0.005547180026675949
Position 317: 0.004948196955980681
Position 4375: 0.004723998901648024
Position 10486: 0.00372468974573161
Position 7567: 0.0024908100840787574
Position 7964: 0.0022268592789387136
Position 8877: 0.0017673273338481013
Position 3009: 0.0017512055168358626
Position 3664: 0.0016392668201906343
Position 9290: 0.001594091393399519
Position 7762: 0.0014336102875074938
Position 1133: 0.001271914226974638
Position 8050: 0.0011436559067109996
Position 9189: 0.0008864677932715118
Position 9145: 0.000828707755148475
Position 8497: 0.000746986886947791
Position 695: 0.00058432226900108
Position 437: 0.0004762997093424312
Position 201: 0.00046202445915455233
Position 843: 0.00042640805457218263
Position 7851: 0.00038546832142402295
Position 9328: 0.00038526963330999205
Position 7949: 0.00033136465096297656
Position 992: 0.00033003335722019876
Position 2291: 0.0003086624058672082
Position 2128: 0.00027004832543848996
Position 3175: 0.00019713028816679246
Position 1047: 0.0001864007860045702
Position 8911: 0.00017741538285880382
Position 1158: 9.808898756461541e-05
Position 2919: 9.347519736605097e-05
Position 2980: 6.56115833942397e-05
Position 63: 6.475812982916648e-05
Position 7508: 6.41350179218587e-05
Position 1564: 6.363056749849728e-05
Position 1336: 5.855670696685363e-05
Position 2120: 5.4740715340995526e-05
Position 1387: 5.072478661330516e-05
Position 7857: 5.052633656714906e-05
Position 2101: 4.912323106896227e-05
Position 529: 4.445649780139307e-05
Position 45: 3.889065536188245e-05
Position 994: 3.8876092286992384e-05
Position 998: 3.54910784952922e-05
Position 115: 3.135835199884631e-05
Position 996: 2.8165295502912747e-05
Position 461: 2.6891408683641874e-05
Position 1488: 2.5131744500034712e-05
Position 2155: 2.355203853404288e-05
Position 2323: 2.3300793570850265e-05
Position 3566: 1.9812243406754746e-05
Position 742: 1.91381134854668e-05
Position 2064: 1.850410997631337e-05
Position 7791: 1.7446320708517555e-05
Position 2030: 1.6935795698745052e-05
Position 1739: 1.5308227284110474e-05
Position 1794: 9.43502602695249e-06
Position 1516: 8.874827637590687e-06
Position 1584: 8.340198243243024e-06
Position 2058: 7.737831459977219e-06
Position 1960: 7.734097221671573e-06
Position 7735: 6.695679202077542e-06
Position 783: 5.843684700181964e-06
Position 7911: 5.716543770180835e-06
Position 472: 5.49503261912645e-06
Position 215: 4.936544946601506e-06
Position 464: 4.348714890219504e-06
Position 594: 4.292148634525507e-06
Position 603: 4.2011513346545815e-06
Position 365: 2.758142668744007e-06
Position 8257: 2.3875309708609166e-06
Position 414: 2.1043091090155674e-06
Position 8484: 1.8800834697200353e-06
Position 88: 1.7553387247166822e-06
Position 1726: 3.077169417170345e-07
Position 7838: 1.8576446058320177e-07
Position 123: 1.4744711816883525e-07
Position 106: 7.841202814833842e-08
Position 470: 5.209447641744342e-08
Position 243: 3.809723827255547e-08
Position 1467: 2.7455386618712534e-08
Position 759: 1.3430110179358574e-08
Position 775: 1.8502278850173157e-09
Position 1228: 9.638896566556666e-12
Position 956: 1.5014055732410417e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 7352: 0.8364593514526419
Position 7665: 0.5855791086191537
Position 7626: 0.36887458669720624
Position 900: 0.20676288975231444
Position 10060: 0.15901846388546564
Position 7363: 0.13721082120411204
Position 10315: 0.11089116032438276
Position 10599: 0.094711262873637
Position 10940: 0.09353399693514812
Position 10280: 0.06985717310929337
Position 920: 0.050986123808168034
Position 3073: 0.026840498757619603
Position 10443: 0.025897509111564916
Position 6511: 0.02388787173118683
Position 9039: 0.023124739194624825
Position 9042: 0.013410468555394272
Position 11200: 0.01273828394204577
Position 9878: 0.011997471787360912
Position 7999: 0.009816030986761986
Position 3104: 0.009056683859992675
Position 1150: 0.008489144531506435
Position 8629: 0.007843165504100785
Position 7465: 0.007037867670339865
Position 6957: 0.006800484941779622
Position 10495: 0.006320158042156033
Position 228: 0.006048614186981603
Position 8557: 0.0058906714751398165
Position 6335: 0.005708549443484843
Position 7194: 0.005428060367397351
Position 522: 0.004990521878708023
Position 3498: 0.004813966477021819
Position 8387: 0.004572600876347333
Position 759: 0.004228221787151293
Position 3144: 0.0038089391733530605
Position 970: 0.003416590939379503
Position 7607: 0.0031840899990838436
Position 8100: 0.0027256445162808837
Position 2821: 0.002009477027921738
Position 1197: 0.0016759100342793212
Position 8154: 0.001654840738639536
Position 10558: 0.001602772306958801
Position 3721: 0.0014601495173071509
Position 5784: 0.0013641948163323505
Position 1012: 0.00135686891411811
Position 8703: 0.0013268968671361514
Position 8160: 0.0011766318655577611
Position 3109: 0.0011215870851493956
Position 3233: 0.0010618708247908078
Position 7078: 0.0009471159619812686
Position 6878: 0.0008238854860598701
Position 480: 0.0007432222736094246
Position 6887: 0.0006776526555118885
Position 1093: 0.0006438456529652303
Position 257: 0.0006288931832698963
Position 840: 0.0006235306532003578
Position 3430: 0.00046882481034666765
Position 8103: 0.0004527445314369777
Position 1960: 0.00044687964484599286
Position 1096: 0.00043991885024197353
Position 10020: 0.000433203631858357
Position 243: 0.000409871243310697
Position 1890: 0.000400221942714225
Position 3362: 0.0003875653977040148
Position 879: 0.00037338920685049714
Position 401: 0.0003701842200277791
Position 698: 0.0003496892823821029
Position 765: 0.0003126422676824157
Position 8133: 0.00030393488246446913
Position 492: 0.00025983518865567895
Position 373: 0.0002452608320789399
Position 6928: 0.00023438194673000996
Position 3478: 0.0001961455126503762
Position 1194: 0.00018567064147312237
Position 4150: 0.00018363527671636163
Position 8422: 0.0001597595547634071
Position 956: 0.00014916483264250995
Position 952: 0.00013006944386466154
Position 8440: 0.00012704403947342522
Position 1124: 0.00012439980820345788
Position 118: 0.00010326311878119672
Position 1787: 6.45054726924074e-05
Position 1435: 4.805778555042846e-05
Position 1387: 4.722161985749809e-05
Position 7758: 4.096087259530814e-05
Position 8106: 4.0700968968091155e-05
Position 1516: 3.4924613546076954e-05
Position 1717: 3.347181229101339e-05
Position 2158: 2.463616614972914e-05
Position 1415: 2.085014101204561e-05
Position 707: 2.0689836644729443e-05
Position 594: 1.8934534019306086e-05
Position 695: 1.685564635534623e-05
Position 1821: 1.5521660885273688e-05
Position 742: 1.3692801406096828e-05
Position 5148: 1.2348696597418424e-05
Position 8409: 9.514587924050787e-06
Position 8211: 6.788068345514155e-06
Position 7943: 6.511995233301748e-06
Position 321: 4.611823295000404e-06
Position 8136: 4.395848518808344e-06
Position 2002: 3.00156948131081e-06
Position 8109: 2.8778546191483805e-06
Position 437: 2.5236736916314216e-06
Position 992: 1.972518671994521e-06
Position 141: 1.855800591408185e-06
Position 1336: 1.8016899450449526e-06
Position 789: 1.1941457669935948e-06
Position 529: 6.936548141787603e-07
Position 232: 5.512039089647342e-07
Position 2965: 4.5149568429681284e-07
Position 346: 3.7467470893396445e-07
Position 797: 3.65178260287771e-07
Position 177: 3.0214604950392807e-07
Position 7721: 2.2680654075601457e-07
Position 7940: 1.8437763487379615e-07
Position 644: 1.7931600220136326e-07
Position 820: 1.5543042020638595e-07
Position 7776: 1.5088570661388378e-07
Position 494: 1.4659204812849393e-07
Position 260: 1.4096729640874735e-07
Position 333: 1.1696255552161091e-07
Position 8121: 4.879797362025387e-08
Position 8181: 4.448797164035076e-08
Position 1286: 1.1327058963809384e-10
Position 162: 5.634135942036982e-12
Position 215: 2.5561960654033287e-13
Position 289: 7.786160159505159e-14
Position 120: 3.166585343291937e-14
Position 193: 2.211652714201016e-14
Position 174: 1.1926430083596123e-14
Position 172: 8.28306129469888e-15
