Gene = blot
index = 1630
Annotated 5SS: [16927 18022 19904 22928 23120]
Annotated 3SS: [17779 19671 22781 22982 23183]
SMsplice 5SS: [  104 12290 19904 22928 23120]
SMsplice 3SS: [11641 19671 22781 22982 23183]
top_k =  500
Partition function (log Z): 0.4725535947007111

Sorted 5' Splice Sites (High to Low Probability):
Position 23120: 0.9923047696636345
Position 22928: 0.976240197774344
Position 19904: 0.918017663820481
Position 12290: 0.8937834492126483
Position 2615: 0.34826057589758463
Position 20195: 0.20374033265173375
Position 2262: 0.1814288667327921
Position 1353: 0.18099369974067503
Position 104: 0.14184084995002222
Position 761: 0.14137567906088963
Position 265: 0.1374438090280756
Position 161: 0.12413707399666925
Position 63: 0.11119077775230037
Position 1040: 0.09234252239485628
Position 980: 0.07432150379140331
Position 12956: 0.06999277411674654
Position 1894: 0.0609118194261225
Position 45: 0.05513140958444614
Position 19992: 0.04560674494109441
Position 1357: 0.03927478749328902
Position 20243: 0.03127108748824489
Position 2419: 0.026735635428573316
Position 22932: 0.022911633216342545
Position 12312: 0.019345764815094202
Position 13918: 0.017731492395299437
Position 12307: 0.015615919208952745
Position 12924: 0.012738933479082816
Position 12639: 0.010244251934304793
Position 1558: 0.010162535644042726
Position 2204: 0.009209130956025553
Position 20439: 0.009158828883127927
Position 21028: 0.009020850808827299
Position 12373: 0.006570098654041301
Position 23446: 0.006479845355569908
Position 23272: 0.006245301439466485
Position 20235: 0.005874715507545828
Position 23458: 0.005594698286066872
Position 19788: 0.005476508775108833
Position 20239: 0.005272363051712237
Position 21309: 0.005138888731069056
Position 227: 0.0050225710865126035
Position 22129: 0.004422725980387473
Position 13530: 0.004236472690253637
Position 20318: 0.004151633504550781
Position 21266: 0.00409918429423242
Position 24302: 0.00406932358436666
Position 1489: 0.00376598766533067
Position 21412: 0.003556404357312882
Position 83: 0.0034079150903525944
Position 1182: 0.0032068198778629478
Position 224: 0.003079670005287353
Position 593: 0.0029655853563219656
Position 29: 0.00263431449328215
Position 24269: 0.002459402254765682
Position 13071: 0.0023803613682620633
Position 16115: 0.0023534972323458097
Position 1323: 0.0021885577136038425
Position 611: 0.001998059544436468
Position 23109: 0.001933122896000679
Position 20507: 0.0018020498957784985
Position 23500: 0.001418346564452734
Position 727: 0.0013965983652221938
Position 20951: 0.001351416766612561
Position 19928: 0.0011972131715479528
Position 23461: 0.0009728617597127189
Position 23958: 0.0009674697753915448
