Gene = qtc
index = 1851
Annotated 5SS: [ 176 2396 6435 7413 7580 8405]
Annotated 3SS: [1925 6054 6493 7480 8311 9281]
SMsplice 5SS: [ 176 2539 6435 7413 7580 8405 8688]
SMsplice 3SS: [1925 6054 6493 7480 8311 8511 9281]
top_k =  500
Partition function (log Z): 11.348267980463376

Sorted 5' Splice Sites (High to Low Probability):
Position 7413: 0.998673154888562
Position 6435: 0.9956158133977294
Position 7580: 0.8931674759849088
Position 8405: 0.7935534301460596
Position 176: 0.6795490873109182
Position 8688: 0.652328296854541
Position 2539: 0.5817262333809988
Position 9485: 0.47810854174910195
Position 2396: 0.4115034143136171
Position 504: 0.281169919359356
Position 1798: 0.27241736496456054
Position 4461: 0.1772395885713834
Position 8998: 0.14934518196749147
Position 5706: 0.07349969154141177
Position 7741: 0.06403981953863225
Position 1007: 0.06398995467728305
Position 8400: 0.05875391666477343
Position 8693: 0.0376734522733675
Position 1097: 0.03096453004587053
Position 3186: 0.02848318745206656
Position 6527: 0.019490667529909272
Position 8833: 0.018319674354143237
Position 325: 0.015548787291271259
Position 403: 0.012833291979289493
Position 8780: 0.011673418948883274
Position 9778: 0.011349236956309516
Position 3789: 0.011117481439804691
Position 9496: 0.010770152484851572
Position 365: 0.010752115313855677
Position 9490: 0.00921574906729717
Position 998: 0.008441319489952073
Position 9110: 0.008273451026596547
Position 4651: 0.006351781748262254
Position 411: 0.006061894208988518
Position 7756: 0.006024832545114286
Position 8409: 0.004986327684602037
Position 2354: 0.004663130257415207
Position 5523: 0.004549786330613085
Position 1591: 0.004159730149312075
Position 3767: 0.004005712323895115
Position 8214: 0.0032196057272777024
Position 9515: 0.003090726162432866
Position 1027: 0.002862243957131099
Position 8820: 0.0028444004942833603
Position 8096: 0.0024058313282005637
Position 4227: 0.0022083034633184396
Position 2896: 0.00190151940365733
Position 1740: 0.0017966961569188668
Position 585: 0.0015828755270771383
Position 8387: 0.0015764510703881907
Position 723: 0.001435892189347315
Position 428: 0.0014231016666401747
Position 444: 0.0013329316676475144
Position 8191: 0.0011942385467666368
Position 8383: 0.0011855587883505918
Position 369: 0.0011834262854316152
Position 1618: 0.0011102496743518292
Position 214: 0.0010964325123626318
Position 8076: 0.001035576610155962
Position 8209: 0.0009814630923479816
Position 1787: 0.0009647903277042226
Position 1582: 0.0009407448929067834
Position 8701: 0.0009202392502267354
Position 1070: 0.0009150319741562854
Position 193: 0.0008139820119399695
Position 9578: 0.0007698817785062748
Position 8204: 0.0007098593563174052
Position 8225: 0.0006791923076224533
Position 311: 0.0006671652688856907
Position 7745: 0.0006669679445260218
Position 48: 0.0006517650389154287
Position 741: 0.0006251422162284855
Position 7564: 0.0005735950590928805
Position 6561: 0.0005462956673011957
Position 441: 0.0004912130731528287
Position 8041: 0.0004586166467137032
Position 7883: 0.0004564542145997622
Position 367: 0.000444371473459598
Position 1286: 0.0004354816886494007
Position 1344: 0.0004348156253723654
Position 1711: 0.00042377652785689746
Position 9339: 0.00041949465107583085
Position 473: 0.00040356874620923805
Position 7900: 0.00040224394434606157
Position 162: 0.0003777155782822613
Position 1429: 0.00035856676653307513
Position 4690: 0.0003326495315467435
Position 508: 0.0003309005557490715
Position 57: 0.00032587389006556364
Position 3121: 0.00032102072476987507
Position 7626: 0.0002930879320776396
Position 1790: 0.00027951807204693133
Position 7197: 0.0002745159766087652
Position 7517: 0.00026997517099878516
Position 814: 0.00025289635983230703
Position 8051: 0.00024692430274865957
Position 2406: 0.00022126623664943038
Position 1036: 0.00022067480863926036
Position 8101: 0.0002010723572839428
Position 7903: 0.00018836591929285114
Position 1702: 0.00013801259724291966
Position 6765: 0.00013650111465316823
Position 800: 0.00011588756783404187
Position 7238: 0.00011586850197485556
Position 317: 0.00011541834062689867
Position 256: 0.00011005990067840791
Position 65: 8.800400983145734e-05
Position 2720: 8.783505511602406e-05
Position 84: 7.50658836813259e-05
Position 7648: 6.289875815111675e-05
Position 51: 6.160993929941892e-05
Position 1046: 6.146349557186086e-05
Position 7118: 5.584270663249115e-05
Position 2800: 5.144490424398685e-05
Position 6268: 4.922288018408155e-05
Position 7060: 4.18471914818769e-05
Position 7355: 3.470278237819442e-05
Position 7285: 2.8987742714503308e-05
Position 2425: 2.692814310415716e-05
Position 7367: 2.4071741156117345e-05
Position 556: 2.3708171790167975e-05
Position 2543: 2.0654869648631288e-05
Position 5600: 2.0551709742777774e-05
Position 752: 1.9222679578999418e-05
Position 6690: 1.8350553074544678e-05
Position 2779: 1.5864203489685652e-05
Position 382: 1.4555327739642588e-05
Position 2694: 1.303004141173407e-05
Position 141: 1.1296524474758023e-05
Position 2418: 7.315022278231322e-06
Position 7041: 7.2895224545527286e-06
Position 7616: 7.039944590997393e-06
Position 4795: 5.8536082572529765e-06
Position 6769: 4.771760573519181e-06
Position 6819: 1.896794419945083e-06
Position 7893: 1.6875346650877912e-06
Position 6968: 1.6274211853821185e-06
Position 7774: 1.5493076369372247e-06
Position 7251: 1.4685910810109716e-06
