Gene = DNApol-epsilon58
index = 1127
Annotated 5SS: [762]
Annotated 3SS: [818]
SMsplice 5SS: [762]
SMsplice 3SS: [818]
top_k =  500
Partition function (log Z): -5.416385605159723

Sorted 5' Splice Sites (High to Low Probability):
Position 762: 0.9990600044570549
Position 991: 0.009898989612499636
Position 290: 0.0066515480397838864
Position 897: 0.003147991114129404
Position 314: 0.0026769019104374656
Position 1340: 0.001456392239462018
Position 200: 0.0010945783731590132
Position 355: 0.0010798028503018866
Position 750: 0.0006498982333000749
Position 1004: 0.0004850852038050585
Position 341: 0.0003395690539264334
Position 1030: 0.00023671501760093267
Position 1137: 0.00019876534055258865
Position 1337: 0.00016982093371687457
Position 919: 0.0001424424029872871
Position 403: 9.955936429732752e-05
Position 1366: 8.611165249014375e-05
Position 457: 7.659486026063576e-05
Position 948: 7.009348104685037e-05
Position 766: 5.9779865037230965e-05
Position 1436: 3.072018121589548e-05
Position 1198: 3.0347293172032172e-05
Position 1318: 2.0187848429149498e-05
Position 245: 1.4843705054264819e-05
Position 1034: 1.2994429588127311e-05
Position 776: 1.2542422548533123e-05
Position 667: 1.1805739893772237e-05
Position 986: 1.0840960606688118e-05
Position 1077: 8.92156532606295e-06
Position 1402: 8.74494404343836e-06
Position 138: 8.33073505434853e-06
Position 1190: 6.208131809117953e-06
Position 62: 5.41881317126821e-06
Position 1551: 4.577837604917633e-06
Position 971: 3.687667202305262e-06
Position 752: 3.6481633353432086e-06
Position 1347: 2.608119593128915e-06
Position 553: 2.191285256022367e-06
Position 596: 2.1169018546631097e-06
Position 657: 1.9294557654463807e-06
Position 1027: 1.569101979282475e-06
Position 111: 1.3857085997063061e-06
Position 1007: 1.0378526916545041e-06
Position 348: 9.696016053352251e-07
Position 1510: 9.47004459676385e-07
Position 577: 5.295834074818313e-07
Position 599: 3.7375328554799297e-07
Position 500: 1.5441123154645185e-07
Position 634: 7.872060333480003e-08
Position 662: 2.6139926479270122e-08
Position 515: 1.738206451819163e-08
Position 722: 9.72588952680427e-09
Position 687: 4.7303387632253545e-09
Position 1050: 3.3606286851708703e-09
Position 1067: 2.4532282996270723e-09
Position 641: 1.1846411185322581e-09
Position 861: 4.439088994410881e-10
Position 1233: 2.493006492359448e-10
Position 800: 4.269219970181521e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 818: 0.9908380567740089
Position 1060: 0.015914337450063716
Position 364: 0.006686254455155806
Position 1318: 0.0024739638326069504
Position 1397: 0.002236984923729348
Position 1259: 0.0018948890160883438
Position 497: 0.0014565330601311254
Position 1481: 0.0014355609756246642
Position 442: 0.001210219642873631
Position 466: 0.0010886599867421123
Position 508: 0.0006457085473718879
Position 394: 0.0006206424910897774
Position 858: 0.00048646723594867404
Position 1205: 0.00020786940057445288
Position 619: 9.231869486809252e-05
Position 1148: 6.133290885789975e-05
Position 1444: 5.080326035350812e-05
Position 1092: 4.820089048966938e-05
Position 667: 4.727183285766715e-05
Position 1291: 4.0793463585239824e-05
Position 1417: 3.4054451800692896e-05
Position 861: 3.3179094472844046e-05
Position 1428: 3.0646680415229514e-05
Position 1333: 2.943430042561232e-05
Position 373: 2.5480702859468452e-05
Position 403: 2.296129650566663e-05
Position 1408: 2.0457901497199645e-05
Position 1018: 1.894230487084587e-05
Position 1555: 1.827230541797697e-05
Position 728: 1.5559880382832006e-05
Position 1612: 1.4879435371965572e-05
Position 553: 1.1440615098876417e-05
Position 1015: 1.009719226769006e-05
Position 547: 8.468659121678152e-06
Position 800: 7.351395200892623e-06
Position 1098: 6.661931561908531e-06
Position 671: 5.324089949657659e-06
Position 626: 4.942753021147502e-06
Position 1643: 4.829899302176619e-06
Position 937: 4.4826163757671966e-06
Position 1273: 4.161655649027266e-06
Position 926: 2.9125817722651283e-06
Position 268: 2.7457076632407333e-06
Position 1366: 2.3606291791017744e-06
Position 133: 2.005040850589609e-06
Position 1330: 1.49627413004325e-06
Position 919: 1.45683464315312e-06
Position 1631: 1.3049349769048294e-06
Position 106: 1.230802063236664e-06
Position 532: 1.1083002677930637e-06
Position 798: 1.0478810604436226e-06
Position 138: 1.0428975696369444e-06
Position 176: 9.595000466559587e-07
Position 1618: 9.110726740362686e-07
Position 760: 4.999264718442771e-07
Position 634: 2.097327611667007e-07
Position 589: 1.4422941456518234e-07
Position 646: 8.546753215998082e-08
Position 712: 6.531203585799872e-08
Position 683: 6.456546291633258e-08
Position 222: 5.338647356891108e-08
Position 538: 5.131800881477825e-08
Position 305: 4.6897924137148904e-08
Position 265: 3.3869641721794904e-08
Position 157: 2.5790286727863048e-08
Position 229: 2.3932770685336485e-08
Position 526: 1.8448613253554238e-08
Position 310: 1.2070705174810186e-08
Position 592: 3.952538487724517e-09
Position 250: 2.2931895297751254e-09
Position 254: 8.370899699063241e-13
Position 154: 5.883317737599138e-13
Position 211: 1.1326572696864852e-13
