Gene = simj
index = 1873
Annotated 5SS: [  632 21156 21523 22424 22601 22865 23859 24105]
Annotated 3SS: [20270 21224 22336 22498 22665 22925 23939 24186]
SMsplice 5SS: [  632 21156 21523 22424 22601 22865 23859 24131]
SMsplice 3SS: [20270 21224 22312 22498 22665 22925 23939 24186]
top_k =  500
Partition function (log Z): 26.73637213456509

Sorted 5' Splice Sites (High to Low Probability):
Position 632: 0.99984717258108
Position 23859: 0.9991342736566591
Position 22601: 0.998920097243358
Position 22865: 0.9988577602523673
Position 22424: 0.997252888581909
Position 21156: 0.9932611839710216
Position 21523: 0.9652454399686795
Position 24131: 0.5052311395474389
Position 24042: 0.3811890231367263
Position 16744: 0.25721667680503224
Position 24474: 0.1684719125917526
Position 22162: 0.14983586101424154
Position 450: 0.13740889159122177
Position 25633: 0.12636262632198186
Position 242: 0.11533878770145466
Position 442: 0.08286008914102144
Position 2803: 0.0653470489422816
Position 24414: 0.05844278909334047
Position 24101: 0.050973047694294574
Position 25237: 0.043508556605979326
Position 24388: 0.03730848444905482
Position 14452: 0.02099073651613488
Position 22137: 0.01598284904913835
Position 24105: 0.015333946163542798
Position 483: 0.015172238005848505
Position 24791: 0.011678077638175686
Position 24331: 0.010892324800174352
Position 14342: 0.010472761766149592
Position 24109: 0.009874085587592328
Position 496: 0.009632504879749284
Position 21550: 0.009587099697706696
Position 24646: 0.009270008893797275
Position 246: 0.009160801997446635
Position 457: 0.007727233607754702
Position 234: 0.0076937391122120094
Position 290: 0.007384969167889143
Position 21789: 0.006223602517120825
Position 21145: 0.006208902126186682
Position 236: 0.005694284698308875
Position 21533: 0.005410846474616539
Position 238: 0.005126199297449941
Position 2368: 0.0046674016382628955
Position 25006: 0.003607568434244613
Position 264: 0.0032626596513740938
Position 70: 0.0029023286689965977
Position 21538: 0.0026773901402504107
Position 24750: 0.002454998731753777
Position 322: 0.002303739839785833
Position 446: 0.0022535777415373494
Position 75: 0.0019049544889737323
Position 22247: 0.0017418018444338925
Position 25858: 0.0014891065083281448
Position 248: 0.0012464140860342639
Position 22004: 0.0011954854049613212
Position 21970: 0.0010971370088560222
Position 21823: 0.0009531762697958196
Position 25445: 0.0008955930967525107
