Gene = GC
index = 1175
Annotated 5SS: [ 303 4227 4632]
Annotated 3SS: [3622 4284 4703]
SMsplice 5SS: [ 303 4632]
SMsplice 3SS: [3622 4703]
top_k =  500
Partition function (log Z): -3.9571793459868205

Sorted 5' Splice Sites (High to Low Probability):
Position 4632: 0.9964542179842176
Position 303: 0.557814250812785
Position 4186: 0.1883137132680325
Position 225: 0.17375611449442485
Position 702: 0.1674112536592694
Position 57: 0.11819450605706977
Position 4227: 0.1099161878844537
Position 3742: 0.07808312023884531
Position 366: 0.028048154535823624
Position 1766: 0.01950398905688314
Position 4128: 0.016136322154011944
Position 4218: 0.011739381899126307
Position 204: 0.01091136620940091
Position 1447: 0.010909625399385019
Position 3425: 0.010284192317228918
Position 930: 0.01005828097260251
Position 253: 0.009643751574620024
Position 1459: 0.009529704438278818
Position 2042: 0.006747795327663115
Position 378: 0.005848100528024431
Position 337: 0.005338510161102867
Position 1598: 0.004705170443089684
Position 5113: 0.003996515329961628
Position 127: 0.003414811758987069
Position 3958: 0.003018506282307902
Position 170: 0.0029946390845072973
Position 2402: 0.002858113699019458
Position 490: 0.002774710407231177
Position 257: 0.0023076299311764648
Position 3717: 0.0022150119747850684
Position 1589: 0.0021841244671542957
Position 2944: 0.001370997084219101
Position 219: 0.0013679448317714849
Position 4948: 0.0013159714246648822
Position 342: 0.0012573782296733823
Position 5083: 0.001209392764447238
Position 1209: 0.0010779624590359033
Position 566: 0.0010416267989718322
Position 5104: 0.0008926113453218636
Position 307: 0.0008887522691958815
Position 4625: 0.000683243982015716
Position 319: 0.0006628229097497075
Position 614: 0.0006578092363144655
Position 1829: 0.00047388252511711273
Position 575: 0.0004629833155271783
Position 1629: 0.0004516496417786173
Position 172: 0.00038276505379758376
Position 965: 0.0003311706111595136
Position 4621: 0.00030343631030811316
Position 836: 0.00025738918142954284
Position 774: 0.0002561286156151318
Position 369: 0.000247284140229517
Position 952: 0.00022968947916044593
Position 5771: 0.00022124484779566087
Position 5009: 0.00020425878000180424
Position 5653: 0.0001598056319537864
Position 328: 0.00015574099869550203
Position 4472: 0.00011155600023363782
Position 5828: 0.00010160091013664257
Position 5065: 8.836621306951615e-05
Position 750: 6.653274945098722e-05
Position 1271: 6.333538627028142e-05
Position 5819: 4.574099898673519e-05
Position 934: 3.773225727661271e-05
Position 5737: 3.649075054920339e-05
Position 5921: 3.5549569700584086e-05
Position 608: 3.226142447173076e-05
Position 5853: 2.7970799534639977e-05
Position 957: 2.5983416307543795e-05
Position 4973: 2.520164048724379e-05
Position 606: 1.8765829153046716e-05
Position 498: 1.555230880474429e-05
Position 916: 1.1317214024209139e-05
Position 262: 1.0342224624325246e-05
Position 4386: 1.0021548905588728e-05
Position 551: 8.269133506081263e-06
Position 1213: 7.522406184607012e-06
Position 107: 7.026321776200626e-06
Position 1181: 5.180020654425843e-06
Position 4378: 4.396304794043842e-06
Position 397: 2.980259572004046e-06
Position 1078: 1.6993298503326066e-06
Position 63: 4.351330759602078e-07
Position 93: 1.395162495360854e-07
Position 49: 8.798167847729918e-08
Position 771: 8.631531924725933e-08
Position 817: 6.315115593671885e-08
Position 4: 3.226089796131679e-08
Position 533: 3.1586856169838196e-08
Position 3941: 2.0344383416594712e-08
Position 86: 1.9292104219136468e-08
Position 15: 8.963429885322785e-09
Position 5523: 6.453463225850133e-09
Position 310: 5.694139387335705e-09
Position 3963: 1.6573444426910767e-09
Position 17: 1.55432808970741e-09
Position 41: 4.016978731578031e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4703: 0.9960620341579626
Position 3622: 0.8076000612036972
Position 4284: 0.2845895273224147
Position 4360: 0.23981862944229598
Position 4385: 0.06655701064550028
Position 442: 0.054365374975636926
Position 674: 0.026182787665544143
Position 397: 0.025020383590584366
Position 466: 0.015334648616389703
Position 1346: 0.01392280832246911
Position 1003: 0.010293676886421207
Position 361: 0.005664547562825296
Position 5209: 0.00512192736871551
Position 3931: 0.004529504558257669
Position 3009: 0.003931504870280041
Position 2812: 0.0031374063025587737
Position 1378: 0.0030420236272576708
Position 522: 0.002345125490252744
Position 4749: 0.0023162843429280263
Position 551: 0.001766648632579322
Position 410: 0.0016698871456328039
Position 3046: 0.00161174299488371
Position 4296: 0.0014580917223399117
Position 1663: 0.0013999352950493083
Position 3348: 0.001355204779963526
Position 2526: 0.0010903734517170955
Position 3077: 0.0009923527324341907
Position 3796: 0.0009073907922865822
Position 5008: 0.0008838943368245868
Position 5767: 0.0007155693994652974
Position 3910: 0.0006570094240238739
Position 4996: 0.0005772528159375769
Position 1264: 0.0005060021285054714
Position 369: 0.0004912830041566517
Position 1207: 0.0004882279432915032
Position 1402: 0.0004640228369303218
Position 378: 0.0004445490807733609
Position 5825: 0.00042480868481813096
Position 159: 0.0004121522733097746
Position 3860: 0.000398193811112416
Position 490: 0.00039120967335356843
Position 3562: 0.00037067149307053795
Position 1642: 0.0003231302811750844
Position 3830: 0.00028591165348912286
Position 3848: 0.0002663173113521164
Position 5455: 0.00025035034689614846
Position 5890: 0.00020618179133350778
Position 3596: 0.0001706647833472693
Position 6062: 0.00016549907664289605
Position 1297: 0.00015544337921986009
Position 262: 0.000152024851044577
Position 1954: 0.0001466309307830417
Position 1282: 0.00013178778685796763
Position 2803: 0.00012783401945846678
Position 5507: 0.00011483065478489367
Position 1316: 0.00010397092388524272
Position 5912: 0.00010367353180650532
Position 211: 0.00010037801416835472
Position 120: 8.035473831013227e-05
Position 198: 7.109534535580007e-05
Position 5617: 4.108515850836102e-05
Position 5143: 4.048704641231742e-05
Position 5674: 3.972348082843959e-05
Position 4733: 2.8679427912992056e-05
Position 4848: 1.6955132459036655e-05
Position 4921: 1.4555107069091239e-05
Position 4792: 1.0061804038180559e-05
Position 1405: 5.034922362257111e-06
Position 337: 2.272269591969002e-06
Position 303: 1.5796078218250808e-06
Position 771: 1.5766248875594966e-06
Position 734: 1.5619278553357206e-06
Position 342: 1.431760525297563e-06
Position 676: 1.255862064070732e-06
Position 798: 9.269279558271905e-07
Position 706: 8.44594330785281e-07
Position 213: 8.201652726834497e-07
Position 310: 7.796355269784639e-07
Position 1029: 2.9300071723678155e-07
Position 1231: 1.2645965491625557e-07
Position 474: 5.939449774354568e-08
Position 216: 3.1365513153396275e-08
Position 56: 2.8911555779411218e-08
Position 307: 1.829677462631625e-08
Position 127: 1.7456886712997182e-08
Position 229: 1.6940197706237673e-08
Position 219: 4.0917435286619965e-09
Position 93: 1.7920396985960928e-09
Position 124: 1.5450495592609976e-10
