Gene = Tgi
index = 1558
Annotated 5SS: [ 9350 14418]
Annotated 3SS: [14102 14485]
SMsplice 5SS: [  211   934 14418]
SMsplice 3SS: [  765 14102 14485]
top_k =  500
Partition function (log Z): 5.275468392320867

Sorted 5' Splice Sites (High to Low Probability):
Position 14418: 0.9998829860747748
Position 934: 0.9940600044214012
Position 211: 0.8416923810304141
Position 2275: 0.4937316747109858
Position 3302: 0.17985278055986176
Position 7625: 0.07411145990322153
Position 681: 0.06445818720642411
Position 705: 0.06350130811406295
Position 5358: 0.049378039981839754
Position 4972: 0.03835318715199347
Position 5170: 0.031950551312480514
Position 5414: 0.014066563898225876
Position 3272: 0.013842945618195886
Position 5431: 0.010553030878485484
Position 555: 0.008339085676633499
Position 1524: 0.006515000519207392
Position 12412: 0.0061760538013182695
Position 1796: 0.005333333033623901
Position 5106: 0.005298934671200583
Position 227: 0.004654475402275471
Position 2376: 0.0041491859466759266
Position 1506: 0.0040682528730484335
Position 539: 0.0031468325699200903
Position 15255: 0.003116956850480725
Position 15524: 0.0023266988940881823
Position 9350: 0.0023197728670505437
Position 1479: 0.0018800630506292941
Position 34: 0.0018215023821106895
Position 720: 0.0017869397603810539
Position 14603: 0.0017655245868239185
Position 5665: 0.0015426378713069636
Position 6318: 0.0015373080175728573
Position 2295: 0.0013675015339759517
Position 8107: 0.0013544730321745546
Position 246: 0.0013486719322133292
Position 216: 0.001266333093988922
Position 292: 0.0011440969002903811
Position 14600: 0.0009429218307206628
Position 709: 0.0008665359706775101
Position 2114: 0.0008466354097708194
Position 707: 0.0006916858372972046
Position 5187: 0.0006187668958242741
Position 413: 0.0005698753529614019
Position 3281: 0.0005220316548722567
Position 499: 0.0005165930226702535
Position 1191: 0.000513811365676632
Position 14872: 0.0004996648263612668
Position 1230: 0.0004083804476517387
Position 125: 0.0004079638433996832
Position 575: 0.000392912400106734
Position 14706: 0.0003660986754020077
Position 339: 0.0003605525289307706
Position 1529: 0.00034794057487890477
Position 722: 0.000306328963681419
Position 287: 0.00029378690434730584
Position 331: 0.00028337470856257474
Position 547: 0.0002625231153740959
Position 15588: 0.00026188978415991345
Position 1427: 0.00019621649069523136
Position 670: 0.00018701394912111136
Position 672: 0.00018588326124104282
Position 1461: 0.00014479372672661193
Position 381: 0.00014282904639208955
Position 14620: 0.00013480952775548678
Position 2126: 0.00012875157368380714
Position 269: 0.00012560988661244535
Position 15079: 8.864496191529195e-05
Position 14425: 7.300138440550011e-05
Position 565: 6.692831742375883e-05
Position 1152: 6.366677310657248e-05
Position 580: 6.302158882568137e-05
Position 129: 6.254583932404771e-05
Position 2289: 6.24919551240233e-05
Position 559: 5.85730329983813e-05
Position 1659: 5.2573403587853105e-05
Position 915: 4.764498051005492e-05
Position 938: 4.443957129516895e-05
Position 1340: 4.1973547408371344e-05
Position 1297: 4.103668748990844e-05
Position 598: 4.082124215777338e-05
Position 523: 3.592945065697894e-05
Position 15487: 3.472666295340315e-05
Position 592: 3.469748735803457e-05
Position 1832: 3.223124762612898e-05
Position 256: 3.197879694078994e-05
Position 1093: 2.5513539919184717e-05
Position 1238: 2.4606549830332357e-05
Position 891: 2.0898729679220524e-05
Position 23: 1.927725487806796e-05
Position 444: 1.9207943793569414e-05
Position 155: 1.779063591048537e-05
Position 15478: 1.718680883412765e-05
Position 532: 1.7124152260835803e-05
Position 1843: 1.6711642710019194e-05
Position 14716: 1.5666802071654894e-05
Position 853: 1.5116911335740446e-05
Position 1099: 1.4336725799795884e-05
Position 1691: 1.2855470518215635e-05
Position 1209: 1.202944400077848e-05
Position 1251: 1.1471015251331488e-05
Position 420: 1.110620100814733e-05
Position 729: 1.0464487176137537e-05
Position 118: 7.160639258798401e-06
Position 14267: 6.641590963727054e-06
Position 796: 5.884367574854744e-06
Position 15586: 5.544427363135143e-06
Position 603: 3.935379464955192e-06
Position 14263: 3.812276572319995e-06
Position 792: 3.6673505160515253e-06
Position 2134: 3.452061433642268e-06
Position 15598: 3.099456282554141e-06
Position 1323: 3.050967782311483e-06
Position 406: 2.527970562434042e-06
Position 649: 2.3603651286556213e-06
Position 15612: 1.3809558854778563e-06
Position 230: 8.581558747037067e-07
Position 724: 8.526728590499164e-07
Position 726: 7.991466117591176e-07
Position 841: 2.704409715267477e-07
Position 823: 1.8918755087367782e-07
Position 817: 1.1722235348675038e-07
Position 14986: 1.0605905716894549e-07
Position 2300: 4.361006531016453e-08
Position 1066: 2.8489197565290024e-08
Position 861: 1.285952526711514e-09
Position 14562: 3.339638620938496e-10
Position 744: 3.4642555183381015e-11
Position 450: 2.8960656236950782e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 14102: 0.9999914132131136
Position 14485: 0.9999514576399392
Position 765: 0.9582591005566812
Position 1574: 0.3715236451020806
Position 2893: 0.08032738337193034
Position 7475: 0.057395303914759416
Position 5234: 0.05443934060444654
Position 4891: 0.04372325114626006
Position 1392: 0.0419521376684655
Position 5026: 0.04032827315321763
Position 1603: 0.03643966417343638
Position 1708: 0.035228810976723875
Position 2628: 0.0287548016642921
Position 266: 0.016229466477574204
Position 3122: 0.015426832241244155
Position 3154: 0.011503860117322136
Position 1659: 0.009949645066986963
Position 1943: 0.00905356686327833
Position 6800: 0.008739660536093381
Position 2137: 0.008123117063891086
Position 7508: 0.006962236203386572
Position 477: 0.0069433005149063245
Position 12329: 0.0061760538013182695
Position 3020: 0.00588102222170018
Position 2652: 0.0056204683574313805
Position 786: 0.005562685042153593
Position 1637: 0.005551993484715021
Position 4880: 0.005503704116240971
Position 1612: 0.0051712816358198835
Position 2544: 0.004236875353359385
Position 3025: 0.00384374524724398
Position 1018: 0.0038396514121454813
Position 2349: 0.0037628083072449975
Position 7758: 0.0036742465970847
Position 1461: 0.0036495823499252257
Position 1618: 0.0034425375892050847
Position 4855: 0.0033163610214549436
Position 2550: 0.003280460168856539
Position 15333: 0.003207259272986142
Position 5053: 0.003134775005672442
Position 15641: 0.0027315654591174424
Position 2739: 0.0021302994643687774
Position 2925: 0.0015301594026304818
Position 109: 0.0013929258421219277
Position 14657: 0.0013708558546987372
Position 462: 0.0012331792154110567
Position 2231: 0.0011825515805888869
Position 539: 0.0011005936904212616
Position 2595: 0.0010984833810403038
Position 2700: 0.0010978953038223403
Position 4402: 0.0010911876596228869
Position 6863: 0.001014259248982163
Position 630: 0.0010101207321576784
Position 1109: 0.0010010667615058617
Position 2362: 0.0009623637838387634
Position 2922: 0.0009504757573817809
Position 1521: 0.0009042459045328364
Position 489: 0.000838690721360086
Position 15437: 0.0008198598270361124
Position 308: 0.0008069482537300957
Position 366: 0.0007767916427902428
Position 5525: 0.0006462900773943637
Position 5493: 0.0006338503645096406
Position 856: 0.000585276028244457
Position 2513: 0.0005767480389228651
Position 2054: 0.0005421053395519355
Position 1087: 0.00048642950254423667
Position 4821: 0.00048198753011029856
Position 2685: 0.0004218149409380082
Position 2664: 0.0003963691474416411
Position 15598: 0.0003879879231311771
Position 1712: 0.0003692890813778379
Position 1171: 0.00034572303589253654
Position 2898: 0.00026356546317123677
Position 15039: 0.00024315597363883102
Position 3163: 0.00024045256141346711
Position 2403: 0.0002376174515380709
Position 2018: 0.0002317716925326734
Position 14662: 0.00022791806978637353
Position 3100: 0.00019646039426875507
Position 543: 0.00019352030901925986
Position 406: 0.0001843964808422324
Position 15059: 0.0001500877382347872
Position 1349: 0.00013021568820341522
Position 1323: 0.00012888280670289473
Position 15358: 0.0001279485525558266
Position 15177: 8.852202194593108e-05
Position 14763: 8.033851806355445e-05
Position 14685: 7.947220988508007e-05
Position 901: 7.93982377642674e-05
Position 510: 7.687978896737966e-05
Position 15684: 6.417653668600747e-05
Position 807: 5.9486097335100753e-05
Position 685: 4.549497549773255e-05
Position 507: 4.22090573174343e-05
Position 1417: 3.894411217512414e-05
Position 1177: 3.182447293633977e-05
Position 1139: 2.9258828620373363e-05
Position 804: 2.1275263953804454e-05
Position 801: 1.98465068566375e-05
Position 2022: 1.669174254946431e-05
Position 1142: 1.6416230141039323e-05
Position 160: 1.526294523473892e-05
Position 859: 1.3912018829498173e-05
Position 1251: 1.3862791825151653e-05
Position 993: 1.2923561005284438e-05
Position 2493: 1.0331493515009742e-05
Position 14673: 9.958610455326041e-06
Position 413: 8.728520341073403e-06
Position 2258: 8.602085229045873e-06
Position 720: 8.409126262104442e-06
Position 15126: 7.143381527435888e-06
Position 649: 6.875956828184059e-06
Position 1976: 6.8169990995381864e-06
Position 1402: 4.651030768618236e-06
Position 15648: 4.381498611549063e-06
Position 1238: 4.169955469887831e-06
Position 1716: 4.099217132070301e-06
Position 15389: 3.859767973501934e-06
Position 1523: 3.836651042183967e-06
Position 363: 3.667670673217372e-06
Position 2855: 3.3805736746785923e-06
Position 1257: 3.306484221809019e-06
Position 1235: 3.238148460359384e-06
Position 547: 1.8016884895569001e-06
Position 139: 1.338861748452229e-06
Position 931: 1.065973620365789e-06
Position 1020: 9.34510620123967e-07
Position 866: 6.333682540473529e-07
Position 125: 5.899206345264989e-07
Position 1340: 5.884723239563539e-07
Position 1357: 1.7325602813224315e-07
Position 1254: 5.0932210419305135e-08
Position 192: 2.034243183097872e-10
Position 165: 1.8506170526187207e-10
Position 171: 1.3736773185028914e-11
Position 143: 1.2422383830589949e-11
Position 179: 3.0119986454436575e-12
Position 168: 2.9541031213345405e-12
Position 216: 4.047164367290205e-13
Position 183: 2.0358185366845103e-13
Position 210: 1.1050928592309393e-13
