Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  500
Partition function (log Z): 4.831232098312041

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9919720905634292
Position 747: 0.9867984617293639
Position 268: 0.9867296598988304
Position 559: 0.001775216035870379
Position 952: 0.0012227536223772218
Position 415: 0.001030148342947943
Position 449: 0.0010129149275179832
Position 1002: 0.000860282374678353
Position 294: 0.0006604355615260649
Position 101: 0.0005824657008253536
Position 610: 0.0003183609624069049
Position 109: 0.00018739908811081025
Position 974: 0.0001715207730084282
Position 424: 0.00013474027716300292
Position 90: 0.00010447303480020516
Position 1004: 8.191056743840316e-05
Position 186: 7.7945171813945e-05
Position 990: 7.022511013935892e-05
Position 156: 6.164852926842824e-05
Position 257: 4.292931030241851e-05
Position 887: 2.2604343580818116e-05
Position 190: 1.282026502916658e-05
Position 103: 1.0812950733930074e-05
Position 221: 1.0570941173650453e-05
Position 20: 1.0312229179385185e-05
Position 782: 8.529012767747523e-06
Position 116: 5.0669762302316215e-06
Position 822: 4.285341520379049e-06
Position 461: 1.4621227914658566e-06
Position 503: 7.406502323259743e-07
Position 199: 3.8835222550405515e-07
Position 879: 3.6840297346450114e-07
Position 482: 1.807718389910529e-07
Position 436: 1.7657142645791282e-07
Position 143: 1.5593075305900093e-07
Position 769: 5.881721641752045e-08
Position 240: 4.9093534155032625e-08
Position 62: 3.119333750662585e-08
Position 985: 2.959394128777529e-08
Position 470: 2.924753885342328e-08
Position 836: 1.9500346016445387e-08
Position 826: 5.596551136618702e-09
Position 206: 2.241184733804348e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.998008177556883
Position 639: 0.9766960053266843
Position 338: 0.8765438481059923
Position 352: 0.09748997747877015
Position 415: 0.010615725773604087
Position 687: 0.006352135709002808
Position 470: 0.002626582572358528
Position 517: 0.0014046482849195325
Position 1061: 0.0012434966402017416
Position 179: 0.0007661383402763621
Position 1081: 0.0006760694997690796
Position 360: 0.0006692104728405359
Position 1064: 0.0004002497588372602
Position 400: 0.0001745388759954099
Position 1002: 0.00010796983945260062
Position 143: 8.43206458864429e-05
Position 857: 4.815968375293672e-05
Position 620: 3.7110944892347974e-05
Position 82: 1.0232430004185548e-05
Position 815: 9.896560135546752e-06
Position 978: 8.112154512997426e-06
Position 723: 4.981209398819673e-06
Position 424: 1.3996938594654043e-06
Position 221: 1.1471650754576297e-06
Position 895: 8.265376118841151e-07
Position 196: 4.2976214842026166e-07
Position 249: 4.157834681347039e-07
Position 606: 3.603406467747761e-07
Position 887: 2.9152012042108064e-07
Position 160: 2.660403194513925e-07
Position 741: 2.5825932047998245e-07
Position 769: 2.562269231870619e-07
Position 368: 2.0269165279841827e-07
Position 430: 1.985329157227908e-07
Position 229: 1.7967011473472068e-07
Position 726: 1.1443168488935071e-07
Position 822: 6.605102866064209e-08
Position 736: 5.709478886148628e-08
Position 535: 4.616036740531555e-08
Position 944: 3.599882672270064e-08
Position 833: 3.314949352520716e-08
Position 842: 2.6320555481815645e-08
Position 550: 2.0820371673649382e-08
Position 101: 1.3314314752164627e-08
Position 587: 1.079808534422452e-08
Position 559: 9.435786190322545e-09
Position 565: 8.334793723737852e-09
Position 526: 7.108563375361019e-09
Position 699: 5.7577719411857415e-09
Position 568: 4.10456398297889e-09
Position 544: 5.447376466922481e-10
Position 251: 1.9677575198643827e-10
Position 272: 8.761507721787916e-19
