Gene = aurB
index = 1616
Annotated 5SS: [ 251 1024]
Annotated 3SS: [ 305 1083]
SMsplice 5SS: [ 251 1024]
SMsplice 3SS: [ 305 1083]
top_k =  500
Partition function (log Z): -2.1911055498964327

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.9782043677783439
Position 251: 0.9733924453613296
Position 255: 0.0025705861665442013
Position 1243: 0.0006336361680473663
Position 177: 0.0005460191873191393
Position 463: 0.0004615573674766526
Position 418: 0.0004461456181934143
Position 764: 0.0004428011181875891
Position 642: 0.00038732908822503286
Position 1225: 0.00020079792601093317
Position 212: 0.0001808075382448623
Position 1232: 0.00014743550817679309
Position 633: 0.00014022305388421475
Position 876: 0.00012308735809923957
Position 1241: 9.267361614075093e-05
Position 655: 5.336116102415074e-05
Position 691: 3.8176681342696755e-05
Position 1028: 2.7768464180809887e-05
Position 227: 1.9533457105253128e-05
Position 570: 1.735166033388458e-05
Position 900: 1.5378380843551036e-05
Position 458: 1.3966256652441739e-05
Position 838: 1.2789556075570592e-05
Position 768: 1.0433823110999234e-05
Position 528: 8.140258664711086e-06
Position 865: 5.73079554048374e-06
Position 1144: 5.019628961866326e-06
Position 873: 4.86012680651907e-06
Position 451: 3.5837647065855674e-06
Position 486: 1.93185118522722e-06
Position 406: 1.712526582225956e-06
Position 914: 1.2143711103611266e-06
Position 274: 8.760747412638551e-07
Position 599: 8.553974588183786e-07
Position 108: 7.910471151342916e-07
Position 423: 7.316770801338355e-07
Position 993: 5.59847152454672e-07
Position 585: 5.122121480436792e-07
Position 804: 4.2497750299159233e-07
Position 891: 3.4138644136864957e-07
Position 1126: 3.380136679505503e-07
Position 1120: 2.402396052010707e-07
Position 907: 2.2001005724119003e-07
Position 927: 2.066877332025034e-07
Position 904: 1.0168814329768787e-07
Position 677: 3.7451312756058686e-08
Position 1038: 2.055650693422655e-08
Position 368: 1.0283816611244036e-11
Position 370: 5.526043812528305e-12
Position 284: 3.5939816091153257e-12
Position 317: 1.1094507099423651e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.9759693369166963
Position 1083: 0.973473063051161
Position 1066: 0.0034844172276542913
Position 1095: 0.0013245553113720616
Position 1293: 0.0011029807537395594
Position 797: 0.0007873695561319902
Position 734: 0.000598328708095707
Position 834: 0.00035897521666134125
Position 935: 0.0002888796801114978
Position 711: 0.0002678520981505581
Position 1149: 0.0001560862148958126
Position 1259: 0.00015233482881540404
Position 750: 3.128160701152823e-05
Position 333: 2.5134836310029028e-05
Position 462: 2.12756788487382e-05
Position 873: 2.111004450948666e-05
Position 1104: 1.6911111408125277e-05
Position 317: 1.6875878402528005e-05
Position 717: 1.6757254555621938e-05
Position 792: 1.4613023717342212e-05
Position 456: 1.2747002563488423e-05
Position 417: 1.1939027315638055e-05
Position 900: 1.0431948112030547e-05
Position 642: 1.0171990518397077e-05
Position 1100: 9.643742330237745e-06
Position 999: 8.863173947952706e-06
Position 655: 8.268713580522858e-06
Position 480: 4.591557643429852e-06
Position 486: 4.2614491377312785e-06
Position 591: 1.0425446907643342e-06
Position 498: 8.89044188785854e-07
Position 430: 8.56560712637037e-07
Position 1008: 6.391191497850889e-07
Position 1176: 6.159549551823199e-07
Position 953: 5.903451872611486e-07
Position 248: 5.881979960982838e-07
Position 1182: 4.548936974983948e-07
Position 1166: 3.934567648364332e-07
Position 221: 3.879719961801294e-07
Position 576: 3.255835543274601e-07
Position 927: 2.2906997476313654e-07
Position 176: 2.1773063409403977e-07
Position 957: 1.9219695789114435e-07
Position 435: 1.8099829449867196e-07
Position 540: 1.4899667051059711e-07
Position 1170: 9.303394218816102e-08
Position 474: 7.053829607233176e-08
Position 432: 5.025782630934315e-08
Position 1203: 4.927513860058962e-08
Position 582: 3.338353440894647e-08
Position 444: 1.5866828737221396e-08
Position 194: 1.6521686938497872e-10
Position 185: 7.2769254046581e-11
Position 188: 3.15146586841496e-11
Position 206: 6.5891012718964165e-12
Position 268: 2.528878854238256e-12
Position 197: 2.3253708183078874e-12
Position 261: 1.6087013706173e-13
Position 387: 1.361567489662661e-13
