Gene = Adhr
index = 13
Annotated 5SS: [  92  886 1356 2092 2923]
Annotated 3SS: [ 750  950 1425 2517 2973]
SMsplice 5SS: [  92  886 1356 2923]
SMsplice 3SS: [ 226  950 2517 2973]
top_k =  500
Partition function (log Z): 1.5987177853977244

Sorted 5' Splice Sites (High to Low Probability):
Position 1356: 0.9972782787365765
Position 2923: 0.9871537637674872
Position 886: 0.7960970519608721
Position 92: 0.7515069919839783
Position 2092: 0.2928920653646609
Position 1696: 0.16215016536991134
Position 428: 0.10391656646891646
Position 2096: 0.08313300485328344
Position 633: 0.048690488668880046
Position 2187: 0.02883479162687903
Position 325: 0.02721732088576055
Position 672: 0.014133513618935882
Position 182: 0.013362371119303643
Position 1020: 0.011137300484608748
Position 172: 0.010688977047417742
Position 2068: 0.008992554239981953
Position 2112: 0.005873943180096511
Position 153: 0.0057225859546606445
Position 926: 0.0049319001729601014
Position 2462: 0.004501105955710937
Position 1512: 0.002660559875839694
Position 2417: 0.0024391094061738472
Position 1246: 0.0017183999370393539
Position 2813: 0.0014403729703662612
Position 627: 0.0013492977695167255
Position 1249: 0.001211496299481502
Position 514: 0.0010055645476444875
Position 2896: 0.0007830938784477542
Position 2170: 0.00048691836005745236
Position 2915: 0.00047715158702331384
Position 1135: 0.00040318331891993597
Position 1531: 0.00034248200041989623
Position 391: 0.0003421110198439411
Position 25: 0.00029925287598516035
Position 654: 0.00027240812390729905
Position 2656: 0.00023204612049064187
Position 957: 0.00022888979556781299
Position 1998: 0.00018553672721821672
Position 415: 0.00018388692612605903
Position 609: 0.00017803603597393158
Position 193: 0.00014763406536627338
Position 2696: 0.00013993768033421103
Position 96: 0.0001368162770108019
Position 3127: 0.00012681363844629066
Position 248: 0.000125148270225898
Position 56: 0.00010532158145341289
Position 329: 8.253388863552651e-05
Position 130: 6.953040746749289e-05
Position 1741: 6.498407012245492e-05
Position 1240: 5.368676898269324e-05
Position 3207: 4.7467789258423684e-05
Position 541: 4.5567113132068905e-05
Position 1732: 4.447353815970821e-05
Position 2706: 3.193078656234265e-05
Position 3246: 2.9422275821037e-05
Position 1492: 2.8671240644587686e-05
Position 814: 2.064700307276017e-05
Position 1662: 1.9512211431019382e-05
Position 370: 1.854538078332638e-05
Position 295: 1.643238006832272e-05
Position 35: 1.556457918583473e-05
Position 3225: 1.1844445952038176e-05
Position 3173: 1.143485036884641e-05
Position 1519: 9.562037052620426e-06
Position 1360: 4.398931573814125e-06
Position 1500: 2.7688937130538758e-06
Position 17: 9.532650316781471e-07
Position 845: 4.918187363408652e-07
Position 1299: 2.572961645120271e-07
