Gene = Daxx
index = 1129
Annotated 5SS: [ 322 5183 5424]
Annotated 3SS: [1053 5242 5561]
SMsplice 5SS: [ 322 1471 5183 5424]
SMsplice 3SS: [1053 5081 5242 5561]
top_k =  500
Partition function (log Z): -8.833900041225245

Sorted 5' Splice Sites (High to Low Probability):
Position 1471: 0.6887499853813716
Position 5183: 0.6852448048147002
Position 322: 0.5865628872028339
Position 5424: 0.564720274281383
Position 630: 0.26419797942728984
Position 4554: 0.09319702308410244
Position 5905: 0.06279492131758195
Position 4539: 0.03898110914342029
Position 1999: 0.029933798890037777
Position 1621: 0.029733516816045094
Position 1109: 0.02792901954504486
Position 1414: 0.027486064037153406
Position 353: 0.027232999018250235
Position 373: 0.019336053708678386
Position 5408: 0.01879094311071461
Position 678: 0.01702472641461405
Position 991: 0.00960025288200214
Position 361: 0.009416822097268874
Position 207: 0.008756410143333707
Position 961: 0.007857251578524713
Position 378: 0.007085661893490717
Position 357: 0.0058889354145812475
Position 406: 0.005778595288630617
Position 1171: 0.004639516536084108
Position 359: 0.00403230461127974
Position 6287: 0.003891301703845522
Position 617: 0.0038346051638141854
Position 60: 0.0036741895179754126
Position 412: 0.0030029492073797674
Position 806: 0.002851205644801366
Position 349: 0.002461293690490197
Position 6251: 0.0021796632465377395
Position 223: 0.00204767931564965
Position 3256: 0.0019392186058991086
Position 228: 0.0017877678410308806
Position 926: 0.0012030515025584624
Position 5163: 0.0010712993963405608
Position 1477: 0.001004423100491699
Position 971: 0.0009644058213958512
Position 625: 0.0008726494665446009
Position 979: 0.0006482448546323148
Position 6574: 0.0006236076054668062
Position 683: 0.0005921278254275111
Position 382: 0.0005828773439154672
Position 5263: 0.0005465083835089042
Position 949: 0.0005430575358143778
Position 1410: 0.000518986251860374
Position 71: 0.0004901619566749149
Position 989: 0.00046518453575259474
Position 162: 0.00036105383981602804
Position 1219: 0.00033531578097326656
Position 178: 0.00032388902881672017
Position 363: 0.00029829722305700916
Position 858: 0.0002547724487468859
Position 152: 0.00024530923571697863
Position 365: 0.000214093592972346
Position 658: 0.00019949941028448115
Position 517: 0.0001988331544313044
Position 653: 0.00016484125466240704
Position 1250: 9.673642305913646e-05
Position 20: 8.744719269488958e-05
Position 96: 8.568166826054213e-05
Position 1213: 7.667353862561251e-05
Position 309: 7.563458972592745e-05
Position 185: 7.533437045551213e-05
Position 1753: 7.135828296289139e-05
Position 241: 5.8865922345130515e-05
Position 410: 5.055630291954374e-05
Position 1282: 4.424037801911983e-05
Position 634: 4.1998139821861426e-05
Position 887: 3.6715258197622655e-05
Position 692: 3.604058974251436e-05
Position 651: 3.496231056917817e-05
Position 154: 3.429866514734759e-05
Position 810: 3.226233162211391e-05
Position 283: 3.2002878181919676e-05
Position 596: 3.188910374029979e-05
Position 1233: 2.466252465406616e-05
Position 50: 2.2598144264761896e-05
Position 134: 2.1165434274742182e-05
Position 279: 1.925726056287828e-05
Position 2140: 1.69649217869687e-05
Position 41: 1.56271747741057e-05
Position 1118: 9.622534978625693e-06
Position 868: 9.330505964529617e-06
Position 557: 7.626862269924142e-06
Position 428: 7.005185545553095e-06
Position 485: 6.874416684403491e-06
Position 1574: 4.4370361745563645e-06
Position 1444: 3.4510435948266754e-06
Position 1648: 3.4355041535555788e-06
Position 418: 1.2364649146231189e-06
Position 1512: 5.778617450991088e-07
Position 695: 4.4780056100091024e-07
Position 416: 3.854925183363394e-07
Position 273: 2.887943050723419e-07
Position 292: 1.4146935646523123e-07
Position 603: 1.3437326654526144e-07
Position 109: 1.248450415683556e-07
Position 139: 7.412702820540797e-08
Position 490: 6.830090551669162e-08
Position 523: 5.6910187787898045e-08
Position 142: 5.645946961815706e-08
Position 103: 3.3629311326792166e-08
Position 1625: 1.8787240308349047e-09
Position 430: 5.034575513757459e-10
Position 256: 9.520663288225043e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5561: 0.8294448972033827
Position 1053: 0.7414589648467674
Position 5242: 0.7139032429631622
Position 5081: 0.3554979489712189
