Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
top_k =  500
Partition function (log Z): 5.901251553638334

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.9931225077723729
Position 765: 0.9118866158833406
Position 961: 0.1308995612255285
Position 969: 0.06418393568394479
Position 761: 0.04774668185231603
Position 140: 0.04092416524979981
Position 744: 0.029574751742071956
Position 224: 0.011821227553039975
Position 210: 0.007500832712826152
Position 551: 0.0048087922800976336
Position 731: 0.0037865951674629036
Position 137: 0.0027048266554548523
Position 258: 0.0013822367242398866
Position 169: 0.0005458257388355176
Position 734: 0.00035010254330889416
Position 228: 0.0003304079773186827
Position 266: 0.0002214949459224088
Position 878: 0.00021720035002520985
Position 278: 0.00014581821646719528
Position 566: 0.00010177486942801299
Position 324: 9.720004701796372e-05
Position 58: 9.29605211069002e-05
Position 115: 6.053182615232018e-05
Position 177: 5.588320735837688e-05
Position 166: 4.788953503123347e-05
Position 1010: 4.256788825388737e-05
Position 64: 3.443389122116554e-05
Position 197: 3.354713978534781e-05
Position 376: 2.9340456990842497e-05
Position 710: 2.1483234248130293e-05
Position 574: 2.1432582316415652e-05
Position 77: 2.1213710272040962e-05
Position 20: 1.4788924582510764e-05
Position 264: 1.1456047401600469e-05
Position 842: 1.0555447191751521e-05
Position 222: 6.436759945881102e-06
Position 688: 5.056109863098948e-06
Position 786: 4.296457925988841e-06
Position 50: 4.169909438673975e-06
Position 256: 3.2158373162567433e-06
Position 61: 3.1667895917195455e-06
Position 10: 2.5942265686958917e-06
Position 3: 1.899775518815186e-06
Position 474: 7.390097018123593e-07
Position 821: 6.848057264878254e-07
Position 594: 6.113393146986872e-07
Position 694: 4.989483006083419e-07
Position 1045: 4.714571009104142e-07
Position 390: 1.7317392231672727e-07
Position 1054: 1.3483205350419364e-07
Position 440: 1.2685827584827912e-07
Position 654: 1.0779218980308802e-08
Position 621: 2.1011406288297615e-15
Position 623: 2.007924881823082e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996515233139974
Position 821: 0.9872755500652025
Position 1035: 0.17948393549706665
Position 426: 0.04614770947933819
Position 1059: 0.01589834872804238
Position 423: 0.009931045162433292
Position 842: 0.005560928144469214
Position 210: 0.004854991426547354
Position 298: 0.0017209879649816228
Position 324: 0.0005091745058565072
Position 358: 0.00046566693688259624
Position 316: 0.0003921803497511455
Position 566: 0.00022140611556620269
Position 1098: 0.00016932130308374343
Position 1068: 0.00016626029369445685
Position 933: 0.00012202328010269354
Position 645: 7.182475898352617e-05
Position 1079: 6.335933919880717e-05
Position 246: 4.304682274905732e-05
Position 369: 3.461440049069526e-05
Position 463: 2.1235613990399602e-05
Position 214: 1.3454742002827637e-05
Position 648: 1.2773420556480506e-05
Position 435: 1.0765412742634671e-05
Position 887: 1.06420546083971e-05
Position 1001: 8.884261805853638e-06
Position 878: 7.0929487790667465e-06
Position 449: 5.120995116886996e-06
Position 853: 2.782982503520294e-06
Position 574: 2.750296895796151e-06
Position 75: 1.2928884832166903e-06
Position 163: 1.228294023583018e-06
Position 939: 7.277289874234425e-07
Position 103: 6.224761054788436e-07
Position 467: 4.986081370320787e-07
Position 682: 4.499619520868203e-07
Position 909: 1.9610434293081638e-07
Position 499: 1.330544479127693e-07
Position 654: 6.969037604970833e-08
Position 660: 6.381506695454513e-08
Position 105: 6.086090823760283e-08
Position 58: 3.686858991142405e-08
Position 137: 3.622789504152038e-08
Position 471: 2.8468878713249218e-08
Position 679: 2.670410574472687e-08
Position 97: 2.3696019580151922e-08
Position 77: 1.7476804666858887e-08
Position 127: 4.7689931504799425e-09
Position 48: 3.326786174954618e-09
Position 694: 3.14095692935701e-09
Position 508: 1.5966417047909088e-09
Position 757: 2.965430889059344e-10
Position 50: 3.207956650008223e-14
