Gene = G6P
index = 1173
Annotated 5SS: [ 157  381  954 1123]
Annotated 3SS: [ 215  454 1003 1170]
SMsplice 5SS: [ 381  954 1123]
SMsplice 3SS: [ 454 1003 1170]
top_k =  500
Partition function (log Z): 0.669875766926368

Sorted 5' Splice Sites (High to Low Probability):
Position 954: 0.9913528712967675
Position 381: 0.9324909101104265
Position 1123: 0.8159054395954545
Position 157: 0.45968847615800246
Position 1333: 0.18426817907867707
Position 1322: 0.011824193728205125
Position 183: 0.007394388173320649
Position 945: 0.004070805999794988
Position 385: 0.002677301621495393
Position 941: 0.0022993411903233217
Position 800: 0.0011651911728044126
Position 1225: 0.0006197141824304228
Position 724: 0.0005543723365577304
Position 1307: 0.0003218093212216541
Position 302: 0.00029807285279121604
Position 720: 0.0002854605402939134
Position 1255: 0.00023134979093144775
Position 958: 0.00013737855062816208
Position 1277: 0.0001272178631142614
Position 1269: 0.00012696975461056942
Position 1264: 0.00011590197293412826
Position 1127: 0.0001045033510123615
Position 1337: 8.099409374025669e-05
Position 571: 6.831684579015315e-05
Position 1294: 6.828513846039315e-05
Position 695: 5.062746797051664e-05
Position 1046: 2.860148492937492e-05
Position 608: 2.7566666963555446e-05
Position 896: 2.6498387070012282e-05
Position 253: 2.2349081452932217e-05
Position 299: 2.2347480200276483e-05
Position 902: 1.5257644158595808e-05
Position 1217: 1.510518653139013e-05
Position 398: 1.2474279522375635e-05
Position 606: 9.413616213881697e-06
Position 1015: 8.818629795531652e-06
Position 909: 5.488735022696092e-06
Position 1067: 5.379144170022267e-06
Position 42: 5.106060306321403e-06
Position 1229: 3.97085536235494e-06
Position 221: 3.2186246632456787e-06
Position 962: 2.804524430581731e-06
Position 311: 2.5454797256984685e-06
Position 83: 2.426939226464456e-06
Position 103: 1.741429692715667e-06
Position 825: 1.5375471549888337e-06
Position 830: 1.1523640552454885e-06
Position 516: 8.847955047572478e-07
Position 510: 8.714014026810357e-07
Position 276: 5.501368489007338e-07
Position 784: 4.60612412301502e-07
Position 76: 4.494163387368955e-07
Position 513: 3.7988808700325344e-07
Position 639: 3.2693108819491044e-07
Position 717: 2.9095984250989124e-07
Position 612: 2.451450829122077e-07
Position 758: 1.6226937568982193e-07
Position 861: 1.3645550734384005e-07
Position 1017: 1.028036813243001e-07
Position 544: 6.804331443455754e-08
Position 1050: 5.501221827765112e-08
Position 482: 1.0087487593372987e-08
Position 497: 9.542458088426451e-10
Position 325: 9.253522783410313e-10
Position 479: 7.947414108132902e-10
Position 629: 3.3400091188460124e-12
Position 900: 2.961636109838931e-12
Position 472: 1.835218078571809e-12
Position 665: 5.952271508778053e-13
Position 850: 5.466013043370203e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1003: 0.9613927238535458
Position 454: 0.9078976440035532
Position 1170: 0.7607873928452241
Position 215: 0.39196834356810706
Position 1381: 0.25515865222455947
Position 251: 0.06312591741941807
Position 1022: 0.018349882989112342
Position 497: 0.014181056900089396
Position 1071: 0.012057600299197543
Position 221: 0.005303591309433014
Position 311: 0.005254527879406193
Position 521: 0.0051787663667104255
Position 867: 0.004736581085775253
Position 1322: 0.0017431767727225627
Position 770: 0.0014118483065786737
Position 551: 0.0013157967257836664
Position 799: 0.0009372820225178259
Position 1046: 0.0009343387071332201
Position 315: 0.0007823540598761373
Position 1388: 0.0006419353244140158
Position 1264: 0.0006143664415939765
Position 818: 0.0005451683201228417
Position 1261: 0.000506847705480976
Position 1354: 0.000462619173112741
Position 356: 0.00045869342887457223
Position 492: 0.0003558702362350807
Position 1359: 7.221486250289235e-05
Position 230: 5.881145613832419e-05
Position 1225: 4.885985880990925e-05
Position 544: 4.7454607837825405e-05
Position 1120: 3.222144465210428e-05
Position 830: 2.491952855578054e-05
Position 900: 2.4865181744981966e-05
Position 1073: 2.4798106855981175e-05
Position 914: 2.3074262194883e-05
Position 467: 2.286507818052334e-05
Position 1418: 2.1000556280869552e-05
Position 1302: 1.6303577662563806e-05
Position 885: 1.5246509538907801e-05
Position 1333: 1.440202351510956e-05
Position 264: 3.891104552926045e-06
Position 388: 2.042181236256064e-06
Position 1361: 7.997376610578872e-07
Position 190: 7.52664135353105e-08
Position 200: 3.4446035779737726e-08
Position 151: 1.515504676780201e-08
Position 198: 6.604119783098719e-11
Position 385: 6.662688979079567e-12
Position 127: 3.294304955255362e-12
Position 393: 2.2168794081099408e-13
