Gene = MESR6
index = 1266
Annotated 5SS: [651 771]
Annotated 3SS: [728 992]
SMsplice 5SS: [651]
SMsplice 3SS: [992]
top_k =  500
Partition function (log Z): -6.097066405848107

Sorted 5' Splice Sites (High to Low Probability):
Position 651: 0.9974008896902509
Position 899: 0.018331813686791223
Position 906: 0.013731278761010834
Position 1181: 0.01097946509051617
Position 1067: 0.009068473619027146
Position 1528: 0.005898444334360934
Position 247: 0.004253222133782615
Position 443: 0.003632819169794086
Position 84: 0.0023667097090623768
Position 1367: 0.002353464152395747
Position 814: 0.002122782575235305
Position 743: 0.001753402960673343
Position 28: 0.0013365763129002926
Position 461: 0.0009568706958315205
Position 125: 0.0005579669685893431
Position 771: 0.0005450956822610225
Position 216: 0.0004410736245523192
Position 201: 0.0004280528871687438
Position 1101: 0.0002563224857801195
Position 1541: 0.00023898358001718463
Position 836: 0.00022912736446391874
Position 841: 0.00017252168987010117
Position 21: 0.00015035473326586313
Position 1169: 0.0001380038856801125
Position 1526: 0.0001332972954900749
Position 261: 0.00013109267951935796
Position 601: 0.00010821244972071454
Position 551: 0.00010701016301841899
Position 353: 9.569447311836455e-05
Position 386: 7.972364423011866e-05
Position 763: 7.812722464785638e-05
Position 955: 6.285895497991024e-05
Position 1675: 4.0951276770051005e-05
Position 1820: 3.911414793637457e-05
Position 1511: 3.312466465471105e-05
Position 469: 3.211028377029435e-05
Position 251: 3.027420668296285e-05
Position 434: 3.001613575280205e-05
Position 1695: 2.9506415028951837e-05
Position 67: 2.931400429590611e-05
Position 1375: 2.754981244513175e-05
Position 844: 2.296160547573769e-05
Position 207: 2.1546621612087596e-05
Position 1105: 2.105436341587518e-05
Position 114: 1.965814876665832e-05
Position 168: 1.6287966412900658e-05
Position 1996: 1.2046308176975232e-05
Position 95: 1.0987831928524766e-05
Position 1250: 8.324299344546189e-06
Position 1999: 5.383221993237324e-06
Position 1880: 2.7636224497195563e-06
Position 1778: 2.577117211650175e-06
Position 97: 1.8781562095970442e-06
Position 111: 1.4332854260664537e-06
Position 119: 9.3979957709149e-07
Position 78: 2.734199581353511e-07
Position 576: 2.0229904274218363e-07
Position 524: 8.118538277628745e-08
Position 953: 5.42097217976685e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 992: 0.6350069217143047
Position 728: 0.19172919524169543
Position 946: 0.17018021824352988
Position 1705: 0.02574149269391608
Position 1278: 0.012408085907759752
Position 511: 0.012080922838834827
Position 872: 0.009184472634057863
Position 802: 0.005325027380550203
Position 814: 0.004127512775534214
Position 1330: 0.0012492566163268429
Position 786: 0.0010514966294212806
Position 1021: 0.00105110948992331
Position 1754: 0.0008983394375449479
Position 1693: 0.0008089164911410301
Position 95: 0.0007239581405813596
Position 953: 0.0006004296180286769
Position 1039: 0.0005858228607253644
Position 734: 0.0005063195432533056
Position 1771: 0.0005053559195732586
Position 1309: 0.0004823318402315153
Position 749: 0.0004737318615077656
Position 1617: 0.0003691597677080505
Position 1816: 0.00030109831325301307
Position 1415: 0.0002674932654187652
Position 2078: 0.00022627307730197597
Position 1397: 0.0001976389787188987
Position 1356: 0.00019340495581757268
Position 763: 0.00017788114010914592
Position 1234: 0.00017236854880590426
Position 1447: 0.0001399507934657774
Position 1036: 0.00012369945512140368
Position 1053: 0.00011905777639988413
Position 1653: 0.00011148805856866661
Position 1156: 0.00010975068224091475
Position 1066: 0.0001043063263409073
Position 1777: 9.31974543605481e-05
Position 1724: 9.211104177247505e-05
Position 1715: 9.152690577718677e-05
Position 924: 9.090517225890129e-05
Position 693: 8.340710382085017e-05
Position 1078: 8.179922447162661e-05
Position 1366: 7.969706058713987e-05
Position 852: 7.081915016657319e-05
Position 1336: 6.452069951896368e-05
Position 1910: 5.8618407977680095e-05
Position 104: 5.628209388911519e-05
Position 84: 5.5188527401329376e-05
Position 1468: 4.85708457583528e-05
Position 305: 4.819068257301223e-05
Position 615: 3.695528553612062e-05
Position 163: 3.080859223300739e-05
Position 119: 2.4864709882489696e-05
Position 201: 2.3057683260142468e-05
Position 592: 1.818027106252872e-05
Position 1262: 1.6357486602003065e-05
Position 298: 1.572078706587056e-05
Position 391: 1.2751962553598966e-05
Position 272: 8.706581789067022e-06
Position 1999: 7.786331918985926e-06
Position 313: 7.1291281066757605e-06
Position 424: 4.829674141432602e-06
Position 576: 4.590794411772603e-06
Position 125: 4.42003914040065e-06
Position 316: 3.933459332723509e-06
Position 135: 3.8232897889016286e-06
Position 469: 1.3339367040517664e-06
Position 289: 9.462750585350963e-07
Position 67: 9.401806190189524e-07
Position 408: 9.059236183696424e-07
Position 207: 7.047213223772279e-07
Position 216: 6.20526481868903e-07
Position 111: 5.908365616165006e-07
Position 364: 2.458703458565561e-07
Position 332: 1.8035735740560226e-07
Position 367: 1.2290941717373274e-07
Position 223: 1.1707452867100444e-07
Position 245: 1.019818999539197e-07
Position 414: 2.468711967073837e-08
Position 650: 8.63330200586977e-09
Position 166: 3.4024391775676024e-09
Position 622: 3.2953595673015293e-09
Position 274: 3.254207960250629e-09
Position 319: 1.6157468946110955e-09
Position 291: 1.5758494917928553e-09
Position 328: 9.40126193782338e-10
Position 342: 8.357609819283239e-10
