Gene = sNPF
index = 1862
Annotated 5SS: [  415 26307 26822 27195]
Annotated 3SS: [26161 26363 26963 27260]
SMsplice 5SS: [  415 26307 26822 27195]
SMsplice 3SS: [26161 26440 26963 27260]
top_k =  500
Partition function (log Z): -8.065711920789942

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.999999999999984
Position 26307: 0.9973146391918102
Position 27195: 0.8643786838385944
Position 26822: 0.8488022157648605
Position 17315: 0.3105641983608821
Position 17490: 0.3105641226395883
Position 27616: 0.10781939135240697
Position 27606: 0.06289839417414683
Position 27555: 0.0009506732335595571
Position 27132: 6.493461115769796e-05
Position 17955: 2.8131814639035163e-08
Position 17542: 2.0831463300063877e-09
Position 11997: 6.187185788395487e-12
Position 2826: 2.3541947679546673e-14
Position 2272: 2.0656757152324494e-14
Position 1018: 1.428692480038081e-14
Position 1234: 1.3900152316770437e-14
Position 1261: 9.042413161851062e-15
Position 1843: 1.813827869887271e-15
Position 2430: 1.2817011637140888e-15
Position 874: 1.0540079093227873e-15
Position 1941: 7.264132361461844e-16
Position 1848: 5.222071861579447e-16
Position 2097: 4.931070352871651e-16
Position 868: 3.32414795157026e-16
Position 613: 2.6843727663953456e-16
Position 1574: 2.3945637292394663e-16
Position 2101: 1.8387880218445806e-16
Position 272: 1.3862601663448486e-16
Position 345: 1.0599480882972209e-16
Position 1351: 6.716127339985287e-17
Position 1470: 5.4240328924041116e-17
Position 669: 4.1445000040780856e-17
Position 435: 2.9116028363319766e-17
Position 713: 2.3627041307929875e-17
Position 748: 2.2251647470558694e-17
Position 574: 2.1168197865784973e-17
Position 1230: 1.7589170299473116e-17
Position 464: 1.3026654933119111e-17
Position 804: 5.432217146185437e-18
Position 949: 5.41620005931722e-18
Position 773: 5.204298364308341e-18
Position 265: 3.548054451706136e-18
Position 617: 3.018426795145631e-18
Position 153: 3.015337496519435e-18
Position 79: 1.6233924623461425e-18
Position 409: 1.087434861039803e-18
Position 335: 1.0647197075167403e-18
Position 758: 6.746414650762953e-19
Position 113: 4.614911351371668e-19
Position 836: 3.5944064246389916e-19
Position 282: 3.2357756658825954e-19
Position 354: 2.959628948402945e-19
Position 176: 2.5749598049137343e-19
Position 1409: 2.391022627665076e-19
Position 1109: 1.5405265992754389e-19
Position 610: 1.5350977855686434e-19
Position 419: 1.1765415247139083e-19
Position 673: 8.023180852532157e-20
Position 1216: 5.978518866213188e-20
Position 191: 5.544449994868161e-20
Position 494: 4.176335158283556e-20
Position 164: 3.7527889638267334e-20
Position 702: 3.483045800432766e-20
Position 94: 2.6209968821384975e-20
Position 385: 2.1737180480827753e-20
Position 724: 2.084388214709444e-20
Position 1113: 1.6045306310662673e-20
Position 1244: 6.262665836815453e-21
Position 398: 4.173672785822378e-21
Position 571: 3.1211502946090355e-21
Position 291: 2.5137843386952347e-21
Position 138: 1.6253160776482453e-21
Position 7: 9.387376317614227e-22
Position 129: 6.142328826886476e-22
Position 825: 6.438960022566216e-23
Position 691: 7.397099948453015e-24
Position 601: 6.21076785519176e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 26161: 0.9999999145877132
Position 27260: 0.7807983762474351
Position 26963: 0.6779178249890492
Position 26440: 0.6679513799303006
Position 17139: 0.3105641983608821
Position 26363: 0.2789680014654414
Position 17366: 0.27722262199182324
Position 27807: 0.15731307873859807
Position 26877: 0.08322650705593349
Position 26401: 0.036982675253098146
Position 17375: 0.033341579893091805
Position 27296: 0.03245386807383198
Position 27739: 0.03054074236637005
Position 26900: 0.026435539488352963
