Gene = Clamp
index = 1078
Annotated 5SS: [ 256  764 1024 1507 1841 2094]
Annotated 3SS: [ 499  822 1076 1566 1889 2155]
SMsplice 5SS: [ 256  764 1024 1507 1841 2094]
SMsplice 3SS: [ 499  822 1076 1566 1925 2155]
top_k =  500
Partition function (log Z): 6.016643940899563

Sorted 5' Splice Sites (High to Low Probability):
Position 764: 0.9976778934942591
Position 1507: 0.9822026346749005
Position 2094: 0.8875826265252367
Position 256: 0.8638329622511679
Position 1841: 0.6455179998985363
Position 1024: 0.6256589732277449
Position 2581: 0.3625221436485123
Position 1812: 0.19186509981093597
Position 970: 0.10932531067132621
Position 1110: 0.1073666130826727
Position 403: 0.04319959417603429
Position 1028: 0.02971357869383452
Position 3058: 0.027204428550483776
Position 1681: 0.016234503997992943
Position 387: 0.014974922462526623
Position 1800: 0.012022084534752626
Position 3292: 0.008287211818406146
Position 1654: 0.006869119415514819
Position 2382: 0.0062742737470001635
Position 997: 0.006135290674410092
Position 3089: 0.005883178856096232
Position 2609: 0.0054127514630209796
Position 2044: 0.003171617715183773
Position 377: 0.002792389067236801
Position 1510: 0.0027179142898188045
Position 234: 0.002454183921385139
Position 2408: 0.0022077250955969433
Position 407: 0.0020787985610564307
Position 1434: 0.002025727456231633
Position 291: 0.0020210362244108184
Position 1279: 0.002020574265768739
Position 2324: 0.0018634947228864651
Position 2477: 0.0016522656370731505
Position 249: 0.0016424504161046116
Position 1103: 0.0014072584156348848
Position 1845: 0.0013549152144351007
Position 2571: 0.001303961458600386
Position 87: 0.0012606547105451255
Position 69: 0.001156845065741393
Position 1767: 0.001130896193159798
Position 286: 0.001114662038495582
Position 3129: 0.0010356942845020129
Position 48: 0.001005123178540455
Position 1233: 0.0009880773362644997
Position 947: 0.0008574892109543926
Position 2899: 0.0008206033224052102
Position 299: 0.0008095938421165095
Position 2818: 0.00080685793595959
Position 1943: 0.0007711333171760404
Position 1513: 0.0007598909514998184
Position 1830: 0.0006713590553978169
Position 355: 0.0006619681483589271
Position 2941: 0.0005357888612393301
Position 244: 0.0005251490851019209
Position 1890: 0.000450883872637272
Position 123: 0.0004378062945443456
Position 1824: 0.00039752178050958
Position 2245: 0.00038904710584924474
Position 768: 0.0003272569206327392
Position 1761: 0.00026841554799558054
Position 563: 0.0002668051913282994
Position 75: 0.00026428306719324227
Position 220: 0.00022676692033343215
Position 1105: 0.00021307615833869047
Position 546: 0.00020927706615090882
Position 1685: 0.00017352050254667225
Position 1338: 0.00016858388594540575
Position 1758: 0.00012771801148444867
Position 345: 0.00012425836704708788
Position 239: 0.00011788588950938457
Position 1964: 8.797009077646274e-05
Position 17: 8.601184773736705e-05
Position 2010: 8.309405945808542e-05
Position 445: 8.113122836480639e-05
Position 574: 6.459602288519685e-05
Position 2238: 5.886378633517595e-05
Position 1994: 5.3664630214334847e-05
Position 1423: 4.068849006761951e-05
Position 2326: 3.8022913874987346e-05
Position 1928: 3.4329835404733254e-05
Position 1114: 3.233319560002648e-05
Position 428: 2.975015014062854e-05
Position 2240: 2.7917360120166317e-05
Position 1701: 2.471737579255735e-05
Position 381: 2.4109696434367267e-05
