Gene = Cka
index = 1077
Annotated 5SS: [ 119 1921 5578 5856]
Annotated 3SS: [1338 5099 5660 6368]
SMsplice 5SS: [1921 5578 5856]
SMsplice 3SS: [5099 5636 6368]
top_k =  500
Partition function (log Z): -2.15589057941949

Sorted 5' Splice Sites (High to Low Probability):
Position 5578: 0.9865844780651645
Position 1921: 0.9758541441411427
Position 5856: 0.9492262818526112
Position 855: 0.31697041427048794
Position 119: 0.2572093612495921
Position 588: 0.1608005731102401
Position 9219: 0.1537983996065022
Position 6756: 0.07332581670144121
Position 6173: 0.060754109097950634
Position 315: 0.060629324264402984
Position 6511: 0.03409045060713005
Position 6539: 0.0269859984126747
Position 7088: 0.0196750178257689
Position 195: 0.01734939595595305
Position 362: 0.017339354639018676
Position 4602: 0.016681799984691156
Position 4119: 0.011077609987103462
Position 1783: 0.009334732405313698
Position 3195: 0.008928832281262865
Position 818: 0.006221467783519356
Position 1795: 0.005170853557469163
Position 5582: 0.004915033565292428
Position 8516: 0.004739748837946351
Position 861: 0.00424240319871208
Position 572: 0.0037994484759787785
Position 1020: 0.0037863506777420426
Position 7607: 0.003552777189474727
Position 8689: 0.0032937421267107735
Position 155: 0.0032584835964975405
Position 822: 0.003209208863948189
Position 442: 0.0027059205334225467
Position 2095: 0.0023853137740950285
Position 668: 0.0020251265193497944
Position 617: 0.0019951153828087977
Position 4181: 0.0019614213379583853
Position 810: 0.0018924332564984668
Position 6393: 0.0018864801698397773
Position 5807: 0.0017019524604697171
Position 2411: 0.0016835227492432382
Position 5183: 0.0016441275459826799
Position 674: 0.0011584861776777653
Position 4139: 0.0011583824147823752
Position 824: 0.0010662846235089778
Position 1097: 0.0010374704884944172
Position 2099: 0.0009157509392834579
Position 6294: 0.0009026858657609533
Position 2158: 0.0008693468732744023
Position 146: 0.0008583255792244586
Position 7354: 0.0008410001480865595
Position 871: 0.0008094928538145004
Position 873: 0.0008041846611089043
Position 869: 0.0007908984364580428
Position 2120: 0.0007859776680757265
Position 348: 0.0007795711464273553
Position 2493: 0.0007325683703416837
Position 1137: 0.0007317931067406095
Position 53: 0.0007195542569373618
Position 1266: 0.0006916641127788407
Position 919: 0.0006532269242222065
Position 399: 0.0006351739928101541
Position 2673: 0.0005951915717919319
Position 6305: 0.0005830388286266552
Position 624: 0.0005707684395375306
Position 8646: 0.0005315434680459315
Position 875: 0.000521133297418629
Position 570: 0.0005194533596053508
Position 2446: 0.0004957283255159784
Position 4427: 0.00048689779816286547
Position 879: 0.0004671435164165507
Position 865: 0.0004319928908175631
Position 1105: 0.0004194340587798627
Position 5412: 0.0003574220776975802
Position 343: 0.00034781891418282445
Position 474: 0.00033687505503919986
Position 2270: 0.0003228005205143378
Position 867: 0.00030087527053498697
Position 309: 0.00027546978506651427
Position 323: 0.0002688413710174522
Position 6278: 0.00025935257683079284
Position 4327: 0.00022991109717127617
Position 814: 0.00022367183781474184
Position 1149: 0.00018350986121031654
Position 5830: 0.00017548266280021697
Position 4300: 0.00016867705191742739
Position 102: 0.0001679384368216861
Position 6480: 0.00016434894061817572
Position 1154: 0.00014791806687942832
Position 2170: 0.00014235450078120996
Position 3330: 0.0001386403933735402
Position 2654: 0.00011337235461318987
Position 460: 0.00011296224978100004
Position 6130: 9.791391102252404e-05
Position 3550: 7.710906256378809e-05
Position 6914: 7.027059869977718e-05
Position 2199: 6.393828883601168e-05
Position 6289: 5.992540860891983e-05
Position 241: 5.608784344086055e-05
Position 6040: 5.4453977810551714e-05
Position 377: 4.986452651514716e-05
Position 243: 3.72265985015999e-05
Position 6486: 2.884481722124309e-05
Position 6025: 2.2539067536844737e-05
Position 245: 2.2501784470715756e-05
Position 239: 2.0798115526376947e-05
Position 5427: 1.6591806826674062e-05
Position 425: 1.3283494550529274e-05
Position 6413: 8.542921212042623e-06
Position 5984: 7.877745178256007e-06
Position 6108: 7.243700101146401e-06
Position 6629: 6.536635581485932e-06
Position 6261: 6.2507556754963865e-06
Position 26: 6.082000808201731e-06
Position 427: 5.507306968480767e-06
Position 750: 4.0107074618005514e-06
Position 14: 3.935738410976631e-06
Position 366: 3.8626942662901685e-06
Position 5780: 3.831223833767204e-06
Position 446: 3.4770518016079707e-06
Position 5860: 3.4744364848665426e-06
Position 2152: 2.8478871036054733e-06
Position 6272: 2.3936088257156856e-06
Position 364: 2.206336823171339e-06
Position 1994: 1.3994304930727693e-06
Position 231: 2.249862085326928e-07
Position 259: 1.4358455405435132e-07
Position 2134: 1.2164400201757425e-07
Position 581: 9.6418648547573e-08
Position 233: 2.2994533961208838e-08
Position 247: 1.9376034623098772e-08
Position 5865: 8.209682764975135e-09
Position 5290: 2.692366880792961e-09
Position 5313: 1.3257522897756833e-09
Position 249: 4.7124706379767244e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5099: 0.9906190003811302
Position 5636: 0.7913067922839319
Position 6368: 0.5311469832695497
Position 1338: 0.46383949750822884
Position 9136: 0.3617643907285572
Position 266: 0.1807071879033523
Position 9442: 0.15214930986740097
Position 5660: 0.14625639977134117
Position 979: 0.0829045587639887
Position 9590: 0.07337325485280942
Position 9378: 0.06333952229078221
Position 6115: 0.060443281920881504
Position 375: 0.05114400074283241
Position 9612: 0.03245293793253049
Position 6563: 0.024658340936942396
Position 1857: 0.02132821055754444
Position 916: 0.019832562553751928
Position 3868: 0.018508762826480996
Position 8424: 0.017969338715576624
Position 9393: 0.014239188335533745
Position 546: 0.012405676386403573
Position 4259: 0.011554319388282053
Position 6231: 0.009793701444683042
Position 1993: 0.007515195786184949
Position 641: 0.00733289455693922
Position 5698: 0.006782175508445151
Position 6020: 0.006629970533866365
Position 5041: 0.006428078822974786
Position 8575: 0.006354751208988385
Position 8047: 0.006222590434495534
Position 850: 0.005765441912888223
Position 5963: 0.0052070022761245985
Position 5989: 0.003991547145487667
Position 1024: 0.003898548420686443
Position 2041: 0.0035995553483789693
Position 5702: 0.003399528951194163
Position 460: 0.003367599994064831
Position 1040: 0.002386776629388477
Position 6247: 0.002161227664471434
Position 5246: 0.0017686934547729224
Position 2209: 0.0016363213079896145
Position 4362: 0.001606287412841302
Position 667: 0.0015271902359238977
Position 1345: 0.0014800149583398612
Position 274: 0.0014059857407430173
Position 1350: 0.0013940491784352924
Position 2989: 0.0013646648931666572
Position 1413: 0.0011909013418371101
Position 929: 0.0011856279862761455
Position 184: 0.0011286835521966748
Position 2058: 0.0011004145115675855
Position 10089: 0.0010410564568431252
Position 5896: 0.0010292346898071042
Position 655: 0.0009579130414326018
Position 3874: 0.0009360635803144273
Position 2345: 0.0009243222634844979
Position 8721: 0.0008494327888687321
Position 8000: 0.0007660433484018259
Position 3504: 0.0007453579613404737
Position 440: 0.0007115751761707319
Position 674: 0.000695477176081337
Position 883: 0.0006903098567993549
Position 1390: 0.0006350022467018965
Position 2148: 0.0005550728346633318
Position 8463: 0.0005143919153832515
Position 1667: 0.0004974039008968556
Position 5940: 0.0004832401120435368
Position 6370: 0.00047211093314582654
Position 4810: 0.00044285517620355996
Position 2541: 0.0004071693103199888
Position 570: 0.0003945252087232112
Position 6033: 0.0003801329087983674
Position 5473: 0.0003558391945365567
Position 6965: 0.00035264614849476534
Position 3037: 0.00034994979169956366
Position 6289: 0.00034674292239156437
Position 6681: 0.00030657063036515926
Position 6607: 0.00029773025031329034
Position 7443: 0.00028801205240138036
Position 6454: 0.0002847769557374465
Position 7044: 0.00027713662266568023
Position 6622: 0.0002517509408776279
Position 4733: 0.0002497601548872045
Position 1006: 0.0002492673698773929
Position 2236: 0.00023133269559712002
Position 1417: 0.00022367211510201856
Position 2098: 0.00022159814269247103
Position 2232: 0.00021838315386406483
Position 6256: 0.0002040084526711485
Position 5804: 0.00020144757155782434
Position 231: 0.00015079489909440986
Position 5901: 0.00014660783543837155
Position 587: 0.00014252065984918783
Position 3414: 0.00010608379335275687
Position 6121: 0.00010248356550914803
Position 1073: 9.488092223236666e-05
Position 591: 9.06744981499777e-05
Position 6406: 8.753579437157738e-05
Position 4666: 8.642397506468597e-05
Position 5124: 8.272452059568408e-05
Position 2287: 8.266750199398279e-05
Position 1989: 8.252141904867322e-05
Position 4940: 8.138793242159154e-05
Position 696: 7.4057717953269e-05
Position 624: 5.586113560684869e-05
Position 6902: 5.290867751041982e-05
Position 2132: 4.1010884576115714e-05
