Gene = Ggamma30A
index = 1187
Annotated 5SS: [  252   644 16045]
Annotated 3SS: [  329 15902 34492]
SMsplice 5SS: [  644 35124]
SMsplice 3SS: [34492 45680]
top_k =  500
Partition function (log Z): -29.32161710942601

Sorted 5' Splice Sites (High to Low Probability):
Position 644: 0.9016679228730637
Position 16045: 0.5678973197356326
Position 134: 0.09833207712502216
Position 17090: 5.631053852596294e-10
Position 560: 1.6891986758680743e-12
Position 11483: 5.02261176521432e-13
Position 554: 4.120557503442157e-13
Position 10199: 2.9899419049689067e-13
Position 2170: 1.7198921897657654e-13
Position 10671: 1.1471953370840948e-13
Position 89: 5.69134139118286e-14
Position 150: 2.653519758471018e-14
Position 252: 2.4926706137870265e-14
Position 280: 1.835525349555984e-14
Position 969: 6.135509336578025e-15
Position 454: 5.202380799847692e-15
Position 977: 2.966843717284791e-15
Position 410: 2.3014948123768168e-15
Position 1220: 1.5663301253230539e-15
Position 752: 1.5639832067487522e-15
Position 1225: 1.4536462995535017e-15
Position 274: 1.1450612817617298e-15
Position 144: 1.1232611209934652e-15
Position 138: 1.0861424891181453e-15
Position 954: 9.751681058755208e-16
Position 3023: 9.236402946935986e-16
Position 3268: 9.05081228559791e-16
Position 2859: 7.544915869523827e-16
Position 756: 6.14099501997354e-16
Position 735: 5.545055915892697e-16
Position 220: 5.327592454068703e-16
Position 851: 3.708076268860457e-16
Position 893: 3.2306656732937917e-16
Position 2871: 3.0201503744204474e-16
Position 3080: 2.7828480917596845e-16
Position 1462: 2.632030129134777e-16
Position 503: 2.030474136005094e-16
Position 1420: 1.9873887737245789e-16
Position 414: 1.9418615765506036e-16
Position 3237: 1.9163388447636509e-16
Position 329: 1.7071267935040438e-16
Position 1468: 1.4293512812169596e-16
Position 3640: 1.1071526667861947e-16
Position 766: 9.794273534423328e-17
Position 12: 7.565735801755029e-17
Position 809: 7.082509793446034e-17
Position 952: 5.418128065074564e-17
Position 228: 5.4137949847754045e-17
Position 574: 5.3076447449978475e-17
Position 1200: 4.569963716486947e-17
Position 4163: 3.9502774901569135e-17
Position 244: 3.588472670466124e-17
Position 3791: 3.113164351002665e-17
Position 3801: 3.0280268253041194e-17
Position 205: 3.0067130497502704e-17
Position 823: 2.977519436994991e-17
Position 1766: 2.3280436666208074e-17
Position 179: 2.1877017317924356e-17
Position 256: 2.1271733160109488e-17
Position 873: 2.1172245359735355e-17
Position 578: 1.7416545403944088e-17
Position 741: 1.4345687263860458e-17
Position 258: 1.2650293411847588e-17
Position 2725: 1.1172360987058897e-17
Position 3976: 1.0552846824053883e-17
Position 3862: 7.472573472379399e-18
Position 5: 6.265951631444187e-19
Position 1587: 5.590361004549247e-19
Position 1266: 4.34768308575596e-19
Position 22: 3.72559607565164e-19
Position 1578: 3.6899005989334936e-19
Position 1257: 3.2145813582332287e-19
Position 1400: 2.6112762765458594e-19
Position 1454: 1.4148763277379464e-19
Position 1122: 1.0117998086361778e-19
Position 1115: 9.437787079539277e-20
