Gene = atk
index = 1615
Annotated 5SS: [ 117 5434 7993 8179]
Annotated 3SS: [5240 5492 8054 8233]
SMsplice 5SS: [ 117 5434 7993 8179]
SMsplice 3SS: [5240 5492 8054 8233]
top_k =  500
Partition function (log Z): -0.7986210570294213

Sorted 5' Splice Sites (High to Low Probability):
Position 8179: 0.9992281389093578
Position 5434: 0.9925480638016683
Position 7993: 0.9642591750670083
Position 117: 0.394359787090356
Position 6112: 0.39366987493025013
Position 829: 0.30331201906847577
Position 467: 0.10688144561542587
Position 991: 0.08490957133577852
Position 718: 0.06652454882645452
Position 6067: 0.05608296491961396
Position 1415: 0.05156791759861575
Position 9212: 0.03935794110722498
Position 9034: 0.03182229062413954
Position 7947: 0.03012252868307955
Position 147: 0.021451137390416573
Position 5843: 0.017725965957436397
Position 6464: 0.01669520295724041
Position 8368: 0.01351476646424414
Position 6178: 0.012589325164953799
Position 3042: 0.012514250488661878
Position 609: 0.012287699755551091
Position 3046: 0.011404766400677542
Position 38: 0.010828705008638388
Position 15: 0.009899348654516733
Position 7430: 0.009875174876570445
Position 8746: 0.008760563612716168
Position 6381: 0.007214093561835083
Position 480: 0.007034859451797763
Position 36: 0.007028971237405889
Position 5069: 0.006222638060274201
Position 1694: 0.005539013198921689
Position 8676: 0.005481298290732368
Position 3237: 0.0052725511660456515
Position 606: 0.004137087397504653
Position 2781: 0.004085711367440558
Position 953: 0.0037836352064242766
Position 796: 0.003748439403220914
Position 6103: 0.003653303104437276
Position 5759: 0.003535628908004383
Position 8553: 0.0034611499519251435
Position 1494: 0.0030987199080615246
Position 542: 0.0030498901922595576
Position 5635: 0.003007117341535803
Position 770: 0.0027587431472937732
Position 57: 0.002437230634319111
Position 4596: 0.002398447852712007
Position 4945: 0.0023211446625497046
Position 30: 0.0022271047227262184
Position 6373: 0.0022217695687524876
Position 601: 0.0022202401806443533
Position 41: 0.0021723224225687226
Position 395: 0.0018131687006979439
Position 8524: 0.001719784208433041
Position 8372: 0.001638550869448591
Position 4240: 0.0015846190450137915
Position 209: 0.0015845669981642912
Position 657: 0.0015262325278920352
Position 9421: 0.0015239793848244414
Position 5860: 0.0013477228801312593
Position 750: 0.001245614312806136
Position 6199: 0.0010487458261054174
Position 9395: 0.00103557383685063
Position 5725: 0.0008702335075231442
Position 5710: 0.0007147414660817387
Position 9362: 0.0005877376548573847
Position 9059: 0.0004761066787018626
Position 5722: 0.00046403232374699174
Position 9169: 0.0004620876286934096
Position 5969: 0.0003921894302663138
Position 5612: 0.00033521351817786667
Position 5943: 0.00026774422366381885
Position 9649: 0.0002306207162515462
Position 9886: 0.00021604322686982695
Position 7420: 0.0002055569470291423
Position 2524: 0.00020171886358521854
Position 9005: 0.00019379268043111998
Position 6116: 0.0001726086668783734
Position 5858: 0.00015210065313646222
Position 645: 0.00014482995963360058
Position 8480: 0.0001432704957992007
Position 5575: 0.00012641581518098752
Position 7911: 0.00012103183393091
Position 9471: 0.0001009167643233311
Position 6098: 9.957466727894494e-05
Position 8340: 8.992072809348495e-05
Position 7529: 8.405128766744073e-05
Position 8183: 4.4051709234633515e-05
Position 47: 4.270202926723808e-05
Position 161: 4.226687812890124e-05
Position 8172: 3.783356114918811e-05
Position 984: 3.346238247005513e-05
Position 599: 2.6557831206544654e-05
Position 8255: 2.074949738172419e-05
Position 10093: 1.9770608782223738e-05
Position 923: 1.826064836232603e-05
Position 9038: 1.615005651435137e-05
Position 156: 1.569547705441831e-05
Position 9017: 1.2996089903064303e-05
Position 841: 9.44827224609312e-06
Position 727: 8.071526319032092e-06
Position 6041: 6.503298832344139e-06
Position 9014: 6.2203371073077275e-06
Position 1511: 5.4508822395906575e-06
Position 577: 4.358262724947475e-06
Position 409: 3.4416937847280086e-06
Position 5403: 3.27544960937244e-06
Position 5673: 3.170104121121322e-06
Position 5528: 3.1598624406372328e-06
Position 6020: 2.7880405499317683e-06
Position 8600: 1.5754287533451132e-06
Position 8538: 1.262404751631253e-06
Position 8898: 8.900115337094793e-07
Position 71: 4.4459925312307345e-07
Position 1793: 3.466844750588993e-07
Position 200: 8.359882436501227e-08
Position 219: 5.2760722095033354e-08
Position 8131: 4.219899584890851e-08
Position 289: 2.363885864988561e-08
Position 8360: 1.4652572601192277e-08
Position 8478: 9.69174392169449e-09
Position 8145: 6.176439006825216e-09
Position 331: 2.8804725301550488e-09
Position 355: 2.7508094123859032e-09
Position 8206: 1.8443042585950167e-09
Position 397: 1.754144171391064e-09
