Gene = Tsp68C
index = 1573
Annotated 5SS: [262]
Annotated 3SS: [358]
SMsplice 5SS: [262]
SMsplice 3SS: [358]
top_k =  500
Partition function (log Z): -6.125306282415717

Sorted 5' Splice Sites (High to Low Probability):
Position 262: 0.980771250465243
Position 692: 0.040348710599517196
Position 377: 0.01569655080444151
Position 121: 0.006962259966874447
Position 539: 0.005856096462572754
Position 1163: 0.0038618538157813376
Position 199: 0.0023722887571007894
Position 310: 0.0021490721168060585
Position 764: 0.002052777829770661
Position 279: 0.0015586593273976524
Position 1464: 0.0014631401813958143
Position 285: 0.0014079514737007836
Position 245: 0.001234458455637084
Position 769: 0.001087278297498259
Position 1503: 0.0009625713680437236
Position 83: 0.0009553430027846322
Position 700: 0.0008509602063634726
Position 543: 0.00048578061004256947
Position 1021: 0.0004638176354456908
Position 288: 0.00045986269889137165
Position 71: 0.00042296114826133454
Position 1281: 0.000410211544112243
Position 1533: 0.00039797681716114656
Position 498: 0.00039457323433561813
Position 161: 0.0003756689107533457
Position 266: 0.0003345560902932636
Position 1009: 0.00023758365621463561
Position 172: 0.0002077472227559076
Position 387: 0.0001682124265569239
Position 1542: 0.0001581386078456902
Position 1521: 0.00010527813640597636
Position 1423: 7.400370531535597e-05
Position 380: 7.125194842592933e-05
Position 626: 6.687126893756765e-05
Position 854: 6.202051728505506e-05
Position 315: 4.830928390553525e-05
Position 146: 4.6516161853897384e-05
Position 1518: 3.457689840900775e-05
Position 864: 3.42333019250669e-05
Position 817: 3.258084166727943e-05
Position 1507: 3.152925913517242e-05
Position 25: 3.1396180420454403e-05
Position 156: 2.869736142111734e-05
Position 777: 2.3855130000599242e-05
Position 38: 2.3823143508779305e-05
Position 1479: 2.1126715041312585e-05
Position 605: 1.8040855314683066e-05
Position 52: 1.7439549691344326e-05
Position 780: 1.679047996435876e-05
Position 1274: 1.517380255040445e-05
Position 719: 1.3797764535306817e-05
Position 599: 8.745201273152613e-06
Position 255: 8.01160112887676e-06
Position 936: 7.42208184309578e-06
Position 363: 5.603885742268459e-06
Position 1300: 4.634956168199231e-06
Position 1385: 4.62321283414846e-06
Position 127: 7.034068722867395e-07
Position 318: 2.697959514285938e-07
Position 215: 2.1796240135805666e-07
Position 232: 1.9870252240508876e-07
Position 792: 1.9410630882613258e-07
Position 602: 1.8202429234270396e-07
Position 631: 1.0138173855289134e-07
Position 518: 7.015283775140519e-08
Position 649: 2.471640830944435e-08
Position 536: 3.049392335839646e-09
Position 736: 1.9644742256486354e-09
Position 555: 6.717993887298908e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 358: 0.906590909587529
Position 429: 0.09706583896199995
Position 763: 0.05028290375964451
Position 1236: 0.003782816152570406
Position 1597: 0.003495832205765995
Position 829: 0.0032841515323544105
Position 706: 0.0016387133648785577
Position 172: 0.0015277905958201031
Position 940: 0.0007195718706690767
Position 1341: 0.0006580506774289967
Position 306: 0.0006039998384429694
Position 880: 0.000602574225189174
Position 1560: 0.0005680889076058385
Position 1269: 0.0005106044631096109
Position 672: 0.0004991907822784115
Position 491: 0.00047956941980776136
Position 386: 0.00043083681072312327
Position 677: 0.00035426198594961435
Position 1125: 0.0002241685827632879
Position 180: 0.00019156571018429816
Position 1640: 0.000179656975396735
Position 1144: 0.00017593025940579413
Position 380: 0.0001423652048995476
Position 472: 0.00011794143678103444
Position 315: 0.00011436159651723694
Position 916: 0.00010026339928192904
Position 1241: 9.224805698411681e-05
Position 447: 8.241111642821629e-05
Position 318: 7.881814012055093e-05
Position 966: 6.282748840948309e-05
Position 1021: 5.025660881507606e-05
Position 1266: 4.829791053870877e-05
Position 310: 4.769953769060558e-05
Position 1521: 4.2186853429511514e-05
Position 1651: 3.2723593450806974e-05
Position 730: 2.6188539856303162e-05
Position 733: 1.828663545886851e-05
Position 1347: 1.4840412902293757e-05
Position 1542: 9.551082651918977e-06
Position 555: 8.54470937626184e-06
Position 92: 5.893957285891518e-06
Position 83: 3.4675018481371856e-06
Position 293: 4.1226265934344626e-07
Position 279: 1.6213028102854304e-08
Position 266: 2.6659630186810423e-09
Position 76: 2.0773807362545023e-09
Position 285: 1.2420275435837632e-09
