Gene = Sfp78E
index = 1495
Annotated 5SS: [378]
Annotated 3SS: [439]
SMsplice 5SS: [362]
SMsplice 3SS: [439]
top_k =  500
Partition function (log Z): -6.456326381474413

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.6309966670003352
Position 24: 0.3359829201187672
Position 266: 0.26705625596763966
Position 378: 0.17269112987988844
Position 272: 0.09117985968047834
Position 711: 0.023373574566011288
Position 604: 0.01723086644607057
Position 763: 0.015909140869681773
Position 41: 0.013520325839321641
Position 192: 0.013092351327201924
Position 496: 0.00774685268417484
Position 376: 0.0061332843531972875
Position 227: 0.00607734537870073
Position 683: 0.005526888142450579
Position 263: 0.002937879342262022
Position 491: 0.00205748296598012
Position 699: 0.001555493470612953
Position 779: 0.001303601377220476
Position 57: 0.0006364194672647282
Position 86: 0.00040142203830364863
Position 55: 0.0003643028975409972
Position 460: 0.0001555899011458869
Position 31: 0.00012777087103709348
Position 664: 8.630584192603191e-05
Position 165: 5.106795639592218e-05
Position 88: 4.380717047491735e-05
Position 399: 2.535130980676918e-05
Position 151: 2.2658264609300036e-05
Position 855: 2.1795978751324986e-05
Position 505: 2.0847285593822685e-05
Position 872: 1.9345021793440972e-05
Position 77: 1.1146183538923564e-05
Position 443: 5.799566895278795e-06
Position 477: 5.600140133238992e-06
Position 301: 4.107142259023019e-06
Position 96: 4.104449419495138e-06
Position 230: 2.5826248053666913e-06
Position 101: 2.361363658286904e-06
Position 289: 2.289779314557335e-06
Position 280: 1.6409014782986137e-06
Position 465: 7.770170348904059e-07
Position 549: 3.9109135221989084e-07
Position 402: 4.238164862488072e-08
Position 578: 5.554358812877224e-09
Position 576: 4.530928740387107e-10
Position 720: 4.116244707826795e-10
Position 418: 3.064722950866038e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 439: 0.8840105943530444
Position 316: 0.2641752704673234
Position 83: 0.14640899329946036
Position 77: 0.09285120505296347
Position 320: 0.06795663529290791
Position 843: 0.05453532717028535
Position 125: 0.04997607237687064
Position 146: 0.011785274814644047
Position 660: 0.011396749268940614
Position 230: 0.008247716842199328
Position 165: 0.006971290610551729
Position 762: 0.005273960122634429
Position 601: 0.004072058124499151
Position 528: 0.0032657677070529354
Position 883: 0.0009889153538965281
Position 901: 0.0006619021723355764
Position 495: 0.0005815096196177813
Position 923: 0.0005355913486106086
Position 171: 0.000464934641766124
Position 698: 0.00043848936914920683
Position 143: 0.00032824167107450196
Position 570: 0.0002736412665863827
Position 872: 0.00026820273148224705
Position 860: 0.0002357400260105843
Position 664: 0.0001871153530172196
Position 612: 0.00012595580136542955
Position 675: 0.00010791838887824038
Position 326: 8.703449130358078e-05
Position 187: 6.65822946035762e-05
Position 939: 5.837815725182405e-05
Position 270: 1.7943849669172705e-05
Position 356: 1.2619017492923945e-05
Position 289: 6.998588474525492e-06
Position 504: 5.2569059261816506e-06
Position 173: 4.349091966004145e-06
Position 191: 3.69487310171384e-06
Position 477: 1.1239288182437628e-06
Position 367: 3.983272877216532e-07
Position 197: 8.662057925619095e-12
