Gene = cyc
index = 1661
Annotated 5SS: [ 184  518 1132 1632]
Annotated 3SS: [ 442  676 1201 1687]
SMsplice 5SS: [ 184  518 1132 1632]
SMsplice 3SS: [ 442  676 1201 1687]
top_k =  500
Partition function (log Z): 2.975928265060163

Sorted 5' Splice Sites (High to Low Probability):
Position 1132: 0.9565680586147741
Position 1632: 0.9185909281447868
Position 184: 0.8548018662252513
Position 518: 0.7327255418117622
Position 945: 0.19201346884405326
Position 242: 0.07875441802785432
Position 599: 0.06309104452703322
Position 1636: 0.04165444429896607
Position 388: 0.035484567137573614
Position 607: 0.02575308954793478
Position 1162: 0.015692341824478963
Position 1152: 0.005162858963491768
Position 938: 0.004745144877819414
Position 1815: 0.004439234632408291
Position 320: 0.0034523264339396957
Position 89: 0.0027114976776132626
Position 328: 0.001986105490954029
Position 1071: 0.0017826373840053294
Position 971: 0.001684146054717029
Position 366: 0.001619397688721445
Position 1803: 0.001491182699558152
Position 1150: 0.0011381285510234421
Position 250: 0.0010517506082835272
Position 246: 0.0009689072004714172
Position 488: 0.0008530471397561104
Position 1794: 0.0007848875367906432
Position 322: 0.0007501584883728631
Position 332: 0.0006080988630101028
Position 202: 0.00046661128364788206
Position 949: 0.0004626857142177082
Position 356: 0.0003375277272460857
Position 1389: 0.0002768340293986452
Position 923: 0.0002723788717899939
Position 59: 0.0002457598168844405
Position 942: 0.00024464191051958245
Position 1037: 0.00024416536183433183
Position 170: 0.00015103418594652215
Position 50: 0.00014328778039009117
Position 334: 0.00013831938758867405
Position 1827: 0.00011299351962793222
Position 1611: 0.00011280177092481821
Position 1938: 8.14971545223716e-05
Position 93: 6.888227316902017e-05
Position 1323: 6.606389122505508e-05
Position 725: 5.557930873888792e-05
Position 188: 4.1905704693757536e-05
Position 2115: 4.15568933342292e-05
Position 1841: 3.8235537356151724e-05
Position 1961: 3.385215316053279e-05
Position 1940: 3.0428365257248723e-05
Position 112: 2.997174272954503e-05
Position 887: 2.8507024330682986e-05
Position 405: 2.4399455406652064e-05
Position 1365: 2.4065985801296202e-05
Position 758: 2.238409925655868e-05
Position 1136: 2.108050423540091e-05
Position 248: 1.9911364004055796e-05
Position 178: 1.5676214765032503e-05
Position 311: 1.4453252959911497e-05
Position 1396: 1.1876196404578803e-05
Position 2058: 1.1435992584217978e-05
Position 1522: 7.635670949008865e-06
Position 326: 6.805891545154446e-06
Position 1877: 6.4127038173021496e-06
Position 30: 6.178753689800151e-06
Position 952: 5.576543806610035e-06
Position 1332: 4.322258867578548e-06
Position 73: 3.1312215445937074e-06
Position 83: 2.8867518264636565e-06
Position 994: 2.157995301200227e-06
Position 1100: 2.1437345851312205e-06
Position 118: 1.0386050612911101e-06
Position 2043: 1.0099550742473763e-06
Position 254: 7.384877090024649e-07
Position 150: 4.621960701586292e-07
Position 706: 6.72744277723321e-08
Position 654: 4.668640405458846e-08
Position 810: 3.541769388467518e-08
Position 427: 2.8176840838482616e-08
Position 1537: 2.434434231548791e-08
Position 1617: 2.2113246432753037e-08
Position 1576: 6.685259195810533e-09
Position 795: 6.452220176540872e-09
Position 1505: 1.416823619740226e-09
Position 1781: 7.404218630471688e-10
Position 996: 3.592031327555696e-10
Position 1102: 3.435017918192236e-10
Position 408: 5.098707850374811e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 676: 0.9448279834638068
Position 442: 0.8259748068098905
Position 1687: 0.7763096685923127
Position 1201: 0.7179400490755121
Position 1233: 0.25860867303816903
Position 1718: 0.17497367401660743
Position 1006: 0.11785509537215261
Position 994: 0.07268845566026313
Position 688: 0.014953767721776196
Position 2025: 0.010815129732834237
Position 620: 0.00854849375153556
Position 1218: 0.005987260690814725
Position 1537: 0.0034627454995053517
Position 259: 0.0034046343198161837
Position 574: 0.002473489888050036
Position 2163: 0.0019168478759797854
Position 239: 0.0017848760839824275
Position 144: 0.0012074711032516888
Position 1031: 0.001105860176049402
Position 1721: 0.0009686890898352061
Position 1871: 0.0009338034133883953
Position 1287: 0.000800373958426724
Position 1058: 0.0007983146818077608
Position 1404: 0.0006952270206387771
Position 773: 0.0005604173391761183
Position 1950: 0.0005533609026100893
Position 1847: 0.0004715910301584124
Position 319: 0.00046499713095088553
Position 1440: 0.00033215432816273855
Position 1340: 0.00029371653324496025
Position 107: 0.0002321034729505969
