Gene = dsx-c73A
index = 1679
Annotated 5SS: [ 1812 25192 25382 27791]
Annotated 3SS: [25042 25302 27639 27858]
SMsplice 5SS: [  450  1812 25192 25382 27791]
SMsplice 3SS: [ 1580 25042 25256 27639 27858]
top_k =  500
Partition function (log Z): 0.5745368973991902

Sorted 5' Splice Sites (High to Low Probability):
Position 27791: 0.9998462529684965
Position 1812: 0.9966022402745387
Position 25192: 0.8356678436545281
Position 25382: 0.8272852585685948
Position 450: 0.5090518342422536
Position 18024: 0.445769718873226
Position 147: 0.1506528972985248
Position 28026: 0.14640366112360206
Position 228: 0.1326416851270116
Position 25813: 0.13073820903907163
Position 1308: 0.09669272115873782
Position 13055: 0.04308838515014892
Position 13499: 0.028960856201825723
Position 25722: 0.02611654802516647
Position 13297: 0.02512192847294016
Position 26017: 0.01877786849380083
Position 17932: 0.01532946383003888
Position 18043: 0.014656806238209884
Position 28702: 0.013846374588476875
Position 206: 0.011974649824087556
Position 114: 0.011578204625243916
Position 108: 0.011028889941582633
Position 27980: 0.010907162195817383
Position 523: 0.010705975841008682
Position 577: 0.010402652484081409
Position 28718: 0.009099247672922384
Position 26400: 0.009022481262491134
Position 110: 0.008019983247289803
Position 1291: 0.006689842922853877
Position 5742: 0.006127186150062325
Position 27926: 0.0059734068216532035
Position 28147: 0.004251020138908795
Position 28740: 0.0038755634713354774
Position 28730: 0.0037877861764648857
Position 27948: 0.002785029123037709
Position 28014: 0.002403466552517976
Position 399: 0.0022925653296183173
Position 28180: 0.0019784247598516875
Position 6448: 0.0019506617262526945
Position 996: 0.0015227989434422695
Position 28735: 0.0014988722543380273
Position 736: 0.001267378203970883
Position 118: 0.0012499883160252683
Position 348: 0.001233360045052508
Position 6753: 0.0012036097777756928
Position 126: 0.0009815139920799508
Position 6010: 0.0009424016373930166
Position 21: 0.0009144356926028124
Position 1480: 0.0008875640087914509
Position 395: 0.0008818829929478978
Position 28707: 0.000827530622500713
Position 28144: 0.0007747261635925595
Position 28182: 0.0006173616583060798
Position 1458: 0.0005798021756289276
Position 454: 0.0005322503479006199
Position 28723: 0.0005091731296492146
Position 2121: 0.00043918612353679185
Position 739: 0.0004186053224361325
Position 13397: 0.00038602912512562836
Position 5544: 0.0003805110352061062
Position 973: 0.0003619030526737976
Position 5103: 0.0003171260330492293
Position 141: 0.00028591058842272244
Position 1063: 0.00028404237351315826
Position 1195: 0.000281750402452165
Position 2692: 0.0002635250002493754
Position 7946: 0.00025944862585739397
Position 561: 0.0002541950808624457
Position 28151: 0.00021771537069198966
Position 353: 0.0001869464138397472
Position 173: 0.00018008648850253165
Position 11: 0.00015232251343824638
Position 27795: 0.00015124016862366583
Position 1477: 0.00015064500621806857
Position 286: 0.00014750296439796975
Position 28066: 0.00014515142538630514
Position 28157: 0.00012940163309224786
Position 6001: 0.00012149356491359164
Position 28713: 8.749622878829138e-05
Position 6454: 6.204686664430121e-05
Position 28526: 5.440811124585969e-05
Position 5167: 3.71150253765985e-05
Position 6425: 2.8214572974100713e-05
Position 4552: 2.3528782310547393e-05
Position 6433: 2.059422891580655e-05
Position 4107: 1.9542274143193003e-05
Position 3860: 1.4122909392915946e-05
Position 4411: 1.291497579712848e-05
Position 4388: 8.715752190708376e-06
Position 219: 6.196336299291427e-06
Position 1957: 5.888945963937687e-06
Position 5595: 5.03547353590786e-06
Position 2492: 3.3676597504905293e-06
Position 2366: 3.342216818534208e-06
Position 2341: 2.3958285662533557e-06
Position 4432: 1.8308983655652041e-06
Position 1704: 2.183295067201964e-07
Position 28030: 1.6858764147316231e-07
Position 112: 6.328757552117732e-08
Position 589: 6.248557832064846e-08
Position 124: 5.3161206495470554e-08
Position 151: 4.825698868726215e-08
Position 28: 4.822027376108819e-08
Position 1895: 4.359317561799499e-08
Position 599: 3.117253848640338e-08
Position 70: 8.575196979088038e-09
Position 55: 7.732552667603834e-09
Position 57: 2.8304830095975873e-09
Position 39: 2.540943998378707e-09
Position 358: 1.907834948806007e-09
Position 436: 6.824508803149441e-10
Position 742: 2.8651494065747387e-11
Position 438: 2.5363315756163468e-11
Position 339: 2.325313824423482e-11
Position 336: 1.636040439258068e-11
Position 376: 1.059886063336234e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 27858: 0.9997567233795372
Position 27639: 0.998496317470333
Position 24677: 0.8532474993833649
Position 1580: 0.5892933157832545
Position 25256: 0.572916546186157
Position 17822: 0.4757559889414747
Position 25302: 0.24216253823578326
Position 28243: 0.1357040473737161
Position 1599: 0.12728386235730577
Position 25432: 0.07104118640463011
Position 1602: 0.06864531342914638
Position 25444: 0.06445209497606565
Position 1635: 0.06171396403333534
Position 13109: 0.0544688138000722
Position 12896: 0.04308838515014892
Position 28781: 0.03918530109167332
Position 1605: 0.03388614522811049
Position 25908: 0.029108798842723837
Position 286: 0.02299095668992497
Position 25541: 0.016136231645571767
Position 518: 0.015868750109409167
Position 597: 0.012329577039687527
