Gene = Mnn1
index = 1281
Annotated 5SS: [ 856 1374 2025 2898]
Annotated 3SS: [ 922 1562 2091 4664]
SMsplice 5SS: [ 856 1374 2025 2898 4419 4608]
SMsplice 3SS: [1046 1562 2091 4261 4497 4664]
top_k =  500
Partition function (log Z): 2.006903785568154

Sorted 5' Splice Sites (High to Low Probability):
Position 2898: 0.9931698251081127
Position 2025: 0.9929487021629033
Position 856: 0.9668477810320872
Position 1374: 0.8814140387927962
Position 4419: 0.669527612696424
Position 4608: 0.5159565046738425
Position 2543: 0.3176048260369773
Position 5217: 0.3141481165706675
Position 4452: 0.17616000153048486
Position 5417: 0.14326865340171063
Position 236: 0.13496628608114053
Position 5464: 0.0911999535662691
Position 5480: 0.08009672555966195
Position 1350: 0.07288678189834027
Position 3448: 0.0473541114058545
Position 2683: 0.04160608019333508
Position 644: 0.035644614788012494
Position 4963: 0.02008325651699772
Position 2373: 0.016623922161107346
Position 4410: 0.014394730338073416
Position 2604: 0.010822743777903
Position 2311: 0.009148529519320018
Position 2547: 0.004349500973437531
Position 1491: 0.0043250710453215015
Position 1715: 0.004208883010370538
Position 1378: 0.003909980617449462
Position 1703: 0.003746561907456951
Position 4110: 0.0034722156186756726
Position 2584: 0.0030316519795581752
Position 3739: 0.002642770300176478
Position 2187: 0.0023656990204511657
Position 4762: 0.0023561407445976054
Position 2467: 0.00233535507297406
Position 825: 0.0022512397662885686
Position 4423: 0.0022050104716495223
Position 1724: 0.0019377619616809496
Position 2563: 0.0019328416526388167
Position 5483: 0.0018658687817535572
Position 2569: 0.001860933677323779
Position 4612: 0.0014292754684691288
Position 2342: 0.0012810931935381441
Position 2173: 0.0012542731568541744
Position 3270: 0.0011319223749153534
Position 2321: 0.0010858422459497227
Position 5410: 0.0010164403886105775
Position 91: 0.0009169422104378788
Position 1005: 0.0008832503260540207
Position 1512: 0.0007410852427509797
Position 3792: 0.0007349464819246221
Position 43: 0.0007121518839017703
Position 2381: 0.0006200463094628854
Position 3927: 0.0005839194573713224
Position 319: 0.0004329961993663418
Position 2460: 0.0004067622388239587
