Gene = Adi1
index = 14
Annotated 5SS: [193 352 542 793]
Annotated 3SS: [273 413 698 851]
SMsplice 5SS: [193 352 542 793]
SMsplice 3SS: [273 413 698 851]
top_k =  500
Partition function (log Z): 6.984851447838669

Sorted 5' Splice Sites (High to Low Probability):
Position 793: 0.9996500069333253
Position 542: 0.9934728540800688
Position 197: 0.8657864310958919
Position 393: 0.11412494188093143
Position 162: 0.005008603450480655
Position 363: 0.0037166766989159376
Position 178: 0.0020255439890935973
Position 329: 0.0016922922991309307
Position 231: 0.0013160385616331448
Position 956: 0.0011986207773571097
Position 523: 0.0010791239271881335
Position 79: 0.0004724892456924414
Position 941: 0.0003705133966666474
Position 16: 0.00022888323362570774
Position 574: 0.00019944017271259892
Position 84: 0.00019904087000213917
Position 546: 0.00012157746816174215
Position 797: 0.00011107977944175736
Position 969: 6.857221672251963e-05
Position 534: 6.715586905744886e-05
Position 633: 3.7527065244785115e-05
Position 604: 2.834991537468934e-05
Position 288: 2.6949352399987252e-05
Position 73: 2.019229094463044e-05
Position 551: 1.5346150751909967e-05
Position 431: 7.549348435115956e-06
Position 727: 6.374335650656894e-06
Position 455: 6.023967938734732e-06
Position 43: 3.5198588308583094e-06
Position 36: 3.032137841437635e-06
Position 29: 2.2743937908740426e-06
Position 63: 4.259376443604358e-07
Position 53: 4.2363181965780433e-07
Position 666: 5.199645481674099e-08
Position 931: 4.543799688318585e-08
Position 714: 2.7397181232521494e-08
Position 879: 3.5456760432746338e-09
Position 910: 3.0898675060317343e-09
Position 730: 2.7223580373884e-09
Position 891: 1.3028920960728464e-09
Position 835: 4.718607468200071e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 851: 0.9867398750212825
Position 698: 0.937674333175367
Position 273: 0.8103107507555278
Position 441: 0.1044295753209119
Position 413: 0.06887664100528432
Position 604: 0.05889315586613738
Position 862: 0.013136949406861472
Position 455: 0.006045423047194813
Position 1019: 0.001640442434265396
Position 462: 0.0012886391710125538
Position 726: 0.001239473442550454
Position 610: 0.00047567178343919746
Position 63: 0.00017267150367672302
Position 705: 4.55764602006529e-05
Position 78: 4.40138861158133e-05
Position 294: 1.1303498964190703e-05
Position 431: 9.482088278015647e-06
Position 757: 9.223724691919775e-06
Position 735: 8.83439687512315e-06
Position 574: 7.997421439374458e-06
Position 231: 4.599043079898177e-06
Position 111: 1.0612785211946126e-06
Position 983: 1.0188621501374868e-06
Position 515: 3.0328948088610026e-07
Position 320: 2.7067267146728667e-07
Position 739: 2.2706905498780875e-07
Position 99: 1.7874563497711386e-07
Position 582: 7.859724311617854e-08
Position 950: 6.73280558410301e-08
Position 356: 5.851086856607802e-08
Position 351: 2.585026179069395e-08
Position 494: 2.4332065711914854e-08
Position 171: 1.4620523680403755e-08
Position 168: 1.401869420567004e-08
Position 288: 1.3798236660585628e-08
Position 956: 5.920335637795359e-09
Position 192: 4.9332391241735936e-09
Position 296: 3.877310901643101e-09
Position 542: 2.645712580460262e-09
Position 204: 1.2977944886521653e-09
Position 247: 8.099219157654952e-10
Position 546: 6.262767323611135e-10
Position 120: 3.326090566892077e-10
Position 197: 2.5592500243331947e-12
