Gene = Csl4
index = 1110
Annotated 5SS: [256]
Annotated 3SS: [309]
SMsplice 5SS: [256]
SMsplice 3SS: [309]
top_k =  500
Partition function (log Z): -3.089040234603101

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9906851127783672
Position 767: 0.01889638861054654
Position 248: 0.007308484219435249
Position 23: 0.005447511722657319
Position 823: 0.002540926476597606
Position 260: 0.0017866712234231533
Position 319: 0.00026300112924060407
Position 778: 0.0002546168753219001
Position 316: 0.0002523976598461811
Position 730: 0.00019122583912014238
Position 888: 0.00018715367571513021
Position 927: 0.0001851753370502871
Position 721: 0.00016127772577800487
Position 414: 0.00010820609904916176
Position 219: 7.999304566153112e-05
Position 556: 7.719505018446801e-05
Position 757: 5.805010543328344e-05
Position 743: 4.3634372953909606e-05
Position 919: 4.069146085616883e-05
Position 430: 3.2842504900906574e-05
Position 59: 2.6916663785333493e-05
Position 894: 2.5572346890361913e-05
Position 37: 2.5193580611605216e-05
Position 229: 1.4108997209798865e-05
Position 667: 1.1016672557904264e-05
Position 827: 7.72010234074162e-06
Position 508: 6.3759933407750525e-06
Position 661: 6.200810937667892e-06
Position 687: 4.833240032512621e-06
Position 25: 4.692598211914971e-06
Position 522: 4.6892351114484785e-06
Position 817: 2.348130695587241e-06
Position 6: 2.320104998038975e-06
Position 652: 2.209833452123084e-06
Position 632: 2.1052074604139862e-06
Position 941: 1.6948946985679027e-06
Position 803: 1.5201744869833136e-06
Position 27: 1.4256461592839955e-06
Position 439: 3.6448218149816466e-07
Position 121: 4.4976616861565594e-08
Position 101: 2.1248719623621142e-08
Position 169: 2.016535385027469e-08
Position 385: 1.8307533237760597e-08
Position 484: 1.1341940246759076e-08
Position 576: 9.148377729400398e-09
Position 370: 4.533457020129806e-09
Position 276: 2.4920299677910475e-09
Position 124: 1.8573873193419997e-09
Position 323: 1.5611799735513962e-09
Position 391: 8.715326034806886e-10
Position 82: 6.549158076203299e-10
Position 616: 2.867919760836151e-11
Position 309: 7.33118661101174e-12
Position 325: 7.706187917488411e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.9611161882254214
Position 315: 0.0302210085539591
Position 823: 0.015912933811484377
Position 358: 0.008369277246758318
Position 111: 0.004450305788789934
Position 865: 0.00278666644512217
Position 981: 0.0014484355619306544
Position 108: 0.000940931207813618
Position 837: 0.0008168367926031659
Position 914: 0.0007444767378958732
Position 887: 0.0006610097112366247
Position 990: 0.0003332806299996735
Position 414: 0.00015980185025203224
Position 941: 0.00013429503180294302
Position 477: 0.00012035892035036522
Position 827: 9.628669717097107e-05
Position 379: 8.173770044271175e-05
Position 455: 6.257530626157849e-05
Position 576: 5.69747075235007e-05
Position 632: 4.361136435840949e-05
Position 789: 3.9664565045604e-05
Position 152: 3.326326889327157e-05
Position 323: 2.3351483310692283e-05
Position 645: 1.8224285749195868e-05
Position 867: 1.5723185358283293e-05
Position 333: 1.5168582206222561e-05
Position 124: 6.594338092116416e-06
Position 101: 5.740080682624134e-06
Position 367: 5.4399379061747915e-06
Position 452: 4.761165695308847e-06
Position 786: 4.674465546749751e-06
Position 898: 4.615100688766262e-06
Position 385: 3.6391486162948867e-06
Position 522: 2.45099618835117e-06
Position 573: 1.7637256598006462e-06
Position 502: 1.646580683835985e-06
Position 164: 1.4849633166003286e-06
Position 117: 1.4016482614760134e-06
Position 930: 1.12551363096444e-06
Position 59: 1.0471104594739952e-06
Position 383: 1.0202460804560572e-06
Position 766: 7.809452262714969e-07
Position 181: 6.399011507294411e-07
Position 241: 2.761026876356602e-07
Position 219: 2.547947533272429e-07
Position 195: 1.6488026641991925e-07
Position 159: 3.6058145532419554e-08
Position 169: 3.232814241211689e-08
Position 480: 2.4064572500380128e-08
Position 192: 3.2987745318154664e-11
Position 141: 2.7413042891185842e-11
Position 256: 4.510316242919034e-12
Position 260: 2.1101833386414352e-14
