Gene = Sfp26Ad
index = 1490
Annotated 5SS: [102]
Annotated 3SS: [171]
SMsplice 5SS: [102]
SMsplice 3SS: [171]
top_k =  500
Partition function (log Z): -4.927431586835112

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.9070436816025953
Position 106: 0.04704040068865145
Position 67: 0.02870875263894813
Position 351: 0.008531489287193694
Position 64: 0.00840078397720199
Position 99: 0.008248660446278975
Position 297: 0.0025087273663453613
Position 441: 0.0008329829755093587
Position 306: 0.0003903250409057214
Position 423: 0.00027452450453818733
Position 409: 0.00016237861509277727
Position 36: 0.0001433867911051173
Position 147: 0.00013133138287812565
Position 26: 9.840401865545728e-05
Position 487: 8.697003773539496e-05
Position 585: 7.274147549324997e-05
Position 301: 6.436232939774921e-05
Position 427: 5.026950012804363e-05
Position 283: 3.3713288197402284e-05
Position 406: 3.217892338539581e-05
Position 490: 2.9812222126440703e-05
Position 335: 2.8846689429902214e-05
Position 6: 1.942589254330005e-05
Position 361: 1.582436540436465e-05
Position 617: 1.5410042010240132e-05
Position 126: 1.221801585150406e-05
Position 494: 8.32267953831323e-06
Position 28: 6.996640609953298e-06
Position 492: 3.588963472843131e-07
Position 621: 3.1897242920234926e-07
Position 614: 1.1057871403651994e-07
Position 210: 3.702228543083665e-10
Position 189: 3.7371581530455295e-12
Position 207: 1.7760266499807349e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 171: 0.9964873074051188
Position 490: 0.005459895623561363
Position 151: 0.001994388722220599
Position 423: 0.0016247124026997856
Position 626: 0.001289074480285051
Position 438: 0.0012776623841810324
Position 215: 0.0010817920130155546
Position 621: 0.0007779626249170333
Position 380: 0.0007685835974154524
Position 414: 0.0005967744016506463
Position 351: 0.00048503825217633887
Position 669: 0.00044258453083939673
Position 503: 0.00017896228257047628
Position 453: 0.0001242781159870972
Position 651: 0.00011886737318320084
Position 189: 9.871191552803663e-05
Position 464: 4.0479551501431006e-05
Position 554: 2.8135412394619922e-05
Position 221: 2.7437094880970297e-05
Position 218: 2.406854531456223e-05
Position 355: 2.137315574655421e-05
Position 537: 1.876968285256405e-05
Position 512: 9.417101023979807e-06
Position 323: 5.464751212637415e-06
Position 281: 5.254511137343939e-06
Position 562: 5.0524386835897585e-06
Position 116: 9.425816731156664e-07
Position 514: 4.0964930720544995e-07
Position 335: 3.062004812698947e-07
Position 274: 1.8021250371806886e-09
Position 106: 9.837409944210041e-10
Position 230: 6.665157999688961e-10
Position 57: 3.8626218176588e-12
Position 49: 3.1057003089598105e-12
Position 64: 5.4256351113372484e-14
Position 71: 1.2502235842967506e-14
Position 283: 9.12012615541786e-18
