Gene = eIF3e
index = 1684
Annotated 5SS: [198 685]
Annotated 3SS: [291 770]
SMsplice 5SS: [198 685]
SMsplice 3SS: [291 770]
top_k =  500
Partition function (log Z): -3.1922086244611085

Sorted 5' Splice Sites (High to Low Probability):
Position 685: 0.9906242659085603
Position 198: 0.6633529902333937
Position 506: 0.13287457872138836
Position 68: 0.04144608361629477
Position 929: 0.026962471622657105
Position 218: 0.007574394468562468
Position 91: 0.0036486132589947343
Position 689: 0.0023913832421938283
Position 247: 0.0023231111995721055
Position 1262: 0.001895282670141975
Position 232: 0.0015796235747782402
Position 1001: 0.0015482440430380654
Position 466: 0.0014564231717401057
Position 80: 0.000978959263058737
Position 45: 0.0006820535681459495
Position 939: 0.0005684254216134362
Position 1166: 0.0004727517785193863
Position 1107: 0.0003031048578947214
Position 989: 0.00029093655379038176
Position 568: 0.00022461499425250592
Position 185: 0.0002240376710576055
Position 334: 0.00020673868121077798
Position 240: 0.00014028496375849905
Position 1221: 5.727547585530754e-05
Position 933: 5.49706195567597e-05
Position 1586: 4.290532052264101e-05
Position 1528: 4.079510910540089e-05
Position 648: 3.6764518784319664e-05
Position 603: 3.674035317627121e-05
Position 1162: 3.1713946936129274e-05
Position 433: 2.9007653356156702e-05
Position 29: 2.600395440855614e-05
Position 1059: 2.0669601892058666e-05
Position 66: 1.757675742691244e-05
Position 615: 1.4935317586913678e-05
Position 318: 1.3929468025495353e-05
Position 274: 1.119063151977863e-05
Position 380: 8.896020840969149e-06
Position 983: 7.079548350431103e-06
Position 1266: 6.997198356299536e-06
Position 1130: 6.936025868557887e-06
Position 179: 6.515720446983609e-06
Position 1595: 6.161057928251393e-06
Position 853: 4.466016526181162e-06
Position 276: 2.9920427953020996e-06
Position 415: 1.8329570466283692e-06
Position 143: 2.5768230264025495e-07
Position 664: 1.1604951280501065e-07
Position 1042: 5.603688378550644e-08
Position 1027: 2.939284953209036e-08
Position 14: 2.8510956921372227e-08
Position 285: 2.5995475528150273e-08
Position 633: 2.5679076962958706e-08
Position 535: 1.0223583347179233e-08
Position 1062: 5.038387981646977e-10
Position 669: 4.2055647810683817e-10
Position 788: 8.237358610383881e-11
Position 1025: 2.248238757531834e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9927784219775314
Position 291: 0.7001668976780665
Position 567: 0.11465848122399311
Position 1019: 0.019899976552989616
Position 549: 0.011189226765087667
Position 143: 0.009588874939306187
Position 1062: 0.008160377607589728
Position 154: 0.008110629088176117
Position 552: 0.00566291157145033
Position 1316: 0.00418622707921421
Position 1118: 0.0007914502957203836
Position 797: 0.0007892185796076469
Position 995: 0.0006266945708673461
Position 1094: 0.0005146677721137071
Position 1475: 0.0004924185479806468
Position 330: 0.00046070111865168824
Position 886: 0.00039299581544119367
Position 306: 0.00031977417297120403
Position 396: 0.0003156983743954451
Position 392: 0.00030859475069882226
Position 630: 0.00030314159506018514
Position 594: 0.0002880353424580201
Position 959: 0.00024913268214160107
Position 453: 0.00020263096451475664
Position 1106: 0.00020080643557338093
Position 736: 0.00017960551989623134
Position 303: 0.00017587031462725004
Position 1187: 0.00014799205839361308
Position 1418: 0.00014166896446334958
Position 1478: 0.0001367141893918938
Position 1330: 0.00012909848452585164
Position 1664: 0.00012059119415174389
Position 309: 0.00010958183610740691
Position 378: 7.514152943920812e-05
Position 905: 5.7611438931217986e-05
Position 528: 4.3670552037365785e-05
Position 342: 3.545537164458477e-05
Position 501: 3.0858131065656275e-05
Position 459: 2.9433022119210893e-05
Position 1160: 2.86660735083118e-05
Position 399: 2.3281661081761788e-05
Position 91: 1.890806338836816e-05
Position 582: 1.516879738839979e-05
Position 896: 1.351298481977973e-05
Position 1457: 1.1959884253373294e-05
Position 420: 8.367987982076028e-06
Position 1121: 8.36544393455506e-06
Position 1621: 7.2998804788318015e-06
Position 573: 6.958940962171124e-06
Position 197: 6.866517033980821e-06
Position 1373: 6.085608792294599e-06
Position 450: 5.9585477008344406e-06
Position 99: 3.733549924487173e-06
Position 615: 3.583604202479904e-06
Position 633: 3.0526054844780753e-06
Position 483: 2.608547070183378e-06
Position 1595: 2.605566256921819e-06
Position 179: 2.165443725758854e-06
Position 247: 2.124330676528583e-06
Position 465: 1.2442435277987691e-06
Position 194: 1.176429375574972e-06
Position 603: 6.14658820403234e-07
Position 426: 5.229222064620507e-07
Position 202: 1.278042911216811e-07
Position 842: 2.4819483362681314e-08
Position 318: 1.5749954993928075e-08
Position 214: 6.039649546766285e-10
Position 207: 1.898135168602621e-12
Position 240: 5.35208173306278e-15
