Gene = Capr
index = 1053
Annotated 5SS: [ 694 1835 2057]
Annotated 3SS: [1651 1889 2135]
SMsplice 5SS: [ 694 1835]
SMsplice 3SS: [1651 2135]
top_k =  500
Partition function (log Z): -7.121241076830057

Sorted 5' Splice Sites (High to Low Probability):
Position 694: 0.9809386070246953
Position 1835: 0.9764750113213355
Position 2057: 0.18982785619723316
Position 1191: 0.03143336150317859
Position 2054: 0.022043514325318262
Position 2306: 0.020733431069847305
Position 1480: 0.014663932803373941
Position 2179: 0.013249423086062005
Position 1211: 0.009415704553159095
Position 1577: 0.0068470201689923215
Position 1363: 0.0062922117199245816
Position 445: 0.00524472474718026
Position 1550: 0.004036717357389292
Position 3073: 0.0025867772217267877
Position 1280: 0.002157383892446153
Position 1413: 0.0020679122468614383
Position 2021: 0.0020426979758640077
Position 2310: 0.0019970927943061025
Position 2402: 0.0017886222186005375
Position 1980: 0.001538681872775762
Position 2094: 0.0013490029134169115
Position 1136: 0.001303859179593582
Position 2857: 0.001178473751415193
Position 4302: 0.0011224429571670442
Position 2240: 0.000947411818599706
Position 951: 0.0009013236015853428
Position 2247: 0.0006562921918330905
Position 700: 0.0005977350847372133
Position 710: 0.00043142337500511643
Position 985: 0.00042924372416052077
Position 1368: 0.0004124156895589845
Position 2322: 0.0003366650537026866
Position 1461: 0.00025501433122633105
Position 3545: 0.0002325478164701412
Position 944: 0.00018065921477004133
Position 440: 0.00016144690592471294
Position 1334: 0.00015909818810229629
Position 4748: 0.00014649919500868614
Position 1077: 0.00014629734608758742
Position 2949: 0.00013304220224560052
Position 400: 0.00011627642075681007
Position 1764: 0.00010836576328431734
Position 698: 8.556193016715453e-05
Position 1843: 7.473196244246916e-05
Position 652: 7.055608858743294e-05
Position 1273: 6.556942004964995e-05
Position 2623: 5.718418302737711e-05
Position 1616: 5.4752461980852384e-05
Position 1209: 4.068565730804775e-05
Position 97: 3.6317080774815e-05
Position 907: 3.3488317564064877e-05
Position 1307: 2.5993811273966398e-05
Position 2205: 2.5199567529319354e-05
Position 237: 2.1779731587754125e-05
Position 1935: 1.9843037449897834e-05
Position 1224: 1.948228661446184e-05
Position 104: 1.4990359981174395e-05
Position 1019: 1.2835861443467706e-05
Position 1446: 9.006179552890329e-06
Position 600: 8.28085060889493e-06
Position 779: 1.6918593282112762e-06
Position 769: 1.6730218753212232e-06
Position 274: 1.3891272216425263e-06
Position 171: 9.158083635387539e-07
Position 921: 8.978806403657444e-07
Position 1963: 6.053809736555498e-07
Position 234: 4.046009139222169e-07
Position 364: 3.8149863478103875e-07
Position 1953: 3.347897195005976e-07
Position 340: 3.1075424975879224e-07
Position 771: 3.012658307391966e-07
Position 627: 2.2671728417355594e-07
Position 878: 1.6624811636535595e-07
Position 2773: 1.6019960907876186e-07
Position 2644: 1.5207851058090164e-07
Position 2909: 1.3778323158077492e-07
Position 2760: 1.342364840992302e-07
Position 616: 1.1076358978805393e-07
Position 598: 8.931666942547961e-08
Position 463: 3.762048395385243e-08
Position 277: 3.656375895119414e-08
Position 1867: 3.303188541678106e-08
Position 481: 3.2024409804731914e-08
Position 784: 1.775119628865912e-08
Position 1054: 6.640240506048182e-09
Position 1097: 2.7394487325241954e-09
Position 613: 6.649357473836836e-10
Position 1069: 6.106692737955553e-10
Position 1044: 3.612266484444947e-10
Position 1056: 3.2824584640433935e-10
Position 827: 5.175269929857515e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1651: 0.9308498932124484
Position 2135: 0.7577538547800988
Position 1889: 0.24827681008442032
Position 4646: 0.05628405361662413
Position 1001: 0.030322386806086177
Position 4366: 0.026976053499613045
Position 1015: 0.025806186056609014
Position 1681: 0.02116858737606061
Position 843: 0.020505884252758573
Position 2295: 0.01803777950850051
Position 3012: 0.015978647901346076
Position 4686: 0.015505399587082587
Position 4610: 0.01410642167549836
Position 1904: 0.014012054781792236
Position 3168: 0.013548060053504382
Position 2292: 0.010170354676238832
Position 4682: 0.01006464423259457
Position 3402: 0.006093589503328419
Position 1949: 0.005022464849521491
Position 3399: 0.004854162618404962
Position 5147: 0.004435315470718017
Position 1605: 0.004423224207419328
Position 3171: 0.0042168291435558765
Position 1250: 0.00398839935170861
Position 1261: 0.0037977216510152938
Position 2205: 0.0037836976085043905
Position 1925: 0.0030429557380630442
Position 1104: 0.002995218323259155
Position 3574: 0.0026456408014134923
Position 1686: 0.002132770363436406
Position 869: 0.0021285085723151964
Position 4493: 0.0018426721489467354
Position 4950: 0.0018076706016143355
Position 1273: 0.0017562521993526887
Position 1035: 0.0015407086544578495
Position 501: 0.0011799324526260287
Position 3066: 0.000963342677497874
Position 1279: 0.0009564825626578329
