Gene = CG15387
index = 365
Annotated 5SS: [236]
Annotated 3SS: [292]
SMsplice 5SS: [236]
SMsplice 3SS: [292]
top_k =  500
Partition function (log Z): -3.358105677335616

Sorted 5' Splice Sites (High to Low Probability):
Position 236: 0.9968484176933263
Position 504: 0.36323331621997135
Position 541: 0.2267835195934947
Position 419: 0.0009089663440945784
Position 499: 0.000649616183210121
Position 432: 0.00024521843898001755
Position 545: 0.00015365737772130947
Position 114: 0.00013416307771481274
Position 155: 8.362023269300248e-05
Position 580: 2.9468808356922066e-05
Position 82: 2.45849513653549e-05
Position 631: 1.2010389661431284e-05
Position 39: 1.1087013982695807e-05
Position 326: 8.812102640181385e-06
Position 74: 5.621280488698352e-06
Position 272: 3.969735335546159e-06
Position 91: 2.8685010705007163e-06
Position 59: 1.7578294309437041e-06
Position 305: 8.187694734944846e-07
Position 293: 7.009702016094361e-07
Position 343: 2.7304165604916813e-07
Position 336: 1.8078633711237665e-07
Position 153: 9.307086901208007e-08
Position 368: 7.167849587826955e-08
Position 373: 2.151704372817083e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 292: 0.9964133281353379
Position 583: 0.1576042124792361
Position 564: 0.1394201871721699
Position 639: 0.10924697136304357
Position 599: 0.06780191877984354
Position 696: 0.06028041474883858
Position 683: 0.048485776283467195
Position 657: 0.007704359246652823
Position 709: 0.0014581651689614039
Position 325: 0.000381120509019412
Position 163: 0.0001363822583699149
Position 464: 0.00011708782535656937
Position 382: 2.2344020408090824e-05
Position 334: 1.463226807927761e-05
Position 114: 1.2089505350250484e-05
Position 716: 1.045928322430093e-05
Position 368: 7.070297596524746e-06
Position 432: 6.772824563626685e-06
Position 188: 5.308718405842634e-06
Position 521: 3.447642398636452e-06
Position 390: 2.8424795785828833e-06
Position 497: 2.430725289380294e-06
Position 373: 2.2076028157110083e-06
Position 178: 1.0717190561094463e-06
Position 361: 8.323912433734512e-07
Position 232: 3.5995067365558476e-07
Position 272: 3.477166814508066e-07
Position 127: 2.9662575851092794e-07
Position 212: 1.817019257031602e-07
Position 436: 1.1443861073581457e-07
Position 402: 5.881486138426194e-08
Position 190: 2.868664356900803e-08
Position 392: 6.627068769210081e-09
Position 196: 6.075022798848103e-09
Position 214: 1.4228861788757155e-09
Position 247: 9.917600641741763e-11
