Gene = QIL1
index = 1397
Annotated 5SS: [192]
Annotated 3SS: [253]
SMsplice 5SS: [192]
SMsplice 3SS: [253]
top_k =  500
Partition function (log Z): 0.20674341707208635

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.9993671702335659
Position 608: 0.0016705058267600461
Position 306: 0.001082997529018085
Position 586: 0.00023299589639608884
Position 184: 0.00022579245844153847
Position 200: 0.00022145950320595013
Position 660: 0.0001985321633253304
Position 196: 0.0001739108391448264
Position 474: 0.00015174785673086934
Position 411: 9.378955586582205e-05
Position 490: 8.28252031334695e-05
Position 359: 8.170995825792987e-05
Position 537: 5.527066242713669e-05
Position 649: 5.038892006842876e-05
Position 60: 4.20408037319466e-05
Position 598: 2.0883355560704794e-05
Position 116: 1.3924489681496867e-05
Position 344: 7.951126311468018e-06
Position 38: 7.362751585457988e-06
Position 748: 6.58576975575722e-06
Position 647: 3.898541650744687e-06
Position 419: 2.3820508804559296e-06
Position 593: 1.0683385013959523e-06
Position 29: 8.035932790272393e-07
Position 684: 4.0548518395340346e-07
Position 271: 2.537015122995259e-07
Position 261: 2.341260107925259e-07
Position 548: 2.2346059280853844e-07
Position 223: 1.841073630748144e-07
Position 147: 1.824047001340634e-07
Position 276: 9.534041610820914e-08
Position 641: 8.770445296838544e-08
Position 378: 8.457613150722781e-08
Position 681: 1.9526605204561008e-08
Position 739: 9.82320702252892e-09
Position 288: 1.5340117476989978e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9959584645255528
Position 261: 0.003984916956305157
Position 717: 0.0013995972343993377
Position 519: 0.0005650141464233177
Position 573: 0.000508083732649491
Position 660: 0.0003045887771656698
Position 664: 0.0001714043679116396
Position 637: 0.00015595137872046982
Position 383: 0.00014089157953204817
Position 806: 0.00014032659195945901
Position 419: 9.768705585755431e-05
Position 653: 9.543880268549102e-05
Position 386: 5.936250436260706e-05
Position 305: 4.2429843803988064e-05
Position 783: 3.860184923225826e-05
Position 554: 2.3797225121266947e-05
Position 106: 2.039756147474954e-05
Position 190: 2.016248430057145e-05
Position 359: 1.8144292014832482e-05
Position 133: 1.2127797280332917e-05
Position 778: 9.282060267809759e-06
Position 734: 8.342454448775866e-06
Position 523: 8.150681394090022e-06
Position 365: 6.182215147047261e-06
Position 470: 1.6125376078338732e-06
Position 455: 1.4659771110388624e-06
Position 332: 1.4045546071058334e-06
Position 479: 9.438271352531304e-07
Position 814: 8.360311866099298e-07
Position 533: 6.082173609228759e-07
Position 143: 4.1775761589856684e-07
Position 725: 3.143272601610525e-07
Position 536: 2.0425236835962553e-07
Position 398: 2.0209275252565113e-07
Position 411: 1.5569235009221331e-07
Position 437: 1.2222851367090977e-07
Position 395: 1.0462725383481053e-07
Position 542: 3.7620914455040183e-08
Position 72: 1.8768619564198247e-09
Position 341: 6.227966435100805e-11
Position 392: 3.514424608825419e-11
Position 227: 3.7592079034439425e-13
Position 216: 1.3501910842551924e-13
Position 196: 1.1333616867557298e-14
Position 321: 2.688153092903619e-16
