Gene = Sbp2
index = 1470
Annotated 5SS: [530 812]
Annotated 3SS: [590 864]
SMsplice 5SS: [530 812]
SMsplice 3SS: [590 864]
top_k =  500
Partition function (log Z): -3.490014976785656

Sorted 5' Splice Sites (High to Low Probability):
Position 530: 0.9821545215873995
Position 812: 0.7654743018502377
Position 244: 0.04684903537811747
Position 321: 0.0053355860220678855
Position 763: 0.003686981719700253
Position 498: 0.0027454973078513425
Position 393: 0.002203291991627595
Position 390: 0.0013105211273220238
Position 544: 0.0009951571082528017
Position 457: 0.000775844553311664
Position 308: 0.000725067976224207
Position 816: 0.000693903174766659
Position 113: 0.00054707414503261
Position 317: 0.000406271177888487
Position 438: 0.0002768323206755315
Position 397: 0.00017261723786367043
Position 327: 0.00010178925677380202
Position 547: 8.316811917609692e-05
Position 771: 4.983186410043353e-05
Position 865: 4.362249626774175e-05
Position 384: 2.6212714452426215e-05
Position 325: 2.3862012954418882e-05
Position 360: 2.3642956453126215e-05
Position 255: 1.539274986747614e-05
Position 918: 1.245264988521099e-05
Position 827: 5.5883434074452386e-06
Position 990: 4.514039705596527e-06
Position 1067: 2.9733128153802598e-06
Position 165: 2.240495087656659e-06
Position 774: 1.5065939880882641e-06
Position 985: 1.4590442062464423e-06
Position 1088: 1.1724671198259453e-06
Position 596: 1.0001964792303582e-06
Position 642: 8.169963152107122e-07
Position 727: 6.648940521313617e-07
Position 718: 6.25918104671472e-07
Position 575: 1.7189163144255306e-07
Position 1060: 1.7135624901056535e-07
Position 611: 1.034006263710383e-07
Position 562: 8.393980542537534e-08
Position 627: 7.849374580967868e-08
Position 639: 6.659173597264061e-08
Position 72: 4.033821677467819e-08
Position 725: 1.0591785898828502e-11
Position 868: 7.069172125769842e-12
Position 701: 1.5232736394762665e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9968284269757044
Position 864: 0.6762555271183871
Position 911: 0.034242916037253227
Position 296: 0.029392630078812692
Position 908: 0.019628987908067577
Position 873: 0.015192163926739312
Position 293: 0.01011573846403107
Position 971: 0.006224119493380023
Position 888: 0.005716386117666127
Position 885: 0.004920115687824722
Position 457: 0.004412253459294335
Position 946: 0.0033625159810747366
Position 1032: 0.002733648455850372
Position 307: 0.0017498591543530914
Position 1050: 0.0007166538591861569
Position 839: 0.000701037835512189
Position 299: 0.0006622456955720633
Position 347: 0.0005086132440116665
Position 344: 0.00036688148364932437
Position 269: 0.00011683499821596437
Position 381: 0.00010915060523572864
Position 489: 0.00010531283777780667
Position 975: 9.314957405057945e-05
Position 943: 7.837117342438801e-05
Position 1126: 5.949844979033139e-05
Position 526: 5.226352881264207e-05
Position 393: 5.0609165487175066e-05
Position 390: 4.602546168750513e-05
Position 639: 4.3655409006164984e-05
Position 666: 3.9409139443303457e-05
Position 498: 3.818291570939731e-05
Position 669: 3.554375318432184e-05
Position 624: 2.0379201261870084e-05
Position 1120: 1.7704927723099353e-05
Position 1052: 1.756299247828929e-05
Position 1014: 1.6302794203652575e-05
Position 1078: 1.1263156374017077e-05
Position 173: 1.0222991374416053e-05
Position 431: 1.0042814268656716e-05
Position 231: 8.479387158467345e-06
Position 317: 7.897256254027398e-06
Position 1132: 7.286745714632493e-06
Position 647: 5.654849001059677e-06
Position 366: 4.1019248289228715e-06
Position 438: 3.2664388794062792e-06
Position 1135: 3.13885006196617e-06
Position 247: 3.015274674768693e-06
Position 360: 1.4533902744775582e-06
Position 812: 1.3544449211396695e-06
Position 402: 1.0303768779336116e-06
Position 221: 9.505981739145102e-07
Position 736: 8.508571348329067e-07
Position 384: 7.099068269238543e-07
Position 243: 7.061377514035414e-07
Position 241: 5.485231701258371e-07
Position 697: 4.6011609442547596e-07
Position 529: 4.413179707870401e-07
Position 255: 3.8220106206409933e-07
Position 918: 3.769254349492782e-07
Position 193: 3.580732855610892e-07
Position 627: 3.376121356054201e-07
Position 690: 3.226732488851714e-07
Position 203: 2.1304617285515462e-07
Position 314: 1.1056894007383586e-07
Position 368: 3.905310676690426e-08
Position 178: 3.379774616750135e-08
Position 733: 2.1426447701796327e-08
Position 752: 8.41703779330642e-09
Position 130: 6.593385520667273e-10
Position 125: 1.1144300125988275e-10
Position 143: 3.696485118767542e-12
Position 140: 1.7157158093847847e-15
