Gene = Srpk79D
index = 1523
Annotated 5SS: [4747 5060 5575 5952 6333 7799 8848]
Annotated 3SS: [4837 5122 5628 6173 7246 8576 8918]
SMsplice 5SS: [1454 5060 5575 5952 7799 8848 9165]
SMsplice 3SS: [4837 5122 5628 7693 8576 8918 9217]
top_k =  500
Partition function (log Z): 10.762159704070866

Sorted 5' Splice Sites (High to Low Probability):
Position 5952: 0.9830837993221817
Position 5575: 0.9794055983642895
Position 7799: 0.972350324473914
Position 8848: 0.9445040131789695
Position 5060: 0.9345469859667962
Position 1454: 0.931523536502132
Position 9165: 0.6767007017634722
Position 6333: 0.21078173403193323
Position 8506: 0.20000807931456732
Position 5385: 0.18398173375613805
Position 6338: 0.15265473179103084
Position 4747: 0.1384871076273012
Position 9634: 0.07233379422167964
Position 9734: 0.06958324317165224
Position 2863: 0.046943479589017255
Position 274: 0.04447519630171663
Position 270: 0.04114431857723867
Position 9669: 0.03793755856443978
Position 9648: 0.0375706115636131
Position 1488: 0.03586306975033932
Position 8183: 0.035675200026644746
Position 8815: 0.03372110922205407
Position 2422: 0.03287091549849058
Position 7916: 0.03223596032043661
Position 8220: 0.021667511361688683
Position 9404: 0.020945475164437777
Position 9128: 0.0183505753173058
Position 9106: 0.018146327744444017
Position 8852: 0.01735306784660822
Position 6360: 0.016259828010929397
Position 8540: 0.015341309709985804
Position 7213: 0.014262440057434825
Position 3227: 0.009654641172785193
Position 9793: 0.008538495414956052
Position 266: 0.007095931862148385
Position 278: 0.006494777048841385
Position 8388: 0.0062171156535277905
Position 9839: 0.005781082784515467
Position 7763: 0.005606659742856252
Position 5336: 0.005558856720847301
Position 9091: 0.0053870515686732685
Position 2456: 0.005364161058839505
Position 99: 0.005009569186492132
Position 6313: 0.004786590536311059
Position 7123: 0.00458230745507919
Position 6058: 0.004429860679051559
Position 90: 0.004403079642023786
Position 5284: 0.004397690298642593
Position 9502: 0.0039894807090110895
Position 6342: 0.003866185107346794
Position 39: 0.0038537894426399224
Position 1915: 0.003638637015875356
Position 9980: 0.003467334672498808
Position 7112: 0.0033775763161922774
Position 8980: 0.003296980484608005
Position 1039: 0.0031510254221785283
Position 256: 0.002963986105476142
Position 5349: 0.002893086421396998
