Gene = pix
index = 1838
Annotated 5SS: [ 109  632 1305 2081]
Annotated 3SS: [ 417  693 1363 2137]
SMsplice 5SS: [ 109  632 1305 2081]
SMsplice 3SS: [ 417  693 1363 2137]
top_k =  500
Partition function (log Z): 2.4788973958703204

Sorted 5' Splice Sites (High to Low Probability):
Position 632: 0.9834769306270708
Position 2081: 0.9747059357109811
Position 1305: 0.9694506010852731
Position 109: 0.6420423406697994
Position 317: 0.03957271644991314
Position 1042: 0.03632837558553465
Position 1708: 0.02676071198851781
Position 1767: 0.02565466349584525
Position 1139: 0.021147642162285624
Position 66: 0.020608678866532785
Position 1744: 0.020341358929899175
Position 2308: 0.018412812960793078
Position 2070: 0.01822421804089445
Position 618: 0.009525449993571255
Position 842: 0.007962611589726349
Position 223: 0.00757679331947876
Position 2608: 0.005260319055533693
Position 1957: 0.00308188185636128
Position 1192: 0.00290580664218594
Position 1017: 0.0026967650441420336
Position 307: 0.0019121227861489045
Position 636: 0.0016990236212412152
Position 903: 0.0011360279738577876
Position 2230: 0.0010872625221066653
Position 75: 0.001076990158574795
Position 1833: 0.0006812638922503528
Position 1133: 0.0004779646689472828
Position 285: 0.0004663898313759901
Position 191: 0.00046373084975555854
Position 1458: 0.00041286399049327477
Position 1453: 0.00040903083907462126
Position 101: 0.000297874789252794
Position 329: 0.00028807262771638376
Position 141: 0.00025614382347202296
Position 829: 0.00023817206454623997
Position 1476: 0.00022925587220720068
Position 812: 0.00020520015662798142
Position 563: 0.00018574561902266325
Position 612: 0.0001733921923785573
Position 824: 0.0001581056381660426
Position 367: 0.00014198303425043968
Position 1653: 0.0001115685384298368
Position 1054: 8.88277856755904e-05
Position 806: 6.845982049805074e-05
Position 2467: 5.0273107559667984e-05
Position 2320: 4.623688891587463e-05
Position 1106: 3.864733087378075e-05
Position 2241: 3.679091382630654e-05
Position 204: 3.6503586181844295e-05
Position 8: 3.601945287769987e-05
Position 2595: 2.9799633048902148e-05
Position 298: 2.5018420513358848e-05
Position 536: 2.3224711129844362e-05
Position 3: 2.249546398395564e-05
Position 293: 1.6102923079852975e-05
Position 2058: 1.551340749756224e-05
Position 817: 1.1518948880718023e-05
Position 626: 1.1145899947218929e-05
Position 2569: 1.0156534166906026e-05
Position 79: 8.157568141184494e-06
Position 2497: 7.68365749442837e-06
Position 1938: 4.979413738707517e-06
Position 273: 2.657751013864523e-06
Position 446: 2.5962604077821922e-06
Position 70: 2.3048185478510466e-06
Position 1640: 2.2965987690375924e-06
Position 2477: 2.057063934219028e-06
Position 657: 2.0193291395402243e-06
Position 1608: 1.9951747898276227e-06
Position 2516: 1.9479968153939264e-06
Position 46: 1.6998931255563776e-06
Position 2554: 1.5584993733462918e-06
Position 1309: 1.4114132867236548e-06
Position 1455: 1.108011886937467e-06
Position 135: 1.1065816925536404e-06
Position 1512: 9.47094672264846e-07
Position 6: 5.080658305086223e-07
Position 271: 4.0283154918601497e-07
Position 1560: 3.793600034202218e-07
Position 386: 2.7018693886046744e-07
Position 1249: 1.505480530309682e-07
Position 2085: 8.50630566244438e-08
Position 1239: 6.809822709271103e-08
Position 604: 6.54267636759892e-08
Position 592: 5.0751729797047395e-08
Position 487: 4.466277219314077e-08
Position 2267: 3.982844680072384e-08
Position 2053: 2.748696850596213e-08
Position 2220: 2.4677956717868255e-08
Position 502: 2.346303475678943e-08
Position 574: 2.9972902548550024e-09
Position 533: 2.9768541229895216e-09
Position 589: 2.8190469798370693e-09
Position 660: 1.8073569404994575e-09
Position 473: 1.7673069381350148e-09
Position 1259: 1.6702574909590814e-09
Position 514: 1.552587252941894e-09
Position 1663: 5.932925477974581e-10
Position 791: 4.052871031544224e-12
Position 462: 2.936276431344875e-12
Position 421: 1.286131676725292e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 693: 0.9844347666135551
Position 2137: 0.9748942581462285
Position 1363: 0.9079741882222706
Position 417: 0.6403973233360937
Position 1883: 0.0826135490107707
Position 1203: 0.06760909040129978
Position 429: 0.03299418038871243
Position 2156: 0.02069754979636001
Position 1560: 0.018700828883979552
Position 1856: 0.018145977896508025
Position 128: 0.015719674547635662
Position 477: 0.01099989302207023
Position 2372: 0.010586895329352143
Position 355: 0.00837710968352374
Position 1919: 0.006406163692147862
Position 2379: 0.005599568233218991
Position 2660: 0.0048965340580825285
Position 734: 0.003906452505899531
Position 1967: 0.0035012440947824273
Position 1799: 0.0025542174428263777
Position 767: 0.0024288296601894235
Position 2046: 0.0020911823926187253
Position 1485: 0.002002508892261458
Position 1254: 0.0018318415017633356
Position 433: 0.0014932683790039828
Position 2632: 0.0014640018517569462
Position 293: 0.0013733894036553086
Position 1257: 0.0012083339304158002
Position 436: 0.0011776892020680413
Position 1934: 0.0010282339519408323
Position 1805: 0.0010078620277186384
Position 1152: 0.0009786636159069184
Position 1808: 0.0008249597022364048
Position 2341: 0.000702940039235975
Position 2487: 0.000666703549019993
Position 2683: 0.000586171190227538
Position 938: 0.000552946308691992
Position 181: 0.0005470573539452699
Position 2399: 0.00047593906126325346
Position 1937: 0.00041973641337879905
Position 1766: 0.0003596467104852387
Position 2522: 0.00033462588030034235
Position 222: 0.00032583319047964864
Position 978: 0.0003212105910098291
Position 888: 0.0003178192937861169
Position 1628: 0.00026382940470114395
Position 457: 0.00019694700623284036
Position 152: 0.00019103401048795816
Position 511: 0.00018924164906781435
Position 1961: 0.00018407280356925578
Position 2384: 0.00017158438349741022
Position 2608: 0.0001653304013037681
Position 957: 0.0001435058157864542
Position 963: 0.00013612286788403807
Position 837: 0.00012395614066439367
Position 1210: 0.000120513377363789
Position 867: 0.00011713209568734505
Position 817: 9.950934128693511e-05
Position 1095: 9.004371032159391e-05
Position 747: 8.654172320961203e-05
Position 2051: 8.192902675670648e-05
Position 1077: 7.03202842066807e-05
Position 1038: 5.5691529008961297e-05
Position 172: 4.748737163677709e-05
Position 2267: 4.41366276618615e-05
Position 514: 4.1490027944462205e-05
Position 367: 4.147513767257684e-05
Position 771: 4.0600899330192366e-05
Position 999: 2.606723705461921e-05
Position 783: 2.4953593693902152e-05
Position 660: 2.4769577765630277e-05
Position 108: 2.4052528437062245e-05
Position 1101: 2.0603781351963645e-05
Position 1029: 1.4773249404869262e-05
Position 442: 1.4481167232543838e-05
Position 1074: 1.4472303107027141e-05
Position 487: 1.1243732629047385e-05
Position 533: 9.180871082234703e-06
Position 377: 7.83349658082397e-06
Position 2414: 7.824353917603132e-06
Position 493: 6.035859374413587e-06
Position 2437: 4.730569144590126e-06
Position 903: 3.122916144360494e-06
Position 454: 3.000776100615494e-06
Position 584: 2.4654615841193604e-06
Position 2644: 1.943566972886407e-06
Position 631: 1.7089403262529507e-06
Position 580: 1.2122501251939996e-06
Position 550: 1.1678670290039565e-06
Position 601: 1.1194569406011735e-06
Position 598: 8.731550437799691e-08
Position 62: 8.859057287517813e-09
Position 101: 3.1773395747875118e-09
Position 708: 1.8342010459847407e-10
Position 174: 3.6228236189007645e-11
Position 64: 5.287699182444092e-13
