Gene = mus312
index = 1808
Annotated 5SS: [ 232  506 1108 2100 2205]
Annotated 3SS: [ 296  583 1166 2159 2260]
SMsplice 5SS: [ 232  506 1108 2100 2205]
SMsplice 3SS: [ 296  583 1166 2159 2260]
top_k =  500
Partition function (log Z): 6.535216940700024

Sorted 5' Splice Sites (High to Low Probability):
Position 1108: 0.9994297228996641
Position 506: 0.9879223458204751
Position 232: 0.9759093303535126
Position 2100: 0.9487739276854484
Position 2205: 0.9429631130767095
Position 2422: 0.4702290071908152
Position 1407: 0.021924228167880613
Position 2308: 0.01822621130594688
Position 3676: 0.00867027069714717
Position 4158: 0.0070644061387575945
Position 65: 0.006809595333477435
Position 4171: 0.0057921201783955505
Position 3017: 0.005729854373855697
Position 2662: 0.005103332658213657
Position 35: 0.005080532142602136
Position 1624: 0.005039903699690454
Position 3552: 0.0048400432201426286
Position 1487: 0.004170997235331689
Position 1212: 0.0036804194815192454
Position 1658: 0.0029671500844568014
Position 2457: 0.002045123821011892
Position 2467: 0.0016952214257483144
Position 1928: 0.0016398617561611296
Position 2074: 0.001386031211944936
Position 1645: 0.0011170324145752598
Position 2869: 0.0008314145715281038
Position 2209: 0.0008157692970879373
Position 255: 0.000761503331659527
Position 3972: 0.0007217899300114982
Position 2448: 0.0006757312858411753
Position 2223: 0.0006327739122866301
Position 3478: 0.0006273945345935684
Position 1560: 0.0005790444122092771
Position 2390: 0.0003905275757067812
Position 3451: 0.00028877233768271704
Position 4187: 0.00025617611070373106
Position 2693: 0.0002543651056558432
Position 4123: 0.0002062380134188926
Position 1225: 0.00020364327779947468
Position 45: 0.0002010788833447753
Position 1761: 0.00015979711459804534
Position 1632: 0.00015537470249663
Position 811: 0.00015341685506784094
Position 72: 0.0001305577563461177
Position 1982: 0.00011378338688866632
Position 1134: 7.839914864168321e-05
Position 263: 7.32494623659621e-05
Position 1370: 6.920118525298192e-05
Position 1721: 6.785705240424518e-05
Position 1079: 6.453701588582389e-05
Position 1961: 6.247000784886941e-05
Position 2374: 6.0207144810430406e-05
Position 806: 5.4234245450704876e-05
Position 1469: 4.04637971464373e-05
Position 1994: 3.3765791808557583e-05
Position 1017: 3.343098348526317e-05
Position 1794: 3.095533353452264e-05
Position 169: 3.018010643602065e-05
Position 853: 2.8767164505680648e-05
Position 2081: 2.7314216241756583e-05
Position 1237: 2.6301351054047073e-05
Position 663: 2.4051922725262186e-05
Position 973: 1.897369654731736e-05
Position 1112: 1.753157989403325e-05
Position 212: 1.4968400233769884e-05
Position 1350: 1.1510692527584786e-05
Position 1196: 9.371998743426658e-06
Position 2298: 8.812914073931333e-06
Position 1193: 5.729299946913954e-06
Position 266: 4.946968911863738e-06
