Gene = Nf-YA
index = 1316
Annotated 5SS: [144]
Annotated 3SS: [300]
SMsplice 5SS: [144]
SMsplice 3SS: [1977]
top_k =  500
Partition function (log Z): -8.385561656304054

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.5576477409557123
Position 220: 0.2709823962481727
Position 300: 0.0717587969149197
Position 38: 0.05095034264537614
Position 186: 0.04027326275764702
Position 215: 0.03558634407088404
Position 181: 0.010142409601109112
Position 759: 0.009665027997822422
Position 1588: 0.007961173439800105
Position 17: 0.001766837173856634
Position 543: 0.0014542364415054364
Position 304: 0.0012729261262082359
Position 1900: 0.0012719572844381592
Position 600: 0.0012545610009272988
Position 990: 0.001084963196956321
Position 1251: 0.0008415666024976653
Position 326: 0.0008018973705052919
Position 1017: 0.0007849929632434071
Position 306: 0.0005481483886333063
Position 308: 0.00038684501441518836
Position 2069: 0.0002893243976553283
Position 212: 0.00023479659466216056
Position 1792: 0.0002078727956319356
Position 664: 0.0001969864450802467
Position 900: 0.00019538756806034748
Position 682: 0.00018337938961585196
Position 141: 0.000167318749474116
Position 1074: 0.00016065688332400142
Position 1273: 0.00015032787254737237
Position 1612: 0.00012460150203589306
Position 541: 0.00011893543495329594
Position 4: 0.00010532688966218499
Position 1122: 0.00010190267943196435
Position 1265: 0.00010148678474814133
Position 1131: 7.964167001674145e-05
Position 190: 3.2500719188511e-05
Position 237: 1.9422324117334844e-05
Position 6: 1.8920166717313306e-05
Position 2108: 1.58835832288663e-05
Position 1337: 3.7721192729434586e-06
Position 75: 1.3622583327083672e-06
Position 90: 1.3304559665343892e-06
Position 312: 6.140217179702779e-07
Position 148: 1.7481065876267452e-07
Position 229: 7.6031808857264e-08
Position 310: 5.760894649569016e-08
Position 260: 4.737347201156709e-08
Position 124: 2.7195323496594503e-11
Position 107: 1.322337038887261e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1977: 0.5840227920433657
Position 300: 0.14206388330919908
Position 391: 0.13806888665760458
Position 97: 0.052175092068779245
Position 1986: 0.04516441641222845
Position 1782: 0.03830407162689577
Position 1879: 0.012399842227663877
Position 1935: 0.006943298725611444
Position 400: 0.005452712993097879
Position 1412: 0.004417968691074269
Position 1743: 0.0036362125447362633
Position 656: 0.0032997551271363766
Position 831: 0.002895197409103711
Position 710: 0.0027801808480056862
Position 1914: 0.0025181195039477734
Position 974: 0.0024777164378985946
Position 325: 0.0020613260226771367
Position 797: 0.0020056715145430662
Position 206: 0.0016458092983626525
Position 371: 0.0015824906380645504
Position 2041: 0.0014842662558514042
Position 1292: 0.0014711991355935946
Position 304: 0.0013925887786356266
Position 349: 0.0012696984585472571
Position 411: 0.001048458779760395
Position 731: 0.0010225360164603146
Position 1061: 0.0008911463563693906
Position 345: 0.0007019533279292082
Position 421: 0.0006682964387216196
Position 2101: 0.000659041077506589
Position 1058: 0.0006272616893696708
Position 2186: 0.00046483494667112866
Position 662: 0.00032300966880772976
Position 1721: 0.00025189323346489986
Position 237: 0.00024862947449862723
Position 896: 0.000232512865760997
Position 190: 0.00020655872661330278
Position 945: 0.00019960932607710074
Position 212: 0.0001954149699741101
Position 978: 0.0001500547244471551
Position 1204: 0.00013338135177319268
Position 600: 0.00011164515811156581
Position 1957: 0.00010267796483947113
Position 2148: 9.86503384397927e-05
Position 1883: 9.851417783356824e-05
Position 2189: 9.732289231491326e-05
Position 1265: 8.996319166678846e-05
Position 541: 8.632890872869221e-05
Position 956: 6.587031395846752e-05
Position 2024: 6.555247368766395e-05
Position 224: 6.316337344539149e-05
Position 1085: 6.087503472119402e-05
Position 1174: 5.328030838159731e-05
Position 2057: 5.311137741546874e-05
Position 1097: 4.899565765447627e-05
Position 496: 4.763736099131144e-05
Position 219: 4.476739377499351e-05
Position 2116: 3.9349746632641454e-05
Position 653: 3.524172240759537e-05
Position 200: 3.0139188978656387e-05
Position 245: 2.9412039384882033e-05
Position 555: 2.776730592207879e-05
Position 858: 2.4175318614949726e-05
Position 117: 9.710029229110231e-06
Position 137: 4.383338908307023e-06
Position 56: 1.8626128708810882e-06
Position 47: 3.3124517831606705e-07
Position 141: 5.273125407835528e-09
Position 161: 5.225661887067127e-09
Position 158: 4.304745548597286e-09
Position 170: 3.2411414475581715e-10
Position 176: 3.579379258783409e-11
Position 148: 2.4454670092144506e-11
Position 165: 5.614102205814305e-13
