Gene = fy
index = 1711
Annotated 5SS: [ 277 1450]
Annotated 3SS: [ 334 1508]
SMsplice 5SS: [277]
SMsplice 3SS: [334]
top_k =  500
Partition function (log Z): -5.4407569135468155

Sorted 5' Splice Sites (High to Low Probability):
Position 277: 0.9895806513839132
Position 1450: 0.26654622602241995
Position 57: 0.22791774662393716
Position 65: 0.044344697155257434
Position 652: 0.009701205917600382
Position 1555: 0.0015941223176670714
Position 696: 0.001530079175654052
Position 529: 0.0013315680260494616
Position 1551: 0.0011936091779595295
Position 283: 0.0009102398619215536
Position 1336: 0.0007029112203520621
Position 1145: 0.000668474284768678
Position 844: 0.0005003558964072645
Position 1235: 0.00042374331695626996
Position 997: 0.00035967647627567614
Position 80: 0.0002757585296675927
Position 759: 0.00027320778476697084
Position 1603: 0.0002648016215636355
Position 511: 0.0002606024216340846
Position 1430: 0.00024758933369193
Position 509: 0.00021119163858161148
Position 155: 0.00020934633655547979
Position 1563: 0.0001966662133266234
Position 1482: 0.00018820947406000878
Position 522: 0.00010638570016095515
Position 1185: 9.813604500219388e-05
Position 175: 9.053389311670494e-05
Position 1270: 7.396349092403138e-05
Position 1417: 6.288656745577701e-05
Position 1559: 5.114061792518547e-05
Position 524: 4.4214623562643476e-05
Position 923: 4.3053295748739405e-05
Position 965: 2.6345066295170074e-05
Position 246: 2.4602314608103606e-05
Position 244: 2.389920833916281e-05
Position 1627: 2.2649156786743632e-05
Position 895: 2.2606657225439117e-05
Position 218: 1.702034996269171e-05
Position 1414: 1.3503462089220674e-05
Position 1113: 1.051018523330164e-05
Position 310: 1.0427858134341088e-05
Position 935: 8.474145994664317e-06
Position 942: 3.618833022634039e-06
Position 108: 3.3989732305482676e-06
Position 917: 2.838024950257952e-06
Position 583: 2.6480360948405127e-06
Position 213: 1.1784740504020807e-06
Position 563: 1.0252360175492365e-06
Position 1372: 3.5073970942132245e-08
Position 466: 2.0433725816176964e-08
Position 982: 7.497150462980054e-09
Position 201: 5.0954886963356624e-09
Position 690: 4.3150504722938696e-09
Position 168: 3.4436749402488863e-09
Position 886: 1.283109911184649e-09
Position 385: 1.0849557787857513e-09
Position 350: 5.854166797998562e-10
Position 880: 5.647177162481866e-10
Position 723: 3.3675676062627e-10
Position 376: 1.653292157398516e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 334: 0.9870389946496946
Position 1508: 0.2689556851053932
Position 108: 0.23981698916763447
Position 159: 0.014884640835212863
Position 174: 0.008961450412120875
Position 385: 0.005844726677155411
Position 1664: 0.004738422252998795
Position 1315: 0.004675600552626306
Position 171: 0.004209505509463009
Position 1249: 0.0020501950566742507
Position 602: 0.001063980133315033
Position 990: 0.0010525523638831291
Position 1210: 0.001029953368217989
Position 1088: 0.0009626241158883469
Position 1545: 0.0008876245834011934
Position 1685: 0.0005761868427312529
Position 1197: 0.000543406597796449
Position 630: 0.000480186095859226
Position 1295: 0.0003199958863128827
Position 953: 0.0003090819533111838
Position 774: 0.00026212393728432617
Position 578: 0.00024521845650516484
Position 969: 0.00023832996861406028
Position 1056: 0.0001851693611346542
Position 1690: 0.00012272124144476187
Position 1551: 0.00010755305484503492
Position 1323: 0.00010076313218203882
Position 310: 9.509087939199552e-05
Position 1585: 8.621833534782688e-05
Position 1353: 7.382155852538113e-05
Position 1494: 5.478828851177531e-05
Position 188: 4.218386348969286e-05
Position 1113: 3.123473816315936e-05
Position 1073: 2.9604274918328523e-05
Position 1340: 2.557578772649832e-05
Position 757: 2.262214437249619e-05
Position 406: 1.9918119760464374e-05
Position 1548: 1.9091600205201465e-05
Position 1481: 1.8358379977113785e-05
Position 191: 1.1738660023566836e-05
Position 244: 1.763815621717177e-06
Position 185: 1.007426121099508e-06
Position 261: 8.768389217701196e-07
Position 258: 2.117660208587607e-07
Position 445: 1.3245084503184532e-08
Position 439: 7.369489832279402e-09
Position 427: 5.984434813026526e-09
Position 420: 3.287744112960186e-09
Position 193: 1.642921080067668e-09
Position 265: 5.496328053048425e-10
Position 430: 4.1149956201008376e-10
Position 281: 2.6589356931637935e-11
Position 283: 7.12831897797289e-14
Position 547: 3.706956330453471e-16
