Gene = MYPT-75D
index = 1268
Annotated 5SS: [16405 36085 37368 37659 37796 38302 38862]
Annotated 3SS: [35397 36664 37532 37719 38180 38364 39738]
SMsplice 5SS: [ 1073 36085 37368 37659 37796 38289 38862]
SMsplice 3SS: [35397 36664 37532 37719 38180 38364 40056]
top_k =  500
Partition function (log Z): 1.7089636274727882

Sorted 5' Splice Sites (High to Low Probability):
Position 1073: 0.9999999999999938
Position 36085: 0.9999999999999938
Position 37659: 0.9982104177218709
Position 37368: 0.9699785891525319
Position 38862: 0.9695389910383095
Position 37796: 0.9679569764746373
Position 38273: 0.15491831068545767
Position 39151: 0.09304819993735583
Position 39521: 0.0681293164838413
Position 39339: 0.059315274352969086
Position 39259: 0.052843020783593354
Position 39562: 0.05180542637140371
Position 41029: 0.04151860232390296
Position 37398: 0.020319299494016382
Position 38104: 0.015450349741840898
Position 37814: 0.015154393907246558
Position 39176: 0.015136722163122986
Position 38858: 0.01153677055303123
Position 39203: 0.011398698824194057
Position 38996: 0.010613844629779962
Position 40412: 0.00964051489236344
Position 39042: 0.009297417662699873
Position 40783: 0.008790394787003863
Position 39361: 0.007796363408218702
Position 39036: 0.005044349853216801
Position 39286: 0.004043740365014889
Position 40824: 0.0038049690260696656
Position 38772: 0.0031349882997717465
Position 39007: 0.0030408267556928385
Position 39299: 0.002974353659644126
Position 39048: 0.0025471659989029457
Position 39220: 0.0022849327663041815
Position 39513: 0.0020599194157246105
Position 37957: 0.001992788324959634
Position 39055: 0.0015620249342438608
Position 38990: 0.001416658430686823
Position 37663: 0.0012820512104045941
Position 37834: 0.0011968266382929508
Position 40324: 0.0011225498707332336
Position 39256: 0.0008899584651749803
Position 37910: 0.0007305213523274136
Position 39253: 0.0006241711476579293
Position 38084: 0.0004815561828784216
Position 39816: 0.0004111139087923298
Position 38042: 0.00036479916683818087
Position 39476: 0.0003100414526208699
Position 41051: 0.00027807394768988424
Position 39247: 0.00017343192811853533
Position 38062: 0.00017205907805939254
Position 38846: 0.0001633981264119051
Position 38712: 0.0001602723647604124
Position 39034: 0.00014803056351751857
Position 37936: 0.00014188716231158167
Position 39125: 0.00013835478370866785
Position 40277: 9.781001402057242e-05
Position 37885: 9.647104532060779e-05
Position 38027: 8.119849639042204e-05
Position 39329: 7.005798929930724e-05
Position 38047: 6.042041211258227e-05
Position 37632: 5.206817489257762e-05
