Gene = VhaSFD
index = 1595
Annotated 5SS: [ 197  817 2968 3595 3769]
Annotated 3SS: [ 337 2832 3031 3654 3928]
SMsplice 5SS: [ 259  817 2968 3595 3769]
SMsplice 3SS: [ 337 2832 3031 3654 3928]
top_k =  500
Partition function (log Z): 11.41275048398612

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.9998924212590746
Position 3595: 0.9941988937974209
Position 3769: 0.9087257480893882
Position 817: 0.877594233062104
Position 259: 0.43141457261232535
Position 197: 0.3821248033474994
Position 2520: 0.2865430961477214
Position 2598: 0.09544828002535666
Position 2692: 0.07348971563701677
Position 3758: 0.06874598759854404
Position 508: 0.027978670897524763
Position 1935: 0.022297612166968562
Position 263: 0.022172093405009488
Position 1924: 0.01457378409539557
Position 4008: 0.013591254545255583
Position 511: 0.00647601818549575
Position 2377: 0.005872720717903728
Position 836: 0.005773676726611676
Position 274: 0.005279770525819877
Position 3773: 0.004856026746209743
Position 1884: 0.004751435021686981
Position 3565: 0.004733401591333935
Position 2487: 0.004093466413419198
Position 1379: 0.00406087546507006
Position 255: 0.0037576851232709978
Position 4304: 0.003229193077572508
Position 4011: 0.0032260389607896823
Position 4099: 0.0031050312583154383
Position 3158: 0.0030111274827081635
Position 3979: 0.0026539490541096942
Position 2252: 0.0018900651556252486
Position 4184: 0.0016320462654080983
Position 3719: 0.001595337773996112
Position 2542: 0.0015885697779627686
Position 249: 0.0014311380876426325
Position 662: 0.0014241031277634586
Position 1926: 0.0011946338302779387
Position 4545: 0.0009956282226643968
Position 4783: 0.0009762086405086345
Position 1067: 0.0008533707047311328
Position 3825: 0.0008302332943283271
Position 2605: 0.0008041043904100603
Position 4530: 0.0008037887936422835
Position 3257: 0.0007474687034654276
Position 471: 0.0006956685307067963
Position 4157: 0.0006706396682977899
Position 564: 0.0006635802489375641
Position 267: 0.0006473697485901679
Position 3320: 0.0006027025833806036
Position 2705: 0.0005812913896125366
Position 265: 0.0005130838589265288
Position 843: 0.000432195966308061
Position 3830: 0.0004271197469681032
Position 2260: 0.00040114498313238326
Position 3599: 0.0003972862164293922
Position 257: 0.00031769412340477147
Position 3569: 0.0002867880995457777
Position 1536: 0.0002193952894619122
Position 1044: 0.00016865119692635572
Position 3325: 0.00015694771465983934
Position 272: 0.00015246144392076191
Position 36: 0.0001493427812775925
Position 1440: 0.00012494240271081208
Position 83: 0.00011405978704183833
Position 295: 0.00011165901542079471
Position 532: 0.00010782108773187112
Position 4632: 9.303612267749461e-05
Position 3058: 7.983454844903754e-05
Position 3379: 7.783539139476599e-05
Position 411: 7.659653582181469e-05
Position 64: 7.642239586932744e-05
Position 462: 7.543118176448795e-05
Position 299: 7.473065164489078e-05
Position 4363: 6.451839470814052e-05
Position 3392: 6.070997939890123e-05
