Gene = Cpr65Av
index = 1099
Annotated 5SS: [259]
Annotated 3SS: [368]
SMsplice 5SS: [259]
SMsplice 3SS: [368]
top_k =  500
Partition function (log Z): -2.4979158447782748

Sorted 5' Splice Sites (High to Low Probability):
Position 259: 0.9980508861209726
Position 14: 0.014923735128733117
Position 559: 0.005625091847832334
Position 577: 0.0053140246729462635
Position 608: 0.004752352864879166
Position 310: 0.001770606946889388
Position 28: 0.0009731969658996761
Position 630: 0.0008005350284926955
Position 593: 0.0003586131379794769
Position 574: 0.0002701215779477531
Position 521: 0.00021551421707616996
Position 118: 0.00015900705138694563
Position 622: 0.00015575986344519452
Position 640: 0.00010124372954506275
Position 581: 8.032865764525902e-05
Position 45: 7.278952795639972e-05
Position 469: 6.24430838873205e-05
Position 263: 4.5101107310925466e-05
Position 448: 4.407398732678767e-05
Position 412: 4.297936641591834e-05
Position 84: 2.7082483799017442e-05
Position 425: 2.6903229659702856e-05
Position 460: 2.0798745033518863e-05
Position 572: 2.060491805903748e-05
Position 308: 2.014259077353982e-05
Position 446: 1.3740464972336027e-05
Position 18: 1.2071687688872078e-05
Position 455: 4.6773480493789145e-06
Position 677: 2.7303601218914715e-06
Position 132: 3.521915150298057e-07
Position 134: 5.416789199652956e-09
Position 349: 4.603456020667313e-10
Position 380: 1.236377840313859e-10
Position 388: 4.2335514812878234e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 368: 0.9922628739099729
Position 677: 0.006601308665093847
Position 698: 0.005850827403983905
Position 118: 0.004516485222190962
Position 333: 0.004013216594906042
Position 174: 0.003849316110231323
Position 66: 0.003798468250732998
Position 620: 0.0030873917631522745
Position 744: 0.0025628642287174766
Position 94: 0.0022519041805324504
Position 330: 0.0018383162832141123
Position 70: 0.001323188773956625
Position 399: 0.0005346198651516866
Position 347: 0.00048510047509588985
Position 577: 0.00022979070964745122
Position 126: 0.00020101290633478747
Position 84: 0.00013814989701440845
Position 438: 0.0001154398597589687
Position 375: 8.552969344164255e-05
Position 630: 5.21360164220714e-05
Position 464: 4.52572953238051e-05
Position 405: 4.249092743249877e-05
Position 402: 2.6461478481054165e-05
Position 380: 1.7549521249505677e-05
Position 581: 1.1542216195123568e-05
Position 216: 8.690263901163029e-06
Position 435: 8.378886364266823e-06
Position 486: 4.017381523684255e-06
Position 349: 2.500073268171656e-06
Position 534: 6.58571793173088e-07
Position 528: 6.384218320074294e-07
Position 411: 5.570282426152874e-07
Position 559: 5.165079006977704e-07
Position 593: 3.143392698615752e-07
Position 266: 7.438208525839188e-10
Position 294: 4.793918895948788e-10
Position 270: 9.350395797498906e-13
Position 263: 6.644367864827102e-13
Position 388: 2.0759165737650567e-13
