Gene = HP4
index = 1205
Annotated 5SS: [393]
Annotated 3SS: [466]
SMsplice 5SS: [393]
SMsplice 3SS: [466]
top_k =  500
Partition function (log Z): -4.168114641152302

Sorted 5' Splice Sites (High to Low Probability):
Position 393: 0.9646983527225168
Position 61: 0.12781584516734193
Position 397: 0.0249372876585128
Position 404: 0.004567001141919556
Position 47: 0.003824490460180667
Position 209: 0.0033036398958856995
Position 305: 0.002345018082758978
Position 224: 0.0014890516346238822
Position 585: 0.0004946932945126812
Position 197: 0.0004458760600375158
Position 613: 0.0003685592942111264
Position 11: 0.00020426116400377374
Position 576: 0.00018313387498044407
Position 4: 0.00017389849021283
Position 23: 9.998672977254577e-05
Position 244: 3.915254491295109e-05
Position 217: 3.0707980538710146e-05
Position 247: 2.2037777613287078e-05
Position 202: 1.0739445831046863e-05
Position 486: 5.279350331677952e-06
Position 309: 4.464278043491075e-06
Position 185: 3.8530554410450385e-06
Position 112: 2.3425596235798923e-06
Position 277: 2.3393612856876714e-06
Position 591: 2.220391060401602e-06
Position 363: 2.1699934308141724e-06
Position 329: 1.7653078762691232e-06
Position 350: 1.4333720235690782e-06
Position 566: 1.0865561535520848e-06
Position 219: 6.414943274434893e-07
Position 167: 5.078428607839396e-07
Position 137: 2.9339071870664615e-07
Position 311: 2.6321566488575267e-07
Position 470: 1.0821628247399139e-07
Position 454: 4.603000445683995e-08
Position 267: 7.093223869631207e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 466: 0.9978768654975622
Position 172: 0.09144664365245868
Position 121: 0.03548469810350291
Position 142: 0.004694760437233698
Position 289: 0.0021117896707054467
Position 314: 0.0006452492326082734
Position 363: 0.0006067073700977658
Position 470: 0.0005798339789118107
Position 680: 0.0005451451590549552
Position 650: 0.00042262195284423356
Position 504: 0.0003416487538448221
Position 663: 0.00010203659118658285
Position 521: 9.395559681714437e-05
Position 295: 4.136417740552837e-05
Position 440: 3.444361094703253e-05
Position 539: 1.845538956058599e-05
Position 196: 1.5588688299751844e-05
Position 339: 6.14757166648698e-06
Position 610: 5.021938595383606e-06
Position 79: 1.681162119102998e-06
Position 208: 1.335538113374325e-06
Position 476: 1.3058038755709375e-06
Position 583: 1.0319214103752684e-06
Position 297: 8.065410902270068e-07
Position 523: 7.405504471952826e-07
Position 244: 6.445704874247542e-07
Position 428: 5.644505883924151e-07
Position 566: 4.488025773771915e-07
Position 576: 3.284100732238028e-07
Position 60: 2.175536227722136e-07
Position 217: 1.2132440846442693e-07
Position 597: 7.122076691058624e-08
Position 396: 6.791045991144237e-08
Position 483: 5.6643180487065555e-08
Position 190: 4.217645452796149e-08
Position 81: 3.642644878126024e-08
Position 334: 3.6067446404070785e-08
Position 202: 2.9083307337433824e-08
Position 235: 1.0642993884933166e-08
Position 56: 7.554956071346702e-10
Position 391: 2.5797196434305315e-14
Position 183: 2.3339679087818848e-14
