Gene = Akh
index = 17
Annotated 5SS: [188]
Annotated 3SS: [255]
SMsplice 5SS: [188]
SMsplice 3SS: [255]
top_k =  500
Partition function (log Z): -2.6455641223811694

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9994422597399696
Position 192: 0.0005405676269737764
Position 534: 0.0002664094688528933
Position 433: 5.6130242061646877e-05
Position 74: 4.816312699035186e-05
Position 452: 4.8004209934360596e-05
Position 423: 1.891416238844271e-05
Position 289: 1.7521845681129993e-05
Position 183: 1.3703290590625673e-05
Position 470: 3.5983780672705104e-06
Position 512: 1.5817957745548387e-06
Position 525: 8.542105393395312e-07
Position 176: 6.454510516917379e-07
Position 181: 5.314014167738224e-07
Position 34: 3.345229315791018e-07
Position 97: 2.7537521858066103e-07
Position 32: 1.82673195554612e-07
Position 137: 1.4428188764050512e-07
Position 302: 1.2858374049114302e-07
Position 27: 7.858926396467408e-08
Position 540: 6.099764443021442e-08
Position 152: 4.685145857558501e-08
Position 537: 2.8636713418463153e-08
Position 379: 1.995462737542502e-08
Position 543: 1.2539971210951414e-08
Position 284: 1.2372010163973136e-08
Position 52: 1.1971726832126337e-08
Position 255: 4.150375440738165e-09
Position 230: 4.868146504136104e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.9974432608113448
Position 390: 0.0010847869803993237
Position 327: 0.000821131287390928
Position 590: 0.00029108581998971925
Position 330: 0.0002541692825978626
Position 396: 0.00016944138393159473
Position 521: 0.0001521273851307408
Position 321: 8.483193229375202e-05
Position 282: 7.562659625845628e-05
Position 149: 2.7187316501815888e-05
Position 554: 1.865278376460665e-05
Position 130: 1.6892586322289128e-05
Position 533: 4.892037343738441e-06
Position 137: 3.3946509902155544e-06
Position 298: 2.9562854544026743e-06
Position 414: 2.5048170437096965e-06
Position 366: 2.3211651325024735e-06
Position 475: 2.0607466354728416e-06
Position 537: 5.715441264534615e-07
Position 342: 5.291103671368544e-07
Position 426: 4.850580791251674e-07
Position 445: 3.947465789072201e-07
Position 97: 2.5058982046843765e-07
Position 543: 2.4325017935503606e-07
Position 213: 1.4424055837835036e-07
Position 82: 8.85628167684532e-08
Position 105: 7.513736730108031e-08
Position 110: 5.8250204183187016e-08
Position 436: 2.152734422604319e-08
Position 117: 2.107812034088458e-08
Position 430: 8.383243236871254e-09
Position 181: 6.460895698896874e-09
Position 423: 4.995454985480963e-09
Position 132: 1.3381240671077317e-10
Position 188: 3.7755360699514363e-13
Position 192: 1.0942683055874185e-16
