Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
top_k =  500
Partition function (log Z): -0.7038337260947757

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9811137650983617
Position 112: 0.7960470157604663
Position 188: 0.005090119369366196
Position 131: 0.0035123517259875955
Position 788: 0.0018602552009947429
Position 450: 0.001860221502726725
Position 248: 0.001482218389613338
Position 198: 0.001228566799901686
Position 524: 0.0007342466744471675
Position 357: 0.00048467582797991684
Position 45: 0.00019218115486804765
Position 443: 0.00018936769343989152
Position 536: 0.00016689125018121435
Position 517: 0.00014668334194728203
Position 78: 9.384724783662883e-05
Position 48: 5.824467674645358e-05
Position 434: 5.156140671696977e-05
Position 751: 5.117630336100526e-05
Position 373: 5.0008999207734294e-05
Position 300: 4.126662205592821e-05
Position 805: 3.7672057331700606e-05
Position 210: 1.8420268437259864e-05
Position 470: 1.4773790704103429e-05
Position 116: 1.1410395743112316e-05
Position 216: 1.0545352389541775e-05
Position 32: 4.114791297288615e-06
Position 724: 3.827287076518801e-06
Position 394: 9.234698453344252e-07
Position 647: 7.55125085282126e-07
Position 488: 6.066199343943407e-07
Position 324: 4.948878370447506e-07
Position 322: 4.3132024367695446e-07
Position 240: 1.590132651290914e-07
Position 728: 1.099229401981889e-07
Position 265: 7.838802260216908e-08
Position 293: 6.89029810556353e-08
Position 636: 5.8817128261448595e-08
Position 221: 4.9228029269858624e-08
Position 632: 1.0339409669183458e-08
Position 267: 2.248739397402444e-09
Position 642: 2.4258603118919295e-12
Position 662: 1.6554598508764231e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.9984882906158891
Position 247: 0.49329808614529813
Position 240: 0.28971874105970924
Position 293: 0.004040251925116324
Position 309: 0.0037388345978265607
Position 188: 0.0018670517051316779
Position 878: 0.00103851328662262
Position 607: 0.00048205118554024376
Position 862: 0.0004801818974020365
Position 532: 0.0004058283419666529
Position 866: 0.00037104019143968767
Position 628: 0.00013670120634347343
Position 473: 0.0001096344111527868
Position 339: 8.146784844513508e-05
Position 484: 7.33245803970154e-05
Position 160: 4.494075171609661e-05
Position 162: 4.45793766434702e-05
Position 330: 4.074912208157515e-05
Position 822: 3.600133519266846e-05
Position 839: 2.0856505726415818e-05
Position 805: 1.1488549699061615e-05
Position 464: 1.1428304667786101e-05
Position 504: 3.2049866219297778e-06
Position 667: 2.727614274043769e-06
Position 99: 2.3079866245654325e-06
Position 712: 2.0435101900802876e-06
Position 647: 1.6957016172152785e-06
Position 498: 1.5096012736604993e-06
Position 673: 1.3182423516401025e-06
Position 108: 1.2567387963418293e-06
Position 652: 7.496201006412249e-07
Position 78: 5.191485875568575e-07
Position 347: 5.103844640048281e-07
Position 381: 2.585039894315133e-07
Position 122: 1.9489401243736587e-07
Position 679: 1.946683605660865e-07
Position 751: 1.5667870911191926e-07
Position 443: 1.1175126800990572e-07
Position 116: 6.35819414973176e-08
Position 843: 6.153842684351868e-08
Position 131: 3.5488408722873995e-08
Position 378: 3.262281689697612e-08
Position 787: 3.139521737935739e-08
Position 357: 3.006858714685174e-08
Position 136: 2.7960844473526574e-08
Position 748: 2.7448158868077702e-08
Position 793: 2.5369653236387894e-08
Position 767: 1.384578517799781e-08
Position 148: 1.0301867033997521e-08
Position 772: 8.598307789742928e-09
Position 366: 3.8594986406543175e-09
Position 403: 1.4137456157977888e-09
Position 407: 8.082210229527547e-10
