Gene = fbp
index = 1700
Annotated 5SS: [  67  711 1649]
Annotated 3SS: [ 638 1304 1830]
SMsplice 5SS: [1649]
SMsplice 3SS: [1830]
top_k =  500
Partition function (log Z): -7.441254998016143

Sorted 5' Splice Sites (High to Low Probability):
Position 1649: 0.8449114870670961
Position 711: 0.31594975109645174
Position 67: 0.16845002203687687
Position 607: 0.14616803154359437
Position 995: 0.08415431967320389
Position 1706: 0.07767561688570461
Position 151: 0.051259843072422186
Position 196: 0.026046728173005684
Position 31: 0.025798200384646485
Position 2226: 0.02547144847826519
Position 344: 0.0171647465419832
Position 341: 0.009591724327904175
Position 372: 0.005066463660995008
Position 1631: 0.004263911293543579
Position 1714: 0.003947290307385797
Position 1473: 0.003223750796868834
Position 912: 0.0025118232898664276
Position 120: 0.0022036278751148028
Position 705: 0.002111753230036543
Position 1163: 0.0018944774443920313
Position 901: 0.0017565231800462486
Position 2230: 0.0017260424569916486
Position 1734: 0.0016138747739926867
Position 310: 0.0011783684002042798
Position 959: 0.0011752897525776748
Position 784: 0.0007099446661986029
Position 1245: 0.0003939651552427071
Position 52: 0.00036109930778790723
Position 2076: 0.00034585712992250367
Position 490: 0.00025119824200724015
Position 143: 0.0002452658999926501
Position 1505: 0.00021021849299344503
Position 113: 0.0001961358237514739
Position 1622: 0.00016158288298852587
Position 77: 0.00015248317897816128
Position 1526: 0.0001515132984737422
Position 1274: 0.00014634585919322843
Position 1637: 0.0001421099310252866
Position 38: 0.00012405244307601404
Position 593: 0.00010749992969758265
Position 2003: 9.522015935000322e-05
Position 909: 8.510659556357851e-05
Position 1693: 7.216456037879428e-05
Position 35: 6.826526147844127e-05
Position 401: 6.752076203623879e-05
Position 541: 6.399940791621872e-05
Position 71: 5.253649865845553e-05
Position 277: 2.8376156801780298e-05
Position 473: 2.2066632829006396e-05
Position 90: 2.0150068522482453e-05
Position 132: 1.782638022971941e-05
Position 262: 1.4891971127289057e-05
Position 480: 1.3858960965256664e-05
Position 253: 1.2595698788108678e-05
Position 715: 8.467070420533124e-06
Position 42: 6.325426060610331e-06
Position 388: 6.235028812224529e-06
Position 302: 6.114522425028141e-06
Position 304: 5.111889389582589e-06
Position 64: 3.796714171654627e-06
Position 238: 2.7158944202140653e-06
Position 1460: 2.2352990889523938e-06
Position 898: 1.6312454436967887e-06
Position 219: 1.2243022225365468e-06
Position 1116: 1.0502292514990102e-06
Position 871: 3.5989344873031783e-07
Position 21: 1.1232311103723946e-07
Position 56: 7.280770132904542e-08
Position 4: 3.6753473221712846e-08
Position 699: 5.526648040289559e-12
Position 412: 2.3426036771245797e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1830: 0.6499163782074028
Position 1781: 0.3285116504268954
Position 1321: 0.14874639660747244
Position 1304: 0.12956623698614828
Position 1060: 0.10979338077320945
Position 391: 0.10218367426308288
Position 1090: 0.07205758060994716
Position 656: 0.06571200774752865
Position 1372: 0.049405201464621115
Position 253: 0.036444997661688266
Position 767: 0.020006280268709858
Position 969: 0.019830571994805698
Position 211: 0.018425038966486458
Position 2301: 0.017115793881709657
Position 638: 0.007574142745840491
Position 1375: 0.006514524877248046
Position 434: 0.0061863210029478085
Position 2312: 0.005938040681816687
Position 1378: 0.004040247611406804
Position 1945: 0.003917251763209508
Position 1104: 0.003856936317091897
Position 2367: 0.0036368992384800984
Position 1414: 0.0032047317388921065
Position 898: 0.003030618745072474
Position 1170: 0.0021703181525840956
Position 871: 0.0017042062812608852
Position 1923: 0.001369488418287484
Position 1432: 0.001335535632021281
Position 1879: 0.0011106973694076313
Position 855: 0.0009846838013690842
Position 400: 0.0008844042447233847
Position 564: 0.0008107157973330917
Position 471: 0.0007511059302167358
Position 2149: 0.0005523855597122507
Position 2337: 0.0004467470476455319
Position 995: 0.0004461632015095108
Position 528: 0.00039122535540113835
Position 1201: 0.0001581035765489189
Position 509: 0.00015240288925108306
Position 1205: 0.00014706550682923355
Position 1760: 0.0001366555454770828
Position 593: 0.0001300472067901623
Position 1724: 7.148666303959796e-05
Position 490: 6.992951518810538e-05
Position 294: 6.56300385858187e-05
Position 702: 4.9986278502530864e-05
Position 2527: 3.7388223798373654e-05
Position 159: 2.5118216289939476e-05
Position 2511: 2.2621861806493833e-05
Position 119: 2.1526926724036723e-05
Position 412: 1.0695238760578672e-05
Position 408: 4.46252596661479e-06
Position 102: 4.440202243024851e-06
Position 534: 3.433660600111931e-06
Position 2014: 1.8141490414392781e-06
Position 274: 1.3593653427821387e-06
Position 77: 1.1578803915033018e-06
Position 137: 1.075883467917761e-06
Position 316: 1.0119612555923043e-06
Position 1731: 9.909661397979643e-07
Position 699: 9.076082354452082e-07
Position 1712: 6.901119290602501e-07
Position 328: 6.778368486929234e-07
Position 187: 6.102039150254179e-07
Position 179: 4.5745139697219185e-07
Position 530: 9.030494923431516e-08
Position 151: 3.674975369992059e-08
Position 50: 3.32687175297015e-10
Position 189: 2.1720061379820887e-10
Position 71: 3.4197109660436246e-11
Position 52: 1.1440213459999297e-13
