Gene = mu2
index = 1806
Annotated 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
Annotated 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
SMsplice 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
SMsplice 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
top_k =  500
Partition function (log Z): 30.374018540997106

Sorted 5' Splice Sites (High to Low Probability):
Position 2366: 0.9992618501475251
Position 3599: 0.9904709228600359
Position 3696: 0.9902347105479835
Position 3861: 0.9879031722145813
Position 396: 0.98043442305089
Position 2039: 0.9792681387160616
Position 1828: 0.973688939317438
Position 137: 0.9629073000476372
Position 2212: 0.9611137923172822
Position 937: 0.9538657838603689
Position 4164: 0.06761582390774946
Position 2813: 0.04694016445361815
Position 1542: 0.03842359458193855
Position 3328: 0.03717358559235585
Position 910: 0.03240333147653819
Position 1967: 0.017001002375990285
Position 336: 0.015031652905763993
Position 754: 0.01446848372280743
Position 2216: 0.012966478146617683
Position 4125: 0.012666874054162267
Position 4107: 0.009451257493545044
Position 4496: 0.009105159863722467
Position 1770: 0.008169401645080142
Position 3226: 0.003830499196095053
Position 4346: 0.003646218820669622
Position 4407: 0.0035273890178975785
Position 3277: 0.002871282122249543
Position 3865: 0.0025121276832927916
Position 4141: 0.002344979342242161
Position 729: 0.00206969139449617
Position 858: 0.0019193435937128252
Position 1227: 0.0018530214183748864
Position 1287: 0.0018440229867573371
Position 1333: 0.0014777464989220587
Position 4198: 0.0013026626715169482
Position 4003: 0.0010545274934082316
Position 2954: 0.0010528128721433052
Position 1275: 0.001045632176896501
Position 35: 0.0010330899326818634
Position 609: 0.0009952944985359732
Position 1137: 0.0008709613627265706
Position 1396: 0.0008671650249630135
Position 1223: 0.0008478587811685342
Position 738: 0.0007505736261531124
Position 2005: 0.0006631645391661919
Position 374: 0.0006368479148788497
Position 3993: 0.0005597592442751586
Position 4092: 0.0005445047163813136
Position 1133: 0.0005396563463328158
Position 3803: 0.00046498717432407724
Position 3964: 0.0004103213061081828
Position 3951: 0.00035848469862679206
Position 1066: 0.0003160910458347966
Position 2944: 0.00028763142234697824
Position 3558: 0.00027166126268068794
Position 2530: 0.0002608436507520642
Position 2124: 0.0002608324380086092
Position 2626: 0.0002510901452075679
Position 2623: 0.0002459120462540823
Position 2579: 0.00021835861209592693
Position 941: 0.00020492685947679062
Position 3167: 0.0001847111996588686
Position 3379: 0.00017344911164872675
Position 4051: 0.0001658894566740819
Position 4265: 0.0001468992114237527
Position 357: 0.00012202033899891856
Position 3850: 0.00012170628842851522
Position 741: 0.00012052969334158306
Position 716: 0.00010613898806919994
Position 1388: 0.00010489334223898943
Position 611: 0.00010096308219054068
Position 1812: 9.95909426025402e-05
Position 806: 9.798392780930742e-05
Position 2552: 9.689651482552821e-05
Position 1034: 8.931713719183101e-05
Position 2761: 8.534243486891425e-05
Position 2935: 8.39820983306545e-05
Position 1462: 7.819478539112777e-05
Position 2611: 7.381936018762864e-05
Position 1818: 6.905345747220285e-05
Position 564: 6.678632140692544e-05
Position 1911: 6.184379967183595e-05
Position 4502: 4.8023792814965165e-05
Position 2533: 4.535169412393756e-05
Position 3603: 4.471330367537632e-05
Position 714: 4.306306863264243e-05
Position 3574: 4.240236776109982e-05
Position 642: 3.9263641246684e-05
Position 2318: 3.8418729554169115e-05
Position 261: 2.9395398798714103e-05
Position 466: 2.9226202217070374e-05
Position 3669: 2.913665509600335e-05
Position 2519: 2.5464625574582416e-05
Position 4514: 2.339309215312878e-05
Position 2009: 2.2882874240047843e-05
Position 1755: 2.101035281004021e-05
Position 1448: 1.877679919159882e-05
Position 2007: 1.814837297856748e-05
Position 4387: 1.805043805234564e-05
Position 4305: 1.760984222692924e-05
Position 3463: 1.7253388995091264e-05
Position 1096: 1.3497110410285889e-05
Position 54: 1.2672757592335584e-05
Position 2666: 1.2591056141505665e-05
Position 3763: 8.810720934575708e-06
Position 644: 8.587363348534426e-06
Position 238: 8.564299288495957e-06
Position 528: 7.367198311323294e-06
Position 1057: 7.240608740393897e-06
Position 4350: 7.233731816873773e-06
Position 3887: 7.230047363550107e-06
Position 3305: 7.206498511903734e-06
Position 1752: 6.039360644930542e-06
Position 2170: 5.957706923026877e-06
Position 2181: 5.857403586487896e-06
Position 2347: 5.753686848745159e-06
Position 3767: 5.613909855964327e-06
Position 297: 4.244913313281614e-06
Position 3704: 2.6891275743463413e-06
Position 243: 2.5781014088149774e-06
Position 2146: 2.1765034666063815e-06
Position 1971: 1.7396347218364782e-06
Position 456: 1.459298473308153e-06
Position 300: 1.0360668129424404e-06
Position 3137: 1.0097356153414438e-06
Position 3310: 8.535332904948429e-07
Position 1984: 7.185192967169532e-07
Position 2949: 6.258419369524325e-07
Position 2079: 5.463316737819506e-07
Position 3922: 4.27573424149209e-07
Position 1265: 4.0126723735372967e-07
Position 2967: 3.9586291657721853e-07
Position 2889: 3.1315525729999385e-07
Position 2276: 2.9571999537631597e-07
Position 2433: 2.814811462868238e-07
Position 2119: 2.699524157994807e-07
Position 3396: 2.563200686105516e-07
Position 2906: 2.5255123606065296e-07
Position 3925: 2.2066664308464223e-07
Position 2128: 2.0955908854198568e-07
Position 276: 1.9041773108513754e-07
Position 974: 1.7272504216401237e-07
Position 3842: 1.2246013251871702e-07
Position 240: 9.20428858261029e-08
Position 2140: 6.052152636992211e-08
Position 870: 5.8595517823637215e-08
Position 1021: 4.652974468734203e-08
Position 43: 3.693800138128709e-08
Position 3: 1.631418569871014e-08
Position 3825: 1.2362550898223812e-08
Position 3817: 1.0705696423469704e-08
Position 4024: 7.1790747627718605e-09
