Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
top_k =  500
Partition function (log Z): -5.1107649481627435

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9998121438442216
Position 78: 0.002093136880370071
Position 88: 0.0017290455004338337
Position 732: 0.0006288675137204418
Position 747: 0.0003235389880157835
Position 702: 0.000198010436112772
Position 559: 6.356465907637027e-05
Position 264: 4.5452323797380894e-05
Position 665: 4.422967944188886e-05
Position 52: 3.5426337920808864e-05
Position 468: 2.907866880874514e-05
Position 9: 2.5494346814279237e-05
Position 382: 1.6342131256463913e-05
Position 371: 1.073965933736796e-05
Position 545: 1.0683622049091574e-05
Position 267: 9.00817888228149e-06
Position 512: 7.475780200287845e-06
Position 594: 6.795650981762064e-06
Position 647: 4.689160189131708e-06
Position 821: 4.103412098252263e-06
Position 4: 3.4469274716633037e-06
Position 619: 2.9302574795821888e-06
Position 57: 2.3922190735348236e-06
Position 799: 1.951448411504404e-06
Position 412: 1.664593033916158e-06
Position 835: 1.0711284763914003e-06
Position 673: 9.403540639321874e-07
Position 495: 7.199914972237137e-07
Position 308: 5.744906166721936e-07
Position 718: 4.030946814239888e-07
Position 373: 1.711450271637641e-07
Position 645: 9.781082674432061e-08
Position 106: 9.227366766425305e-08
Position 533: 5.3693855456991084e-08
Position 140: 3.481806639273811e-08
Position 120: 2.698996929386841e-08
Position 679: 2.4634157395387756e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9976877424705699
Position 159: 0.0036269373216285972
Position 812: 0.0010240990890307334
Position 507: 0.0008557342866059748
Position 611: 0.0004620896910349123
Position 834: 0.00033540051789267923
Position 492: 0.00022932512573388332
Position 462: 0.00020050798840483324
Position 684: 0.00013360333097022764
Position 728: 0.00011852299033218182
Position 334: 0.00010038899467012463
Position 518: 8.753750031539644e-05
Position 864: 6.196222223002408e-05
Position 242: 4.621337034601749e-05
Position 308: 3.187623216147748e-05
Position 640: 1.9956266810308175e-05
Position 626: 1.6960628607233107e-05
Position 87: 1.5766864452855674e-05
Position 594: 1.0656311965989816e-05
Position 78: 7.0676369370273544e-06
Position 636: 5.8308962297064265e-06
Position 278: 5.524380270466694e-06
Position 881: 5.401047664557697e-06
Position 183: 5.121789152340637e-06
Position 349: 3.842182228014882e-06
Position 868: 3.600355540374685e-06
Position 654: 3.2912119422149734e-06
Position 688: 1.5053375245931776e-06
Position 294: 1.2177216795888475e-06
Position 743: 1.139892188930938e-06
Position 382: 8.806724441057925e-07
Position 616: 8.558961016441614e-07
Position 582: 8.552028865627806e-07
Position 218: 7.740407068613645e-07
Position 199: 5.39181372981092e-07
Position 286: 4.981568622784487e-07
Position 759: 3.057816177620121e-07
Position 765: 2.803283880589734e-07
Position 762: 1.7659389253651096e-07
Position 313: 1.5658799975479415e-07
Position 591: 1.1417658356965353e-07
Position 891: 4.182896313112664e-08
Position 768: 3.7728506478732865e-08
Position 192: 2.720998400282964e-08
Position 248: 1.5105588829054435e-08
Position 264: 1.3257324244705287e-08
Position 336: 1.5367813187032151e-09
Position 253: 6.141427535336198e-10
Position 205: 2.496632582810731e-10
Position 364: 1.263683391171388e-10
Position 167: 8.059767277473462e-11
Position 403: 5.014654052346921e-13
Position 392: 1.1633771365134613e-14
