Gene = Mul1
index = 1293
Annotated 5SS: [ 183  831 1097]
Annotated 3SS: [ 246  888 1363]
SMsplice 5SS: [ 183  831 1097]
SMsplice 3SS: [ 246  888 1363]
top_k =  500
Partition function (log Z): 2.783669755607312

Sorted 5' Splice Sites (High to Low Probability):
Position 183: 0.9808448341711423
Position 831: 0.947095711024447
Position 1097: 0.9444492815764758
Position 385: 0.045572924021891364
Position 1073: 0.03133419441196775
Position 1310: 0.018179049010066835
Position 1557: 0.013627119515202839
Position 1523: 0.01103768548409463
Position 838: 0.006600177508922104
Position 1515: 0.004955056603759593
Position 835: 0.0046377818991553505
Position 804: 0.004145782354834268
Position 1070: 0.0034381004298968095
Position 427: 0.002643294572924766
Position 325: 0.0023075293812614113
Position 1305: 0.0018521495692815043
Position 174: 0.001840804256402766
Position 1521: 0.0010219176896664706
Position 146: 0.0007040902055736864
Position 1902: 0.000653060844211123
Position 1263: 0.0006242346041314719
Position 187: 0.0005934293538936695
Position 1935: 0.000588816649532893
Position 574: 0.0004970952640277231
Position 1075: 0.0003247026513184716
Position 1156: 0.00026082367255201227
Position 1183: 0.00022578979256396831
Position 1446: 0.00018345752560288084
Position 673: 0.0001664217531918347
Position 468: 0.00015112962007190917
Position 524: 0.00013744139413952365
Position 1775: 0.00012984434203446328
Position 1921: 0.00011017259980000857
Position 1543: 9.582657787723554e-05
Position 1436: 9.082788596260047e-05
Position 640: 7.210707408284352e-05
Position 1268: 6.98702607080665e-05
Position 707: 6.344061052672555e-05
Position 406: 5.7038503869736094e-05
Position 1585: 5.5052392750584355e-05
Position 1315: 4.308937245480383e-05
Position 1939: 4.2877201774181764e-05
Position 571: 4.2348610271686845e-05
Position 509: 3.33474072948053e-05
Position 340: 3.29041103737376e-05
Position 383: 3.0659844061386105e-05
Position 504: 3.0087257415194122e-05
Position 28: 2.9796472681698918e-05
Position 1790: 2.35469132109341e-05
Position 1388: 2.2945450329011628e-05
Position 1443: 2.28614994777303e-05
Position 1051: 2.1536194258000997e-05
Position 1038: 2.1374324252264577e-05
Position 626: 2.0930834850669845e-05
Position 786: 2.063226649742317e-05
