Gene = Cpr23B
index = 1091
Annotated 5SS: [75]
Annotated 3SS: [145]
SMsplice 5SS: [75]
SMsplice 3SS: [145]
top_k =  500
Partition function (log Z): -2.296544979777986

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.999747359587376
Position 231: 0.004682847312389303
Position 680: 0.002303022051714364
Position 541: 0.0007104916527470377
Position 363: 0.0005475564000521884
Position 749: 0.0004715907049218737
Position 479: 0.00035968971007982177
Position 548: 0.0003194713589910692
Position 79: 0.00023534382638744727
Position 770: 0.00023177031199729688
Position 672: 0.00022976385127788842
Position 767: 0.0001907165107030946
Position 584: 0.0001709287014961039
Position 639: 0.000123030735221143
Position 346: 0.0001064567378393666
Position 728: 8.455646580037454e-05
Position 677: 8.366430018265482e-05
Position 518: 4.0608482845916016e-05
Position 545: 2.5319099609215515e-05
Position 374: 1.764321187920298e-05
Position 82: 8.105891550202243e-06
Position 326: 6.75137222554044e-06
Position 532: 6.422376435089256e-06
Position 482: 4.254813099573066e-06
Position 800: 2.4919047643791016e-06
Position 779: 2.2353780825345414e-06
Position 408: 1.912894014902338e-06
Position 903: 1.8583659244003464e-06
Position 7: 1.8041737517090487e-06
Position 1029: 9.0365267103231e-07
Position 620: 8.203065489316396e-07
Position 965: 3.804008460534263e-07
Position 1043: 3.651478458650605e-07
Position 240: 3.2846671333243557e-07
Position 22: 3.048058852618754e-07
Position 1052: 2.808115163232996e-07
Position 235: 2.537122655684561e-07
Position 865: 2.2985659593277333e-07
Position 193: 2.0781606170721628e-07
Position 136: 1.6078505663278127e-07
Position 821: 8.796235826707971e-08
Position 372: 1.365942352401096e-09
Position 428: 2.922780996189537e-10
Position 160: 5.823619754154983e-12
Position 452: 2.135910610432827e-12
Position 145: 3.7188655340521104e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 145: 0.9986419777679577
Position 820: 0.00611403089167827
Position 397: 0.0024814399618982423
Position 183: 0.0010363816926632176
Position 600: 0.0009069618133934802
Position 469: 0.0002954397557388109
Position 606: 0.00023041223216215602
Position 279: 0.00021687680717237805
Position 360: 0.00018008869485152876
Position 301: 0.00017782603771268564
Position 796: 0.00012639664424420025
Position 696: 8.864751329250188e-05
Position 829: 3.489342741870493e-05
Position 499: 2.7103828401029602e-05
Position 339: 2.377153207048722e-05
Position 1103: 1.6865633501597726e-05
Position 721: 1.3652517590102235e-05
Position 568: 1.3151047097260785e-05
Position 496: 1.270118225837236e-05
Position 502: 1.220642799344769e-05
Position 214: 1.097609442129809e-05
Position 574: 9.000535964516333e-06
Position 552: 8.880606910555195e-06
Position 188: 8.145599790255832e-06
Position 211: 5.958945496735637e-06
Position 408: 5.071303393366927e-06
Position 649: 4.194228949051518e-06
Position 652: 3.727140695653679e-06
Position 865: 3.547249601928512e-06
Position 990: 3.2925528685555098e-06
Position 379: 2.1375765125848496e-06
Position 466: 2.0615046188222514e-06
Position 532: 2.046385091166922e-06
Position 899: 1.3698833214578846e-06
Position 1010: 5.260137536786284e-07
Position 193: 2.3207053616802653e-07
Position 372: 1.5027743773893557e-10
Position 220: 7.117043417434071e-11
Position 505: 5.588491593686235e-11
Position 529: 5.5204096616308325e-11
Position 231: 5.299932590592173e-11
Position 240: 4.766482915066097e-11
Position 208: 3.695516272547171e-11
Position 69: 1.2431814964830108e-12
Position 74: 7.747735752896961e-13
Position 89: 7.114501220450435e-13
Position 250: 1.9837920885799983e-13
Position 62: 9.91158635176835e-14
Position 346: 4.3440956846459604e-14
Position 261: 2.3996988595974845e-14
Position 97: 3.942337956816333e-15
Position 79: 2.914407369330994e-16
